Date,Tin
1991-02,0.0067
1991-03,-0.0335
1991-04,0.0415
1991-05,-0.0101
1991-06,0.0088
1991-07,-0.009000000000000001
1991-08,-0.0123
1991-09,0.0046
1991-10,-0.011699999999999999
1991-11,-0.015
1991-12,0.023399999999999997
1992-01,-0.018799999999999997
1992-02,0.0236
1992-03,0.015
1992-04,0.030699999999999998
1992-05,0.0702
1992-06,0.1427
1992-07,-0.044500000000000005
1992-08,0.0006
1992-09,-0.060899999999999996
1992-10,-0.0834
1992-11,-0.0256
1992-12,0.0172
1993-01,0.0023
1993-02,-0.0068000000000000005
1993-03,-0.0213
1993-04,-0.015600000000000001
1993-05,-0.0463
1993-06,-0.0327
1993-07,-0.058499999999999996
1993-08,-0.0348
1993-09,-0.0584
1993-10,0.0699
1993-11,-0.0202
1993-12,0.0481
1994-01,0.076
1994-02,0.04019999999999999
1994-03,-0.0054
1994-04,-0.0034000000000000002
1994-05,0.0301
1994-06,-0.0418
1994-07,-0.0216
1994-08,0.0378
1994-09,-0.0087
1994-10,0.1024
1994-11,0.0291
1994-12,0.0089
1995-01,0.0040999999999999995
1995-02,-0.1672
1995-03,0.1217
1995-04,0.0327
1995-05,0.023799999999999998
1995-06,0.13720000000000002
1995-07,-0.0194
1995-08,-0.0365
1995-09,0.0319
1995-10,0.0138
1995-11,-0.0369
1995-12,0.0206
1996-01,-0.0086
1996-02,-0.0161
1996-03,0.0562
1996-04,0.0079
1996-05,-0.031400000000000004
1996-06,0.0191
1996-07,-0.0273
1996-08,0.015300000000000001
1996-09,-0.037000000000000005
1996-10,-0.0028000000000000004
1996-11,0.022400000000000003
1996-12,-0.0425
1997-01,0.0025
1997-02,-0.01
1997-03,0.020099999999999996
1997-04,-0.028300000000000002
1997-05,-0.0225
1997-06,0.004
1997-07,-0.0003
1997-08,-0.0176
1997-09,0.0452
1997-10,-0.027000000000000003
1997-11,0.04650000000000001
1997-12,-0.0519
1998-01,-0.0336
1998-02,0.024300000000000002
1998-03,0.0696
1998-04,0.0287
1998-05,0.025
1998-06,-0.030299999999999997
1998-07,0.013300000000000001
1998-08,-0.0218
1998-09,0.0015
1998-10,0.0374
1998-11,-0.0226
1998-12,-0.0239
1999-01,0.002
1999-02,0.0344
1999-03,-0.0012
1999-04,0.0692
1999-05,-0.0437
1999-06,-0.0089
1999-07,-0.0066
1999-08,0.0095
1999-09,0.0231
1999-10,0.0753
1999-11,0.0134
1999-12,0.0527
2000-01,-0.0418
2000-02,-0.049699999999999994
2000-03,-0.0268
2000-04,0.0053
2000-05,-0.0055000000000000005
2000-06,0.0305
2000-07,-0.036699999999999997
2000-08,0.0274
2000-09,0.0006
2000-10,-0.022799999999999997
2000-11,0.0173
2000-12,-0.0252
2001-01,0.0092
2001-02,-0.0144
2001-03,-0.0254
2001-04,0.0052
2001-05,-0.0338
2001-06,-0.0392
2001-07,-0.1092
2001-08,-0.045599999999999995
2001-09,-0.048
2001-10,0.0088
2001-11,0.1158
2001-12,-0.08199999999999999
2002-01,0.0149
2002-02,-0.022000000000000002
2002-03,0.04769999999999999
2002-04,0.0134
2002-05,0.0154
2002-06,0.06860000000000001
2002-07,-0.1039
2002-08,-0.0404
2002-09,0.0708
2002-10,0.0256
2002-11,0.0154
2002-12,-0.0062
2003-01,0.062
2003-02,0.0106
2003-03,-0.013600000000000001
2003-04,0.026600000000000002
2003-05,0.039
2003-06,-0.0415
2003-07,0.0352
2003-08,0.0141
2003-09,0.028399999999999998
2003-10,0.0692
2003-11,0.027999999999999997
2003-12,0.2026
2004-01,-0.0060999999999999995
2004-02,0.0812
2004-03,0.2263
2004-04,0.0466
2004-05,0.0533
2004-06,-0.0213
2004-07,0.0154
2004-08,0.0208
2004-09,0.0288
2004-10,-0.011899999999999999
2004-11,-0.0292
2004-12,-0.11199999999999999
2005-01,0.0425
2005-02,0.0512
2005-03,-0.024
2005-04,-0.0063
2005-05,-0.0127
2005-06,-0.0643
2005-07,-0.0063
2005-08,-0.019799999999999998
2005-09,-0.059500000000000004
2005-10,-0.038900000000000004
2005-11,-0.0172
2005-12,0.0647
2006-01,0.2108
2006-02,-0.0116
2006-03,0.0519
2006-04,0.163
2006-05,-0.122
2006-06,-0.0218
2006-07,0.0381
2006-08,0.0596
2006-09,0.0027
2006-10,0.1778
2006-11,0.0281
2006-12,0.1073
2007-01,0.0495
2007-02,0.107
2007-03,0.0232
2007-04,0.0336
2007-05,0.0282
