Date,China_P.R.:_Mainland_CPI_Growth
1987-01,5.1
1987-02,5.4
1987-03,5.8
1987-04,6.7
1987-05,7.6
1987-06,7.8
1987-07,7.8
1987-08,8.2
1987-09,7.7
1987-10,7.5
1987-11,8.3
1987-12,8.9
1988-01,9.3
1988-02,10.4
1988-03,11.3
1988-04,12.2
1988-05,14.2
1988-06,16.3
1988-07,19.2
1988-08,23.6
1988-09,26.4
1988-10,27.1
1988-11,26.8
1988-12,27.9
1989-01,27.4
1989-02,28.4
1989-03,27.1
1989-04,26.6
1989-05,24.9
1989-06,22.8
1989-07,19.4
1989-08,15.3
1989-09,11.5
1989-10,8.6
1989-11,7.4
1989-12,6.6
1990-01,4.3
1990-02,4.4
1990-03,3.4
1990-04,3.2
1990-05,2.7
1990-06,1.1
1990-07,1.1
1990-08,2.5
1990-09,2.9
1990-10,3.1
1990-11,3.7
1990-12,4.3
1991-01,2.2
1991-02,1.8
1991-03,1.6
1991-04,1.3
1991-05,3.6
1991-06,4.4
1991-07,4.7
1991-08,4.9
1991-09,4.5
1991-10,4.8
1991-11,4.4
1991-12,4.5
1992-01,5.5
1992-02,5.3
1992-03,5.3
1992-04,7.1
1992-05,4.7
1992-06,4.8
1992-07,5.2
1992-08,5.8
1992-09,7.5
1992-10,7.9
1992-11,8.2
1992-12,8.8
1993-01,10.3
1993-02,9.94
1993-03,12.13
1993-04,13.41
1993-05,14.7
1993-06,14.53
1993-07,15.65
1993-08,15.87
1993-09,15.88
1993-10,16.46
1993-11,17.01
1993-12,17.85
1994-01,21.1
1994-02,23.2
1994-03,22.4
1994-04,21.7
1994-05,21.3
1994-06,22.6
1994-07,24.0
1994-08,25.8
1994-09,27.3
1994-10,27.7
1994-11,27.5
1994-12,25.5
1995-01,24.1
1995-02,22.4
1995-03,21.3
1995-04,20.7
1995-05,20.3
1995-06,18.2
1995-07,16.7
1995-08,14.5
1995-09,13.2
1995-10,12.1
1995-11,11.2
1995-12,10.1
1996-01,9.0
1996-02,9.3
1996-03,9.8
1996-04,9.7
1996-05,8.9
1996-06,8.6
1996-07,8.3
1996-08,8.1
1996-09,7.4
1996-10,7.0
1996-11,6.9
1996-12,7.0
1997-01,5.9
1997-02,5.6
1997-03,4.0
1997-04,3.2
1997-05,2.8
1997-06,2.8
1997-07,2.7
1997-08,1.9
1997-09,1.8
1997-10,1.5
1997-11,1.1
1997-12,0.4
1998-01,0.3
1998-02,-0.1
1998-03,0.7
1998-04,-0.3
1998-05,-1.0
1998-06,-1.3
1998-07,-1.4
1998-08,-1.4
1998-09,-1.5
1998-10,-1.1
1998-11,-1.2
1998-12,-1.0
1999-01,-1.2
1999-02,-1.3
1999-03,-1.8
1999-04,-2.2
1999-05,-2.2
1999-06,-2.1
1999-07,-1.4
1999-08,-1.3
1999-09,-0.8
1999-10,-0.6
1999-11,-0.9
1999-12,-1.0
2000-01,-0.2
2000-02,0.7
2000-03,-0.2
2000-04,-0.3
2000-05,0.1
2000-06,0.5
2000-07,0.5
2000-08,0.3
2000-11,1.3
2000-12,1.5
2001-01,1.2
2001-03,0.8
2001-04,1.6
2001-05,1.7
2001-06,1.4
2001-07,1.5
2001-08,1.0
2001-09,-0.1
2001-10,0.2
2001-11,-0.3
2001-12,-0.3
2002-01,-1.01
2002-02,-0.02
2002-03,-0.73
2002-04,-1.22
2002-05,-1.02
2002-06,-0.72
2002-07,-0.92
