Date,Germany_CPI_Growth
1965-01,2.06
1965-02,1.79
1965-03,2.31
1965-04,2.56
1965-05,2.82
1965-06,3.86
1965-07,3.85
1965-08,3.85
1965-09,3.85
1965-10,4.09
1965-11,4.07
1965-12,3.79
1966-01,4.03
1966-02,4.28
1966-03,4.01
1966-04,4.5
1966-05,4.24
1966-06,3.47
1966-07,3.21
1966-08,2.96
1966-09,2.96
1966-10,2.7
1966-11,3.18
1966-12,2.92
1967-01,2.66
1967-02,2.42
1967-03,2.41
1967-04,1.67
1967-05,1.91
1967-06,1.91
1967-07,1.91
1967-08,1.68
1967-09,1.68
1967-10,1.67
1967-11,0.95
1967-12,0.71
1968-01,1.42
1968-02,1.65
1968-03,1.41
1968-04,1.41
1968-05,1.17
1968-06,1.17
1968-07,1.17
1968-08,1.42
1968-09,1.42
1968-10,1.41
1968-11,1.88
1968-12,2.11
1969-01,1.4
1969-02,1.62
1969-03,1.86
1969-04,1.86
1969-05,2.09
1969-06,2.09
1969-07,2.09
1969-08,2.09
1969-09,2.09
1969-10,2.09
1969-11,1.61
1969-12,2.07
1970-01,2.98
1970-02,2.74
1970-03,2.96
1970-04,3.42
1970-05,3.18
1970-06,3.41
1970-07,3.41
1970-08,3.64
1970-09,3.64
1970-10,3.86
1970-11,4.08
1970-12,4.05
1971-01,4.01
1971-02,4.67
1971-03,4.65
1971-04,4.85
1971-05,5.07
1971-06,5.27
1971-07,5.71
1971-08,5.71
1971-09,5.93
1971-10,5.91
1971-11,5.66
1971-12,5.41
1972-01,5.57
1972-02,5.1
1972-03,5.29
1972-04,5.04
1972-05,4.82
1972-06,4.8
1972-07,5.2
1972-08,5.2
1972-09,6.02
1972-10,5.99
1972-11,6.39
1972-12,6.37
1973-01,6.29
1973-02,6.46
1973-03,6.63
1973-04,6.8
1973-05,7.6
1973-06,7.77
1973-07,7.31
1973-08,7.31
1973-09,6.26
1973-10,6.63
1973-11,7.36
1973-12,7.92
1974-01,7.44
1974-02,7.78
1974-03,7.16
1974-04,7.3
1974-05,7.06
1974-06,6.84
1974-07,6.81
1974-08,7.0
1974-09,7.18
1974-10,7.13
1974-11,6.5
1974-12,5.72
1975-01,6.04
1975-02,5.63
1975-03,5.98
1975-04,6.11
1975-05,6.08
1975-06,6.57
1975-07,6.21
1975-08,5.85
1975-09,6.19
1975-10,5.63
1975-11,5.25
1975-12,5.41
1976-01,5.19
1976-02,5.33
1976-03,5.14
1976-04,4.77
1976-05,4.42
1976-06,3.73
1976-07,3.57
1976-08,4.07
1976-09,3.72
1976-10,3.72
1976-11,3.7
1976-12,3.69
1977-01,3.98
1977-02,3.8
1977-03,3.63
1977-04,3.61
1977-05,3.76
1977-06,4.07
1977-07,4.08
1977-08,3.75
1977-09,3.74
1977-10,3.58
1977-11,3.42
1977-12,3.41
1978-01,3.06
1978-02,2.9
1978-03,3.04
1978-04,3.03
1978-05,2.87
1978-06,2.71
1978-07,2.71
1978-08,2.56
1978-09,2.26
1978-10,2.41
1978-11,2.55
1978-12,2.54
1979-01,2.82
1979-02,2.81
1979-03,3.1
1979-04,3.09
1979-05,3.23
1979-06,3.51
1979-07,4.25
1979-08,4.55
1979-09,5.15
1979-10,5.14
1979-11,5.42
1979-12,5.4
1980-01,4.91
1980-02,5.91
1980-03,5.73
1980-04,5.85
1980-05,6.12
1980-06,5.8
1980-07,5.34
1980-08,5.34
1980-09,4.9
1980-10,4.89
1980-11,5.0
1980-12,5.54
1981-01,5.92
1981-02,5.44
1981-03,5.83
1981-04,5.8
1981-05,5.76
1981-06,5.88
1981-07,6.41
1981-08,6.53
1981-09,7.07
1981-10,7.46
1981-11,7.28
1981-12,6.69
1982-01,6.63
1982-02,5.94
1982-03,5.12
1982-04,4.97
1982-05,5.2
1982-06,5.93
1982-07,5.4
1982-08,5.01
1982-09,4.86
1982-10,4.83
1982-11,4.56
1982-12,4.55
1983-01,4.15
1983-02,4.02
1983-03,4.02
1983-04,3.88
1983-05,3.37
1983-06,2.62
1983-07,2.86
1983-08,3.34
1983-09,3.21
1983-10,2.72
1983-11,2.71
1983-12,2.71
1984-01,2.58
1984-02,2.93
1984-03,3.04
1984-04,2.92
1984-05,2.8
1984-06,2.79
1984-07,2.31
1984-08,1.73
1984-09,1.61
1984-10,2.19
1984-11,2.07
1984-12,1.95
1985-01,2.17
1985-02,2.28
1985-03,2.5
1985-04,2.5
1985-05,2.38
1985-06,2.03
1985-07,2.15
1985-08,2.04
1985-09,2.04
1985-10,1.58
1985-11,1.57
1985-12,1.57
1986-01,1.34
1986-02,0.78
1986-03,0.11
1986-07,-0.33
1986-08,-0.33
1986-09,-0.33
1986-10,-0.78
1986-11,-1.0
1986-12,-1.0
1987-01,-0.77
1987-02,-0.55
1987-03,-0.22
1987-06,0.11
1987-07,0.44
1987-08,0.67
1987-09,0.45
1987-10,0.89
1987-11,1.01
1987-12,1.01
1988-01,0.89
1988-02,1.0
1988-03,1.0
1988-04,1.0
1988-05,1.22
1988-06,1.22
1988-07,1.22
1988-08,1.22
1988-09,1.44
1988-10,1.44
1988-11,1.77
1988-12,1.88
1989-01,2.31
1989-02,2.42
1989-03,2.53
1989-04,2.96
1989-05,2.84
1989-06,2.84
1989-07,2.73
1989-08,2.84
1989-09,2.84
1989-10,3.06
1989-11,2.94
1989-12,3.04
1990-01,2.69
1990-02,2.79
1990-03,2.68
1990-04,2.24
1990-05,2.34
1990-06,2.34
1990-07,2.45
1990-08,2.77
1990-09,2.98
1990-10,3.39
1990-11,2.96
1990-12,2.74
1991-01,2.83
1991-02,2.85
1991-03,2.85
1991-04,3.08
1991-05,3.16
1991-06,3.65
1991-07,4.84
1991-08,4.51
1991-09,4.19
1991-10,5.05
1991-11,5.71
1991-12,5.75
1992-01,5.69
1992-02,5.81
1992-03,6.24
1992-04,6.21
1992-05,6.2
1992-06,5.87
1992-07,4.96
1992-08,4.96
1992-09,4.96
1992-10,3.35
1992-11,3.33
1992-12,3.33
1993-01,4.55
1993-02,4.8
1993-03,4.64
1993-04,4.49
1993-05,4.34
1993-06,4.33
1993-07,4.59
1993-08,4.59
1993-09,4.45
1993-10,4.45
1993-11,4.17
