Date,India_CPI_Growth
1965-01,17.77
1965-02,14.18
1965-03,11.11
1965-04,11.03
1965-05,9.55
1965-06,8.83
1965-07,8.93
1965-08,9.0
1965-09,8.33
1965-10,5.52
1965-11,6.01
1965-12,5.49
1966-01,4.82
1966-02,7.35
1966-03,9.5
1966-04,9.44
1966-05,12.34
1966-06,13.47
1966-07,11.99
1966-08,11.68
1966-09,10.92
1966-10,11.54
1966-11,12.25
1966-12,13.94
1967-01,13.94
1967-02,13.85
1967-03,14.92
1967-04,15.43
1967-05,13.91
1967-06,14.02
1967-07,13.24
1967-08,13.25
1967-09,12.07
1967-10,12.97
1967-11,11.32
1967-12,8.6
1968-01,11.69
1968-02,9.49
1968-03,6.49
1968-04,5.9
1968-05,2.96
1968-06,1.38
1968-08,1.23
1968-09,2.35
1968-10,1.47
1968-11,-0.37
1968-12,-2.23
1969-01,-5.54
1969-02,-4.64
1969-03,-2.36
1969-04,-2.23
1969-05,-0.25
1969-06,1.73
1969-07,2.86
1969-08,0.61
1969-10,-1.08
1969-11,0.62
1969-12,3.54
1970-01,4.2
1970-02,4.74
1970-03,5.35
1970-04,5.82
1970-05,5.76
1970-06,4.01
1970-07,3.87
1970-08,4.47
1970-09,4.96
1970-10,6.2
1970-11,6.72
1970-12,5.01
1971-01,3.91
1971-02,3.91
1971-03,2.78
1971-04,1.67
1971-05,0.59
1971-06,1.05
1971-07,2.21
1971-08,3.7
1971-09,4.26
1971-10,3.67
1971-11,4.24
1971-12,4.89
1972-01,5.41
1972-02,4.82
1972-03,5.41
1972-04,6.0
1972-05,6.47
1972-06,7.41
1972-07,7.86
1972-08,6.7
1972-09,6.19
1972-10,6.63
1972-11,6.59
1972-12,7.66
1973-01,8.26
1973-02,10.44
1973-03,11.38
1973-04,13.32
1973-05,16.35
1973-06,15.95
1973-07,18.48
1973-08,19.35
1973-09,19.25
1973-10,21.55
1973-11,23.3
1973-12,23.81
1974-01,25.67
1974-02,25.3
1974-03,27.25
1974-04,28.01
1974-05,28.96
1974-06,29.18
1974-07,28.07
1974-08,29.97
1974-09,34.64
1974-10,31.88
1974-11,27.84
1974-12,25.4
1975-01,23.54
1975-02,21.74
1975-03,16.77
1975-04,14.15
1975-05,11.19
1975-06,8.99
1975-07,4.18
1975-09,-4.47
1975-10,-5.62
1975-11,-4.84
1975-12,-6.18
1976-01,-8.57
1976-02,-10.73
1976-03,-10.92
1976-04,-10.52
1976-05,-11.26
1976-06,-11.29
1976-07,-8.35
1976-08,-7.15
1976-09,-5.36
1976-10,-3.84
1976-11,-2.89
1977-01,2.98
1977-02,6.87
1977-03,9.08
1977-04,8.31
1977-05,9.63
1977-06,9.97
1977-07,9.4
1977-08,9.66
1977-09,9.61
1977-10,8.55
1977-11,7.86
1977-12,7.86
1978-01,5.85
1978-02,3.21
1978-03,2.91
1978-04,2.84
1978-05,1.57
1978-06,2.17
1978-07,1.53
1978-08,1.26
1978-09,1.5
1978-10,3.08
1978-11,3.08
1978-12,1.51
1979-01,2.2
1979-02,2.84
1979-03,3.44
1979-04,4.71
1979-05,4.96
1979-06,5.56
1979-07,7.02
1979-08,8.76
1979-09,8.05
1979-10,7.32
1979-11,8.21
1979-12,11.7
1980-01,11.73
1980-02,12.11
1980-03,12.32
1980-04,11.24
1980-05,12.71
1980-06,11.86
1980-07,11.59
1980-08,10.28
1980-09,10.73
1980-10,11.21
1980-11,11.65
1980-12,9.09
1981-01,10.74
1981-02,13.32
1981-03,12.59
1981-04,13.86
1981-05,13.31
1981-06,13.74
1981-07,13.46
1981-08,14.34
1981-09,13.41
1981-10,13.33
1981-11,12.43
1981-12,12.73
1982-01,11.7
1982-02,9.58
1982-03,8.81
1982-04,7.51
1982-05,6.7
1982-06,7.05
1982-07,6.92
1982-08,7.49
1982-09,7.26
1982-10,6.73
1982-11,7.36
1982-12,8.05
1983-01,7.83
1983-02,9.17
1983-03,9.85
1983-04,10.71
1983-05,12.79
1983-06,13.4
1983-07,13.18
1983-08,12.51
1983-09,13.28
1983-10,13.62
1983-11,13.09
1983-12,12.46
1984-01,13.78
1984-02,12.16
1984-03,11.13
1984-04,10.01
1984-05,7.85
1984-06,7.68
1984-07,8.12
1984-08,6.74
1984-09,6.33
1984-10,6.13
1984-11,6.06
1984-12,5.19
1985-01,4.42
1985-02,4.28
1985-03,5.04
1985-04,6.27
1985-05,6.74
1985-06,5.58
1985-07,5.14
1985-08,5.47
1985-09,5.07
1985-10,5.56
1985-11,5.9
1985-12,7.14
1986-01,6.96
1986-02,8.22
1986-03,8.87
1986-04,8.24
1986-05,8.52
1986-06,8.57
1986-07,8.62
1986-08,8.72
1986-09,9.23
1986-10,9.59
1986-11,9.83
1986-12,9.21
1987-01,9.4
1987-02,8.38
1987-03,7.53
1987-04,7.47
1987-05,7.98
1987-06,8.69
1987-07,8.36
1987-08,9.54
1987-09,10.18
1987-10,9.48
1987-11,9.11
1987-12,9.31
1988-01,9.44
1988-02,9.18
1988-03,9.75
1988-04,10.4
1988-05,9.67
1988-06,9.36
1988-07,9.81
1988-08,8.68
1988-09,8.2
1988-10,9.76
1988-11,9.69
1988-12,8.79
1989-01,8.01
1989-02,8.57
1989-03,8.66
1989-04,7.89
1989-05,8.05
1989-06,7.15
1989-07,6.64
1989-08,7.21
1989-09,7.63
1989-10,5.39
1989-11,4.76
1989-12,5.42
1990-01,5.45
1990-02,6.06
1990-03,6.63
1990-04,7.78
1990-05,7.69
1990-06,8.82
1990-07,9.88
1990-08,9.2
1990-09,8.52
1990-10,10.8
1990-11,12.5
1990-12,13.71
1991-01,16.09
1991-02,15.43
1991-03,13.56
1991-04,12.22
1991-05,12.09
1991-06,12.97
1991-07,13.23
1991-08,14.21
1991-09,15.71
1991-10,14.36
1991-11,13.64
1991-12,13.07
1992-01,12.87
1992-02,13.37
1992-03,13.93
1992-04,14.36
1992-05,14.71
1992-06,12.92
1992-07,13.08
1992-08,11.52
1992-09,9.95
1992-10,9.42
1992-11,8.44
1992-12,8.0
1993-01,5.7
1993-02,5.24
1993-03,6.11
1993-04,6.06
1993-05,5.13
1993-06,5.93
1993-07,4.55
1993-08,5.79
1993-09,6.58
1993-10,7.38
1993-11,8.61
1993-12,8.64
1994-01,9.13
1994-02,9.96
1994-03,9.88
1994-04,9.8
1994-05,10.57
1994-06,10.8
1994-07,11.07
1994-08,10.94
1994-09,11.2
1994-10,10.31
1994-11,9.81
1994-12,9.47
1995-01,9.89
1995-02,9.81
1995-03,9.74
1995-04,9.67
1995-05,10.29
1995-06,10.47
1995-07,11.39
1995-08,10.92
1995-09,10.07
1995-10,10.38
1995-11,10.31
1995-12,9.69
1996-01,9.0
1996-02,8.59
1996-03,8.87
1996-04,9.83
1996-05,9.33
1996-06,8.82
1996-07,8.31
1996-08,8.89
1996-09,8.52
1996-10,8.46
1996-11,8.72
1996-12,10.41
1997-01,11.11
1997-02,10.76
1997-03,10.03
1997-04,9.26
1997-05,7.32
1997-06,6.61
1997-07,5.6
1997-08,4.66
1997-09,4.94
1997-10,5.49
1997-11,4.87
1997-12,6.29
1998-01,9.71
1998-02,9.14
1998-03,8.26
1998-04,8.19
1998-05,10.51
1998-06,12.39
1998-07,14.8
