Date,Saudi_Arabia_CPI_Growth
1981-02,3.61
1981-03,4.25
1981-04,3.35
1981-05,3.46
1981-06,3.07
1981-07,3.25
1981-08,2.46
1981-09,2.95
1981-10,1.98
1981-11,1.69
1981-12,1.69
1982-01,1.5
1982-02,2.16
1982-03,1.2
1982-04,0.93
1982-05,0.93
1982-06,1.12
1982-07,0.83
1982-08,0.37
1982-09,0.37
1982-10,1.02
1982-11,0.74
1982-12,1.11
1983-01,1.39
1983-02,1.01
1983-03,0.73
1983-04,1.1
1983-05,1.56
1983-06,0.92
1983-08,-0.55
1983-09,-0.64
1983-10,-1.01
1983-11,-0.64
1983-12,-1.55
1984-01,-2.1
1984-02,-2.28
1984-03,-2.45
1984-04,-2.63
1984-05,-2.54
1984-06,-1.46
1984-07,-1.01
1984-08,-0.74
1984-09,-0.65
1984-10,-0.56
1984-11,-1.11
1984-12,-1.11
1985-01,-0.93
1985-02,-1.59
1985-03,-2.42
1985-04,-2.61
1985-05,-2.7
1985-06,-3.24
1985-07,-3.71
1985-08,-3.73
1985-09,-4.19
1985-10,-3.82
1985-11,-3.93
1985-12,-3.84
1986-01,-3.76
1986-02,-3.22
1986-03,-3.15
1986-04,-3.15
1986-05,-3.53
1986-06,-3.54
1986-07,-3.57
1986-08,-3.1
1986-09,-2.92
1986-10,-3.39
1986-11,-2.82
1986-12,-2.24
1987-01,-2.35
1987-02,-2.15
1987-03,-1.78
1987-04,-1.38
1987-05,-1.29
1987-06,-1.09
1987-07,-0.8
1987-08,-1.6
1987-09,-1.4
1987-10,-1.7
1987-11,-1.3
1987-12,-1.69
1988-01,-0.2
1988-03,0.4
1988-04,0.6
1988-05,0.8
1988-06,0.5
1988-07,0.81
1988-08,1.32
1988-09,1.12
1988-10,1.53
1988-11,1.22
1988-12,2.84
1989-01,1.4
1989-02,1.3
1989-03,1.1
1989-04,1.49
1989-05,0.6
1989-06,0.6
1989-07,0.4
1989-08,0.9
1989-09,1.31
1989-10,1.2
1989-11,1.4
1989-12,-0.2
1990-01,1.09
1990-02,0.99
1990-03,1.09
1990-04,0.88
1990-05,1.88
1990-06,1.89
1990-07,2.29
1990-08,2.48
1990-09,2.38
1990-10,3.17
1990-11,3.26
1990-12,3.46
1991-01,2.84
1991-02,4.01
1991-03,4.7
1991-04,4.47
1991-05,4.56
1991-06,5.26
1991-07,5.65
1991-08,5.72
1991-09,6.2
1991-10,5.67
1991-11,5.27
1991-12,4.96
1992-01,5.52
1992-02,5.08
1992-03,5.33
1992-04,-0.19
1992-05,-1.11
1992-06,-1.48
1992-07,-1.94
1992-08,-2.38
1992-09,-2.28
1992-10,-2.46
1992-11,-2.27
1992-12,-2.27
1993-01,-2.61
1993-02,-2.95
1993-03,-3.55
1993-04,2.33
1993-05,3.0
1993-06,3.1
1993-07,3.1
1993-08,2.82
1993-09,2.24
1993-10,2.05
1993-11,1.86
1993-12,1.86
1994-01,1.2
1994-02,1.2
1994-03,1.01
1994-04,0.09
1994-05,0.27
1994-06,0.36
1994-08,0.18
1994-09,0.37
1994-10,0.73
1994-11,0.82
1994-12,0.55
1995-01,5.03
1995-02,5.2
1995-03,5.01
1995-04,5.1
1995-05,4.82
1995-06,4.54
1995-07,5.01
1995-08,4.83
1995-09,4.73
1995-10,4.9
1995-11,4.53
1995-12,4.72
1996-01,0.7
1996-02,0.78
1996-03,1.04
1996-04,1.13
1996-05,1.21
1996-06,1.48
1996-07,1.3
1996-08,1.74
1996-09,1.74
1996-10,1.12
1996-11,1.21
1996-12,1.21
1997-01,0.87
1997-02,0.52
1997-03,0.26
1997-04,0.34
1997-05,0.09
1997-06,0.17
1997-07,-0.17
1997-09,-0.09
1997-10,-0.68
1997-11,-0.17
1997-12,-0.43
1998-01,0.26
1998-03,-0.51
1998-05,-0.09
1998-06,-0.26
1998-07,-0.17
1998-08,-1.28
1998-09,-0.77
1998-11,-0.69
1998-12,-0.95
1999-01,-1.66
1999-02,-1.85
1999-03,-1.36
1999-04,-2.3
1999-05,-1.39
1999-06,-1.59
1999-07,-1.25
1999-08,-0.76
1999-09,-1.38
1999-10,-1.18
1999-11,-1.03
1999-12,-0.22
2000-02,-0.5
2000-03,-0.8
2000-04,-0.8
2000-05,-1.5
2000-06,-1.2
2000-07,-1.5
2000-08,-1.2
2000-09,-1.2
2000-10,-1.5
2000-11,-1.5
2000-12,-1.8
2001-01,-2.0
2001-02,-1.51
2001-03,-1.11
2001-04,-1.01
2001-05,-1.01
2001-06,-1.11
2001-07,-1.01
2001-08,-1.22
2001-09,-1.12
2001-10,-0.91
2001-11,-0.81
2001-12,-0.61
2002-01,-0.31
2002-03,-0.1
2002-04,-0.2
2002-06,-0.2
2002-07,0.31
2002-08,0.62
2002-09,0.72
2002-10,0.61
2002-11,0.82
2002-12,0.72
2003-01,0.51
2003-02,0.31
2003-03,0.41
2003-04,0.41
2003-05,0.51
2003-06,0.82
2003-07,1.12
2003-08,0.71
2003-09,0.81
2003-10,0.61
2003-11,0.51
2003-12,0.61
2004-01,0.91
2004-02,1.12
2004-03,0.92
2004-04,0.61
2004-05,0.41
2004-06,0.2
2004-07,0.2
2004-08,0.4
2004-10,0.4
2004-11,0.61
2004-12,0.4
2005-02,-0.2
2005-04,0.2
2005-05,0.3
2005-06,0.61
2005-07,0.3
2005-08,0.4
2005-09,0.81
2005-10,1.01
2005-11,1.11
2005-12,1.21
2006-01,1.51
2006-02,1.61
2006-03,2.12
2006-04,2.42
2006-05,2.22
2006-06,2.12
2006-07,2.21
2006-08,1.61
2006-09,2.4
2006-10,2.59
2006-11,2.79
2006-12,2.88
2007-01,3.57
2007-02,2.98
2007-03,2.86
2007-04,2.86
2007-05,2.96
2007-06,3.06
2007-07,3.83
2007-08,5.04
2007-09,4.9
2007-10,5.35
2007-11,6.0
2007-12,6.47
2008-01,6.99
2008-02,8.67
2008-03,9.6
2008-04,10.45
2008-05,10.36
2008-06,10.63
2008-07,11.08
2008-08,10.91
2008-09,10.34
2008-10,10.9
2008-11,9.5
2008-12,8.98
2009-01,7.88
2009-02,6.91
2009-03,5.95
2009-04,5.21
2009-05,5.48
2009-06,5.19
2009-07,4.18
2009-08,4.07
2009-09,4.4
2009-10,3.5
2009-11,4.0
2009-12,4.25
2010-01,4.15
2010-02,4.56
2010-03,4.71
2010-04,4.87
2010-05,5.36
2010-06,5.51
2010-07,5.97
2010-08,5.97
2010-09,5.91
2010-10,5.79
2010-11,5.77
2010-12,5.43
2011-01,7.2
2011-02,7.04
2011-03,6.76
2011-04,6.77
2011-05,6.29
2011-06,6.3
2011-07,5.46
2011-08,5.26
2011-09,5.08
2011-10,4.74
2011-11,4.64
2011-12,4.56
2012-01,2.59
2012-02,2.48
2012-03,2.58
2012-04,2.46
2012-05,2.57
2012-06,2.77
2012-07,2.77
2012-08,2.87
2012-09,2.96
2012-10,3.38
2012-11,3.37
2012-12,3.58
2013-01,4.74
2013-02,4.61
2013-03,4.26
2013-04,4.04
2013-05,3.81
2013-06,3.33
2013-07,3.67
2013-08,3.3
2013-09,2.87
2013-10,2.69
2013-11,2.64
2013-12,2.55
2014-01,1.81
2014-02,2.03
2014-03,2.06
2014-04,2.55
2014-05,2.69
2014-06,2.6
2014-07,2.27
2014-08,2.45
2014-09,2.35
2014-10,2.08
2014-11,2.04
2014-12,1.9
2015-01,1.56
2015-02,1.35
2015-03,1.44
2015-04,1.01
2015-05,1.01
2015-06,1.2
2015-07,1.15
2015-08,0.99
2015-09,1.16
2015-10,1.18
2015-11,1.2
2015-12,1.23
2016-01,2.52
2016-02,2.57
2016-03,2.59
2016-04,2.53
2016-05,2.34
2016-06,2.26
2016-07,2.26
2016-08,2.06
2016-09,1.9
2016-10,1.56
2016-11,1.28
2016-12,0.97
2017-01,-0.53
2017-02,-0.57
2017-03,-0.74
2017-04,-0.66
2017-05,-0.74
2017-06,-0.55
2017-07,-0.78
2017-08,-0.74
2017-09,-0.78
2017-10,-1.16
2017-11,-1.7
2017-12,-1.11
2018-01,3.15
2018-02,2.94
2018-03,2.87
2018-04,2.49
2018-05,2.4
2018-06,2.33
2018-07,2.25
2018-08,2.28
2018-09,2.1
2018-10,2.14
2018-11,2.63
2018-12,1.91
2019-01,-3.16
2019-02,-3.24
2019-03,-3.21
2019-04,-2.88
2019-05,-2.63
2019-06,-2.59
2019-07,-2.19
2019-08,-1.86
2019-09,-1.41
2019-10,-0.89
2019-11,-0.81
2019-12,-0.18
2020-01,0.73
2020-02,1.23
2020-03,1.48
2020-04,1.3
2020-05,1.06
2020-06,0.52
2020-07,6.12
2020-08,6.16
2020-09,5.74
2020-10,5.76
2020-11,5.8
2020-12,5.33
2021-01,5.72
2021-02,5.25
2021-03,4.95
2021-04,5.26
2021-05,5.68
2021-06,6.16
2021-07,0.43
2021-08,0.27
2021-09,0.63
2021-10,0.82
2021-11,1.12
2021-12,1.24
2022-01,1.17
2022-02,1.62
2022-03,2.04
2022-04,2.3
2022-05,2.24
2022-06,2.31
2022-07,2.67
2022-08,3.0
2022-09,3.07
2022-10,3.01
2022-11,2.93
2022-12,3.3
