Date,South_Africa_CPI_Growth
1965-01,4.73
1965-02,4.73
1965-03,4.06
1965-04,4.36
1965-05,4.36
1965-06,4.35
1965-07,4.01
1965-08,4.31
1965-09,3.67
1965-10,3.66
1965-11,3.33
1965-12,3.32
1966-01,3.31
1966-02,3.92
1966-03,3.6
1966-04,3.28
1966-05,2.99
1966-06,3.27
1966-07,2.97
1966-08,2.65
1966-09,4.13
1966-10,4.12
1966-11,3.81
1966-12,3.8
1967-01,3.79
1967-02,3.19
1967-03,3.77
1967-04,3.76
1967-05,4.35
1967-06,4.03
1967-07,4.61
1967-08,4.6
1967-09,3.12
1967-10,2.54
1967-11,2.54
1967-12,2.25
1968-01,1.97
1968-02,2.25
1968-03,1.96
1968-04,1.95
1968-05,1.67
1968-06,1.66
1968-07,1.65
1968-08,1.37
1968-09,1.92
1968-10,2.2
1968-11,2.48
1968-12,2.75
1969-01,3.03
1969-02,2.75
1969-03,3.29
1969-04,3.28
1969-05,3.55
1969-06,3.27
1969-07,2.98
1969-08,2.98
1969-09,2.96
1969-10,3.5
1969-11,3.49
1969-12,3.75
1970-01,3.48
1970-02,3.48
1970-03,2.65
1970-04,5.08
1970-05,4.8
1970-06,4.8
1970-07,4.52
1970-08,7.2
1970-09,6.64
1970-10,6.09
1970-11,5.81
1970-12,5.26
1971-01,5.26
1971-02,5.26
1971-03,7.89
1971-04,5.13
1971-05,5.13
1971-06,5.13
1971-07,5.13
1971-08,5.0
1971-09,5.0
1971-10,7.5
1971-11,7.5
1971-12,7.5
1972-01,7.5
1972-02,7.5
1972-03,4.88
1972-04,4.88
1972-05,4.88
1972-06,4.88
1972-07,7.32
1972-08,7.14
1972-09,7.14
1972-10,6.98
1972-11,6.98
1972-12,6.98
1973-01,6.98
1973-02,6.98
1973-03,9.3
1973-04,11.63
1973-05,11.63
1973-06,11.63
1973-07,11.36
1973-08,8.89
1973-09,8.89
1973-10,8.7
1973-11,8.7
1973-12,8.7
1974-01,10.87
1974-02,10.87
1974-03,10.64
1974-04,8.33
1974-05,10.42
1974-06,12.5
1974-07,10.2
1974-08,12.24
1974-09,14.29
1974-10,12.0
1974-11,14.0
