Date,Türkiye_Rep_of_CPI_Growth
1965-01,1.13
1965-02,3.02
1965-03,3.05
1965-04,4.23
1965-05,3.41
1965-06,4.17
1965-07,5.77
1965-08,7.28
1965-09,6.49
1965-10,5.68
1965-11,4.89
1965-12,5.62
1966-01,8.18
1966-02,8.42
1966-03,12.59
1966-04,12.92
1966-05,10.62
1966-06,5.82
1966-07,6.18
1966-08,5.0
1966-09,6.09
1966-10,6.45
1966-11,8.6
1966-12,10.99
1967-01,12.03
1967-02,12.16
1967-03,10.2
1967-04,9.8
1967-05,13.25
1967-06,17.87
1967-07,17.47
1967-08,15.65
1967-09,15.2
1967-10,16.16
1967-11,15.84
1967-12,12.46
1968-01,8.9
1968-02,7.17
1968-03,5.58
1968-04,5.65
1968-05,4.11
1968-06,4.57
1968-07,5.41
1968-08,6.96
1968-09,6.65
1968-10,6.86
1968-11,5.33
1968-12,5.56
1969-01,4.96
1969-02,5.02
1969-03,5.65
1969-04,5.55
1969-05,6.05
1969-06,5.27
1969-07,4.14
1969-08,4.12
1969-09,3.83
1969-10,4.06
1969-11,4.55
1969-12,5.94
1970-01,6.49
1970-02,6.75
1970-03,6.89
1970-04,6.8
1970-05,6.61
1970-06,7.72
1970-07,7.61
1970-08,7.84
1970-09,9.19
1970-10,9.52
1970-11,10.2
1970-12,9.28
1971-01,9.6
1971-02,11.66
1971-03,12.57
1971-04,14.84
1971-05,15.21
1971-06,16.02
1971-07,22.89
1971-08,25.1
1971-09,25.37
1971-10,25.27
1971-11,24.8
1971-12,23.4
1972-01,21.93
1972-02,20.65
1972-03,19.64
1972-04,17.38
1972-05,17.85
1972-06,19.6
1972-07,14.78
1972-08,12.14
1972-09,12.0
1972-10,10.98
1972-11,10.48
1972-12,10.99
1973-01,12.24
1973-02,11.3
1973-03,11.38
1973-04,12.18
1973-05,12.6
1973-06,12.06
1973-07,10.99
1973-08,11.97
1973-09,15.84
1973-10,17.63
1973-11,18.3
1973-12,19.76
1974-01,19.69
1974-02,19.02
1974-03,25.44
1974-04,26.1
1974-05,26.09
1974-06,24.72
1974-07,25.89
1974-08,25.52
1974-09,23.08
1974-10,22.56
1974-11,23.83
1974-12,24.62
1975-01,24.53
1975-02,30.2
1975-03,25.87
1975-04,24.45
1975-05,23.3
