Date,United_Kingdom_CPI_Growth
1965-01,4.58
1965-02,4.48
1965-03,4.47
1965-04,5.56
1965-05,5.05
1965-06,4.93
1965-07,4.93
1965-08,4.73
1965-09,4.82
1965-10,4.82
1965-11,4.41
1965-12,4.49
1966-01,4.38
1966-02,4.47
1966-03,4.28
1966-04,3.57
1966-05,3.91
1966-06,3.9
1966-07,3.46
1966-08,3.9
1966-09,3.63
1966-10,3.8
1966-11,3.96
1966-12,3.68
1967-01,3.67
1967-02,3.67
1967-03,3.49
1967-04,3.02
1967-05,2.23
1967-06,2.39
1967-07,2.23
1967-08,1.36
1967-09,1.45
1967-10,1.96
1967-11,1.95
1967-12,2.45
1968-01,2.62
1968-02,3.04
1968-03,3.37
1968-04,4.44
1968-05,4.61
1968-06,4.59
1968-07,5.29
1968-08,5.72
1968-09,5.89
1968-10,5.6
1968-11,5.23
1968-12,5.94
1969-01,6.17
1969-02,6.22
1969-03,6.28
1969-04,5.53
1969-05,5.28
1969-06,5.34
1969-07,5.26
1969-08,4.85
1969-09,5.09
1969-10,5.38
1969-11,5.37
1969-12,4.67
1970-01,4.96
1970-02,4.93
1970-03,5.14
1970-04,5.62
1970-05,6.08
1970-06,5.9
1970-07,6.66
1970-08,6.83
1970-09,7.03
1970-10,7.36
1970-11,7.87
1970-12,7.89
1971-01,8.49
1971-02,8.52
1971-03,8.76
1971-04,9.42
1971-05,9.82
1971-06,10.29
1971-07,10.15
1971-08,10.3
1971-09,9.89
1971-10,9.37
1971-11,9.24
1971-12,9.03
1972-01,8.16
1972-02,8.12
1972-03,7.58
1972-04,6.31
1972-05,6.14
1972-06,6.09
1972-07,5.8
1972-08,6.57
1972-09,7.01
1972-10,7.86
1972-11,7.63
1972-12,7.65
1973-01,7.74
1973-02,7.88
1973-03,8.17
1973-04,9.21
1973-05,9.47
1973-06,9.29
1973-07,9.44
1973-08,8.88
1973-09,9.25
1973-10,9.9
1973-11,10.34
1973-12,10.58
1974-01,11.97
1974-02,13.14
1974-03,13.49
1974-04,15.17
1974-05,15.94
1974-06,16.54
1974-07,17.09
1974-08,16.87
1974-09,17.11
1974-10,17.11
1974-11,18.28
1974-12,19.14
1975-01,19.9
1975-02,19.86
1975-03,21.15
1975-04,21.68
1975-05,25.0
1975-06,26.13
1975-07,26.25
1975-08,26.87
1975-09,26.58
