Date,MXIT
1999-02,-0.0121
1999-03,0.0352
1999-04,-0.0315
1999-05,-0.047
1999-06,-0.0199
1999-07,-0.0294
1999-08,0.023700000000000002
1999-09,0.0183
1999-10,-0.0321
1999-11,0.0229
1999-12,0.1475
2000-01,-0.061900000000000004
2000-02,0.134
2000-03,-0.0674
2000-04,-0.0633
2000-05,0.0588
2000-06,0.0605
2000-07,-0.0354
2000-08,-0.018799999999999997
2000-09,-0.0554
2000-10,0.0233
2000-11,0.018000000000000002
2000-12,0.02
2001-01,0.017
2001-02,-0.0977
2001-03,-0.0705
2001-04,0.059800000000000006
2001-05,-0.0852
2001-06,-0.0322
2001-07,0.0189
2001-08,-0.0069
2001-09,-0.13949999999999999
2001-10,0.034
2001-11,0.0176
2001-12,0.012
2002-01,-0.037200000000000004
2002-02,0.0021
2002-03,0.0594
2002-04,0.0097
2002-05,-0.0218
2002-06,0.0144
2002-07,-0.1038
2002-08,0.0148
2002-09,-0.138
2002-10,0.0824
2002-11,0.09369999999999999
2002-12,-0.0161
2003-01,-0.0138
2003-02,0.0323
2003-03,-0.0805
2003-04,0.1382
2003-05,0.1157
2003-06,-0.0151
2003-07,-0.0043
2003-08,-0.0316
2003-09,0.041299999999999996
2003-10,0.0443
2003-11,0.0833
2003-12,0.0424
2004-01,0.0277
2004-02,0.0123
2004-03,-0.0382
2004-04,0.0129
2004-05,0.013300000000000001
2004-06,0.0397
2004-07,-0.0276
2004-08,-0.0040999999999999995
2004-09,0.0547
2004-10,0.060700000000000004
2004-11,0.077
2004-12,0.083
2005-01,-0.0256
2005-02,0.029300000000000003
2005-03,-0.0034999999999999996
2005-04,-0.039
2005-05,-0.009300000000000001
2005-06,0.0105
2005-07,0.0417
2005-08,0.009899999999999999
2005-09,0.0139
2005-10,-0.0641
2005-11,0.023399999999999997
2005-12,0.0492
2006-01,0.051399999999999994
2006-02,0.006500000000000001
2006-03,0.0274
2006-04,0.045599999999999995
2006-05,-0.0038
2006-06,0.0069
2006-07,0.0051
2006-08,0.0405
2006-09,0.0005
2006-10,0.0401
2006-11,0.0555
2006-12,0.0206
2007-01,0.0003
2007-02,-0.0106
2007-03,0.023700000000000002
2007-04,0.0748
2007-05,-0.009899999999999999
2007-06,-0.0137
2007-07,-0.030699999999999998
2007-08,-0.0045000000000000005
2007-09,0.0382
2007-10,0.0368
