Date,MXUS
1970-01,-0.0741
1970-02,0.053399999999999996
1970-03,0.0031
1970-04,-0.08929999999999999
1970-05,-0.059500000000000004
1970-06,-0.044000000000000004
1970-07,0.0718
1970-08,0.038
1970-09,0.031
1970-10,-0.01
1970-11,0.0519
1970-12,0.055
1971-01,0.0437
1971-02,0.008
1971-03,0.0385
1971-04,0.0368
1971-05,-0.0408
1971-06,0.004699999999999999
1971-07,-0.0377
1971-08,0.039
1971-09,-0.0144
1971-10,-0.0378
1971-11,0.0019
1971-12,0.060700000000000004
1972-01,0.0184
1972-02,0.0263
1972-03,0.0139
1972-04,-0.0001
1972-05,-0.0027
1972-06,-0.0195
1972-07,-0.0073
1972-08,0.0348
1972-09,0.0
1972-10,0.011399999999999999
1972-11,0.0369
1972-12,0.0152
1973-01,-0.0252
1973-02,-0.0481
1973-03,-0.013300000000000001
1973-04,-0.039900000000000005
1973-05,-0.0173
1973-06,-0.0001
1973-07,0.0377
1973-08,-0.0349
1973-09,0.034
1973-10,0.0027
1973-11,-0.10779999999999999
1973-12,0.015600000000000001
1974-01,-0.0191
1974-02,-0.0032
1974-03,-0.0265
1974-04,-0.0406
1974-05,-0.0332
1974-06,-0.0192
1974-07,-0.0819
1974-08,-0.0931
1974-09,-0.1193
1974-10,0.17300000000000001
1974-11,-0.049100000000000005
1974-12,-0.0239
1975-01,0.1258
1975-02,0.0594
1975-03,0.021400000000000002
1975-04,0.04190000000000001
1975-05,0.042699999999999995
1975-06,0.0452
1975-07,-0.0697
1975-08,-0.0248
1975-09,-0.0379
1975-10,0.06559999999999999
1975-11,0.0274
1975-12,-0.0127
1976-01,0.1137
1976-02,-0.0129
1976-03,0.0322
1976-04,-0.0132
1976-05,-0.013500000000000002
1976-06,0.0416
1976-07,-0.008100000000000001
1976-08,-0.0036
1976-09,0.0226
1976-10,-0.0213
1976-11,-0.006999999999999999
1976-12,0.050300000000000004
1977-01,-0.051399999999999994
1977-02,-0.0233
1977-03,-0.014499999999999999
1977-04,0.0001
1977-05,-0.0219
1977-06,0.0454
1977-07,-0.0155
1977-08,-0.0219
1977-09,-0.0026
1977-10,-0.0447
1977-11,0.0225
1977-12,0.0023
1978-01,-0.061799999999999994
1978-02,-0.0262
1978-03,0.0204
1978-04,0.0906
1978-05,0.0004
1978-06,-0.0195
1978-07,0.056900000000000006
1978-08,0.022799999999999997
1978-09,-0.0079
1978-10,-0.08869999999999999
1978-11,0.0161
1978-12,0.0139
1979-01,0.041299999999999996
1979-02,-0.0387
1979-03,0.0524
1979-04,-0.0042
1979-05,-0.023700000000000002
1979-06,0.0339
1979-07,0.0067
1979-08,0.045
1979-09,-0.006
1979-10,-0.06849999999999999
1979-11,0.036699999999999997
1979-12,0.0115
1980-01,0.0556
1980-02,-0.0147
1980-03,-0.0931
1980-04,0.0383
1980-05,0.0429
1980-06,0.0276
1980-07,0.0616
1980-08,0.0025
1980-09,0.0207
1980-10,0.0208
1980-11,0.1001
1980-12,-0.0387
1981-01,-0.041299999999999996
1981-02,0.0168
1981-03,0.028999999999999998
1981-04,-0.022799999999999997
1981-05,-0.0072
1981-06,-0.0067
1981-07,0.0027
1981-08,-0.061399999999999996
1981-09,-0.0519
1981-10,0.0447
1981-11,0.039
1981-12,-0.0311
1982-01,-0.0161
1982-02,-0.0565
1982-03,-0.0105
1982-04,0.038599999999999995
1982-05,-0.0382
1982-06,-0.0179
1982-07,-0.0231
1982-08,0.1177
1982-09,0.0083
1982-10,0.1066
1982-11,0.0346
1982-12,0.0138
1983-01,0.0359
1983-02,0.0172
1983-03,0.0308
1983-04,0.0747
1983-05,-0.0189
1983-06,0.0351
1983-07,-0.0358
1983-08,0.0168
1983-09,0.0095
1983-10,-0.0148
1983-11,0.0179
1983-12,-0.009000000000000001
1984-01,-0.0147
1984-02,-0.0451
1984-03,0.0147
1984-04,0.0066
1984-05,-0.059800000000000006
1984-06,0.0172
1984-07,-0.0118
1984-08,0.10460000000000001
1984-09,-0.0022
1984-10,0.0013
1984-11,-0.013500000000000002
1984-12,0.021400000000000002
1985-01,0.0765
1985-02,0.0083
1985-03,-0.0008
1985-04,-0.005699999999999999
1985-05,0.0583
1985-06,0.0113
1985-07,-0.0064
1985-08,-0.0125
1985-09,-0.035
1985-10,0.04190000000000001
1985-11,0.066
1985-12,0.0483
1986-01,0.0031
1986-02,0.0725
1986-03,0.0528
1986-04,-0.0168
1986-05,0.0464
1986-06,0.0102
1986-07,-0.0562
1986-08,0.071
1986-09,-0.08810000000000001
1986-10,0.0537
1986-11,0.0206
1986-12,-0.0281
1987-01,0.1298
1987-02,0.0332
1987-03,0.024300000000000002
1987-04,-0.0116
1987-05,0.003
1987-06,0.049100000000000005
1987-07,0.045
1987-08,0.037000000000000005
1987-09,-0.023700000000000002
1987-10,-0.2146
1987-11,-0.0876
1987-12,0.067
1988-01,0.039599999999999996
1988-02,0.0387
1988-03,-0.0365
1988-04,0.0059
1988-05,0.0053
1988-06,0.0433
1988-07,-0.0062
1988-08,-0.036699999999999997
1988-09,0.0395
1988-10,0.0275
1988-11,-0.018500000000000003
1988-12,0.0132
1989-01,0.0729
1989-02,-0.0329
1989-03,0.0194
1989-04,0.0512
1989-05,0.0356
1989-06,-0.0066
1989-07,0.08869999999999999
1989-08,0.0124
1989-09,-0.0048
1989-10,-0.0254
1989-11,0.0178
1989-12,0.019799999999999998
1990-01,-0.0677
1990-02,0.011899999999999999
1990-03,0.0207
1990-04,-0.0233
1990-05,0.0894
1990-06,-0.0064
1990-07,-0.0043
1990-08,-0.0943
1990-09,-0.0495
1990-10,-0.0063
1990-11,0.062400000000000004
1990-12,0.024700000000000003
1991-01,0.0446
1991-02,0.0663
1991-03,0.0217
1991-04,0.0013
1991-05,0.038900000000000004
1991-06,-0.0484
1991-07,0.0441
1991-08,0.0216
1991-09,-0.0195
1991-10,0.0146
1991-11,-0.043
1991-12,0.1115
1992-01,-0.0191
1992-02,0.009000000000000001
1992-03,-0.0209
1992-04,0.026699999999999998
1992-05,0.0016
1992-06,-0.0178
1992-07,0.0391
1992-08,-0.0264
1992-09,0.0083
1992-10,0.0036
1992-11,0.030699999999999998
1992-12,0.0086
1993-01,0.0064
1993-02,0.0108
1993-03,0.0183
1993-04,-0.024399999999999998
1993-05,0.0232
1993-06,0.0008
1993-07,-0.0034000000000000002
1993-08,0.0338
1993-09,-0.0121
1993-10,0.015300000000000001
1993-11,-0.009000000000000001
1993-12,0.0098
1994-01,0.0341
1994-02,-0.030299999999999997
1994-03,-0.045599999999999995
1994-04,0.011899999999999999
1994-05,0.0144
1994-06,-0.030299999999999997
1994-07,0.0315
1994-08,0.037200000000000004
1994-09,-0.0233
1994-10,0.0208
1994-11,-0.0363
1994-12,0.0124
1995-01,0.025699999999999997
1995-02,0.04019999999999999
1995-03,0.0271
1995-04,0.0308
1995-05,0.04019999999999999
1995-06,0.0248
1995-07,0.0334
1995-08,0.0011
1995-09,0.045
1995-10,-0.0009
1995-11,0.045
1995-12,0.015300000000000001
1996-01,0.0352
1996-02,0.0111
1996-03,0.0103
1996-04,0.0143
1996-05,0.0275
1996-06,0.0059
1996-07,-0.044199999999999996
1996-08,0.023
1996-09,0.056299999999999996
1996-10,0.0253
1996-11,0.07629999999999999
1996-12,-0.018600000000000002
1997-01,0.068
1997-02,0.0076
1997-03,-0.044500000000000005
1997-04,0.0655
1997-05,0.0572
1997-06,0.045700000000000005
1997-07,0.07919999999999999
1997-08,-0.0591
1997-09,0.0525
1997-10,-0.0275
1997-11,0.049
1997-12,0.0151
1998-01,0.0125
1998-02,0.0707
1998-03,0.0521
1998-04,0.0116
1998-05,-0.0197
1998-06,0.0431
1998-07,-0.01
1998-08,-0.139
1998-09,0.066
1998-10,0.0771
1998-11,0.0684
1998-12,0.0593
1999-01,0.0429
1999-02,-0.0277
1999-03,0.0418
1999-04,0.0358
1999-05,-0.0231
1999-06,0.053899999999999997
1999-07,-0.0327
1999-08,-0.0060999999999999995
1999-09,-0.029500000000000002
1999-10,0.06509999999999999
1999-11,0.0217
1999-12,0.0698
2000-01,-0.0538
2000-02,-0.0236
2000-03,0.1
2000-04,-0.0325
2000-05,-0.026099999999999998
