Date,Brazil_Exchange_Rate
1979-12,81.64
1980-01,78.14
1980-02,79.21
1980-03,82.47
1980-04,83.06
1980-05,81.74
1980-06,81.52
1980-07,82.53
1980-08,84.56
1980-09,84.29
1980-10,88.66
1980-11,91.78
1980-12,93.76
1981-01,92.97
1981-02,97.0
1981-03,96.24
1981-04,97.99
1981-05,98.98
1981-06,101.28
1981-07,101.55
1981-08,101.95
1981-09,99.42
1981-10,97.74
1981-11,95.92
1981-12,95.24
1982-01,97.22
1982-02,100.36
1982-03,102.81
1982-04,104.47
1982-05,103.73
1982-06,108.59
1982-07,110.38
1982-08,111.73
1982-09,111.07
1982-10,109.79
1982-11,109.35
1982-12,106.45
1983-01,105.3
1983-02,94.78
1983-03,80.69
1983-04,79.59
1983-05,77.61
1983-06,79.41
1983-07,79.48
1983-08,78.05
1983-09,78.81
1983-10,76.25
1983-11,74.44
1983-12,74.12
1984-01,74.49
1984-02,71.28
1984-03,67.48
1984-04,68.43
1984-05,70.19
1984-06,71.79
1984-07,72.89
1984-08,73.34
1984-09,75.93
1984-10,76.91
1984-11,75.21
1984-12,76.09
1985-01,75.31
1985-02,74.73
1985-03,74.4
1985-04,69.0
1985-05,67.19
1985-06,66.42
1985-07,66.8
1985-08,69.32
1985-09,70.7
1985-10,69.41
1985-11,70.84
1985-12,70.6
1986-01,67.81
1986-02,63.37
1986-03,61.33
1986-04,62.3
1986-05,62.5
1986-06,63.6
1986-07,65.18
1986-08,68.25
1986-09,70.47
1986-10,71.89
1986-11,74.58
1986-12,77.27
1987-01,75.02
1987-02,71.48
1987-03,70.45
1987-04,73.82
1987-05,68.85
1987-06,64.9
1987-07,65.07
1987-08,67.72
1987-09,69.25
1987-10,72.78
1987-11,71.5
1987-12,67.78
1988-01,65.5
1988-02,64.5
1988-03,61.7
1988-04,63.3
1988-05,63.05
1988-06,66.82
1988-07,72.13
1988-08,75.19
1988-09,79.42
1988-10,78.21
1988-11,74.67
1988-12,72.11
1989-01,67.87
1989-02,71.13
1989-03,72.54
1989-04,81.35
1989-05,94.1
1989-06,102.27
1989-07,93.83
1989-08,101.94
1989-09,108.59
1989-10,108.74
1989-11,112.38
1989-12,110.13
1990-01,104.71
1990-02,109.4
1990-03,117.73
1990-04,110.74
1990-05,110.25
1990-06,117.72
1990-07,117.55
1990-08,124.81
1990-09,136.2
1990-10,121.01
1990-11,107.95
1990-12,97.27
1991-01,68.03
1991-02,87.43
1991-03,92.06
1991-04,93.53
1991-05,94.86
1991-06,102.09
1991-07,107.84
1991-08,112.77
1991-09,113.23
1991-10,99.66
1991-11,95.43
1991-12,88.27
1992-01,82.43
1992-02,82.08
1992-03,78.58
1992-04,78.79
1992-05,81.51
1992-06,82.38
1992-07,82.96
1992-08,84.38
1992-09,86.97
1992-10,89.86
1992-11,91.12
1992-12,92.41
1993-01,91.83
1993-02,89.25
1993-03,86.62
1993-04,84.52
1993-05,82.7
1993-06,83.75
1993-07,86.88
1993-08,89.19
1993-09,90.36
1993-10,91.22
1993-11,93.51
1993-12,95.85
1994-01,94.79
1994-02,92.05
1994-03,93.13
1994-04,87.8
1994-05,85.74
1994-06,85.97
1994-07,81.54
1994-08,87.23
1994-09,93.21
1994-10,98.85
1994-11,104.37
1994-12,108.23
1995-01,107.8
1995-02,107.41
1995-03,98.46
1995-04,94.77
1995-05,97.01
1995-06,95.89
1995-07,96.71
1995-08,99.54
1995-09,102.2
1995-10,103.55
1995-11,106.05
1995-12,108.67
1996-01,109.08
1996-02,108.33
1996-03,106.67
1996-04,106.19
1996-05,105.79
1996-06,105.44
1996-07,105.53
1996-08,105.8
