Date,Canada_Exchange_Rate
1979-01,92.15
1979-02,92.26
1979-03,94.26
1979-04,97.42
1979-05,96.66
1979-06,94.56
1979-07,93.7
1979-08,92.81
1979-09,93.61
1979-10,93.24
1979-11,93.61
1979-12,93.44
1980-01,92.94
1980-02,93.84
1980-03,93.25
1980-04,92.49
1980-05,91.32
1980-06,92.24
1980-07,92.49
1980-08,92.94
1980-09,91.95
1980-10,91.69
1980-11,91.68
1980-12,91.21
1981-01,92.06
1981-02,93.07
1981-03,94.28
1981-04,95.48
1981-05,96.21
1981-06,97.73
1981-07,98.32
1981-08,98.26
1981-09,99.11
1981-10,99.06
1981-11,99.72
1981-12,100.17
1982-01,100.74
1982-02,100.98
1982-03,102.41
1982-04,102.98
1982-05,101.39
1982-06,100.09
1982-07,101.49
1982-08,103.95
1982-09,105.86
1982-10,107.62
1982-11,108.65
1982-12,105.65
1983-01,105.3
1983-02,106.32
1983-03,107.83
1983-04,107.16
1983-05,106.87
1983-06,108.17
1983-07,108.75
1983-08,109.97
1983-09,109.8
1983-10,108.99
1983-11,109.01
1983-12,108.89
1984-01,109.46
1984-02,108.45
1984-03,105.02
1984-04,104.81
1984-05,104.55
1984-06,104.24
1984-07,104.19
1984-08,105.97
1984-09,106.42
1984-10,106.44
1984-11,106.13
1984-12,106.96
1985-01,108.01
1985-02,107.21
1985-03,104.67
1985-04,104.08
1985-05,103.31
1985-06,103.46
1985-07,102.94
1985-08,101.6
1985-09,101.48
1985-10,98.67
1985-11,96.89
1985-12,95.25
1986-01,94.02
1986-02,92.78
1986-03,92.48
1986-04,93.42
1986-05,93.46
1986-06,92.54
1986-07,92.49
1986-08,91.33
1986-09,91.38
1986-10,91.6
1986-11,92.63
1986-12,92.73
1987-01,91.98
1987-02,93.28
1987-03,93.89
1987-04,93.09
1987-05,91.08
1987-06,92.0
1987-07,93.83
1987-08,93.77
1987-09,93.5
1987-10,93.83
1987-11,91.45
1987-12,90.85
1988-01,92.68
1988-02,94.64
1988-03,95.57
1988-04,96.26
1988-05,96.25
1988-06,98.79
1988-07,101.42
1988-08,100.54
1988-09,100.41
1988-10,101.07
1988-11,98.19
1988-12,99.81
1989-01,101.55
1989-02,102.27
1989-03,102.36
1989-04,103.03
1989-05,104.72
1989-06,105.53
1989-07,105.25
1989-08,107.08
1989-09,107.37
1989-10,106.76
1989-11,106.99
1989-12,106.63
1990-01,104.88
1990-02,102.6
1990-03,104.78
1990-04,106.45
1990-05,104.72
1990-06,104.92
1990-07,105.2
1990-08,104.72
1990-09,102.54
1990-10,101.34
1990-11,100.95
1990-12,101.85
1991-01,104.74
1991-02,103.43
1991-03,105.66
1991-04,107.16
1991-05,107.72
1991-06,109.4
1991-07,108.37
1991-08,108.27
1991-09,107.81
1991-10,107.81
1991-11,106.27
1991-12,103.58
1992-01,102.63
1992-02,100.72
1992-03,100.95
1992-04,101.23
1992-05,99.3
1992-06,98.56
1992-07,97.73
1992-08,97.35
1992-09,94.72
1992-10,93.74
1992-11,93.63
1992-12,93.5
1993-01,93.47
1993-02,95.11
1993-03,95.49
1993-04,92.93
1993-05,92.09
1993-06,91.42
1993-07,91.95
1993-08,89.78
1993-09,88.44
1993-10,88.59
1993-11,89.66
1993-12,88.67
1994-01,90.05
1994-02,86.84
