Date,China_P.R.:_Mainland_Exchange_Rate
1979-12,279.27
1980-01,281.66
1980-02,280.27
1980-03,276.46
1980-04,276.65
1980-05,271.02
1980-06,269.49
1980-07,271.13
1980-08,269.64
1980-09,265.15
1980-10,263.66
1980-11,259.67
1980-12,254.04
1981-01,251.93
1981-02,247.57
1981-03,244.42
1981-04,243.28
1981-05,239.92
1981-06,239.68
1981-07,244.54
1981-08,242.34
1981-09,242.7
1981-10,240.06
1981-11,236.11
1981-12,234.06
1982-01,234.98
1982-02,234.87
1982-03,235.84
1982-04,236.15
1982-05,235.17
1982-06,231.74
1982-07,231.24
1982-08,229.37
1982-09,228.52
1982-10,227.31
1982-11,225.3
1982-12,222.45
1983-01,222.83
1983-02,222.44
1983-03,223.51
1983-04,223.04
1983-05,223.03
1983-06,226.49
1983-07,227.49
1983-08,232.89
1983-09,233.17
1983-10,230.75
1983-11,229.47
1983-12,230.46
1984-01,224.45
1984-02,218.77
1984-03,214.83
1984-04,213.31
1984-05,207.2
1984-06,205.54
1984-07,205.33
1984-08,200.66
1984-09,190.04
1984-10,190.8
1984-11,181.77
1984-12,176.65
1985-01,180.0
1985-02,181.81
1985-03,182.73
1985-04,180.18
1985-05,181.84
1985-06,179.36
1985-07,177.45
1985-08,173.06
1985-09,171.88
1985-10,157.91
1985-11,148.9
1985-12,147.01
1986-01,144.4
1986-02,138.48
1986-03,135.69
1986-04,134.98
1986-05,133.2
1986-06,133.66
1986-07,113.74
1986-08,109.22
1986-09,110.66
1986-10,110.7
1986-11,112.39
1986-12,112.51
1987-01,109.78
1987-02,108.78
1987-03,108.62
1987-04,106.29
1987-05,105.94
1987-06,107.67
1987-07,109.26
1987-08,108.18
1987-09,106.88
1987-10,107.65
1987-11,104.85
1987-12,102.83
1988-01,105.23
1988-02,107.11
1988-03,107.58
1988-04,107.96
1988-05,110.38
1988-06,114.47
1988-07,120.72
1988-08,125.14
1988-09,128.49
1988-10,127.76
1988-11,124.98
1988-12,126.58
1989-01,131.43
1989-02,133.38
1989-03,135.65
1989-04,137.04
1989-05,141.76
1989-06,144.3
1989-07,140.92
1989-08,139.99
1989-09,140.57
1989-10,136.82
1989-11,136.14
1989-12,118.39
1990-01,105.06
1990-02,95.06
1990-03,107.12
1990-04,107.19
1990-05,105.7
1990-06,104.97
1990-07,103.0
1990-08,101.27
1990-09,99.62
1990-10,97.02
1990-11,92.23
1990-12,88.71
1991-01,87.03
1991-02,86.35
1991-03,89.16
1991-04,88.9
1991-05,90.33
1991-06,90.89
1991-07,90.54
1991-08,90.01
1991-09,88.35
1991-10,87.53
1991-11,85.91
1991-12,85.12
1992-01,83.7
1992-02,84.44
1992-03,85.58
1992-04,85.44
1992-05,84.65
1992-06,84.18
1992-07,83.67
1992-08,84.17
1992-09,83.79
1992-10,84.77
1992-11,86.32
1992-12,84.28
1993-01,85.8
1993-02,85.79
1993-03,87.76
1993-04,87.86
1993-05,88.51
1993-06,88.96
1993-07,90.67
1993-08,90.8
1993-09,90.85
1993-10,92.5
1993-11,94.53
1993-12,95.97
1994-01,66.58
1994-02,66.79
1994-03,67.34
1994-04,67.99
1994-05,68.63
1994-06,69.62
1994-07,69.82
1994-08,71.67
1994-09,73.11
1994-10,73.8
1994-11,75.01
1994-12,76.31
1995-01,77.59
1995-02,77.43
1995-03,75.84
1995-04,74.68
1995-05,76.79
1995-06,76.96
1995-07,77.73
1995-08,79.87
1995-09,81.49
1995-10,81.37
1995-11,81.9
1995-12,82.01
1996-01,83.6
1996-02,83.98
1996-03,84.65
1996-04,85.58
1996-05,85.96
1996-06,86.74
1996-07,86.91
1996-08,86.74
1996-09,87.41
1996-10,88.16
1996-11,87.92
1996-12,88.68
1997-01,90.01
1997-02,92.11
1997-03,92.08
1997-04,92.76
1997-05,91.73
1997-06,91.1
1997-07,91.98
1997-08,93.19
1997-09,93.51
1997-10,93.44
1997-11,95.08
1997-12,99.06
1998-01,101.19
1998-02,99.23
1998-03,99.07
1998-04,98.51
1998-05,98.6
1998-06,99.93
1998-07,99.28
1998-08,100.23
1998-09,98.28
1998-10,94.66
1998-11,94.05
1998-12,93.11
1999-01,92.03
1999-02,93.3
1999-03,94.66
1999-04,93.93
1999-05,94.0
1999-06,93.91
1999-07,94.03
1999-08,92.43
1999-09,91.85
1999-10,91.2
1999-11,90.68
1999-12,90.19
2000-01,90.68
2000-02,92.78
2000-03,91.54
2000-04,91.15
2000-05,92.92
2000-06,91.58
2000-07,91.95
2000-08,92.7
2000-09,93.42
2000-10,94.42
2000-11,95.01
2000-12,94.95
2001-01,95.27
2001-02,95.01
2001-03,96.53
2001-04,97.77
2001-05,97.54
2001-06,97.95
2001-07,98.52
2001-08,96.52
2001-09,95.46
2001-10,96.36
2001-11,96.7
2001-12,97.58
2002-01,98.4
2002-02,99.27
2002-03,97.9
2002-04,97.16
2002-05,95.42
2002-06,93.81
2002-07,91.62
2002-08,92.11
2002-09,92.35
2002-10,93.18
2002-11,91.97
2002-12,91.53
2003-01,90.13
2003-02,90.15
2003-03,90.01
2003-04,90.18
2003-05,87.96
2003-06,87.65
2003-07,88.14
2003-08,88.74
2003-09,87.86
2003-10,86.44
2003-11,87.17
2003-12,86.18
2004-01,85.37
2004-02,84.18
2004-03,85.87
2004-04,86.46
2004-05,87.93
2004-06,87.12
2004-07,86.83
2004-08,87.39
2004-09,87.39
2004-10,86.08
2004-11,83.54
2004-12,82.05
2005-01,82.11
2005-02,82.91
2005-03,82.1
2005-04,82.8
2005-05,83.13
2005-06,84.31
2005-07,85.82
2005-08,86.06
2005-09,86.09
2005-10,87.43
2005-11,88.32
2005-12,87.97
2006-01,86.59
2006-02,86.97
2006-03,86.74
2006-04,86.31
2006-05,84.42
2006-06,85.61
2006-07,85.52
2006-08,85.4
2006-09,86.26
2006-10,87.29
2006-11,86.92
2006-12,87.08
2007-01,88.18
2007-02,88.49
2007-03,88.23
2007-04,87.54
2007-05,88.43
2007-06,89.81
2007-07,90.15
2007-08,91.18
2007-09,90.58
2007-10,89.49
2007-11,89.21
2007-12,90.67
2008-01,91.46
2008-02,93.52
2008-03,92.2
2008-04,93.14
2008-05,93.99
2008-06,95.0
2008-07,94.89
2008-08,96.83
2008-09,99.47
2008-10,103.99
2008-11,106.14
2008-12,103.48
2009-01,104.04
2009-02,105.93
2009-03,107.15
2009-04,105.13
2009-05,102.21
2009-06,100.72
2009-07,100.21
2009-08,99.41
2009-09,98.25
2009-10,96.73
2009-11,96.24
2009-12,97.27
2010-01,97.28
2010-02,98.98
2010-03,98.5
2010-04,98.75
2010-05,101.45
2010-06,102.7
2010-07,101.45
2010-08,100.23
2010-09,100.21
2010-10,98.7
2010-11,100.44
2010-12,101.31
2011-01,101.07
2011-02,100.8
2011-03,100.45
2011-04,99.73
2011-05,100.19
2011-06,101.06
2011-07,101.1
2011-08,101.72
2011-09,104.89
2011-10,106.48
2011-11,106.87
2011-12,107.99
2012-01,108.7
2012-02,106.35
2012-03,107.92
2012-04,108.31
2012-05,109.69
2012-06,110.59
2012-07,110.32
2012-08,109.31
2012-09,107.62
2012-10,107.48
2012-11,108.81
2012-12,108.94
2013-01,109.61
2013-02,110.46
2013-03,111.78
2013-04,113.15
2013-05,114.53
2013-06,115.57
2013-07,116.84
2013-08,116.76
2013-09,116.89
2013-10,115.98
2013-11,116.82
2013-12,117.44
2014-01,118.7
2014-02,118.09
2014-03,117.08
2014-04,115.51
2014-05,115.35
2014-06,115.74
2014-07,115.46
2014-08,116.43
2014-09,118.57
2014-10,120.62
2014-11,122.93
2014-12,125.83
2015-01,127.5
2015-02,129.09
2015-03,130.82
2015-04,130.25
2015-05,129.5
2015-06,130.79
2015-07,132.68
2015-08,130.99
2015-09,129.92
2015-10,128.92
2015-11,130.61
2015-12,129.47
2016-01,128.11
2016-02,128.43
2016-03,127.55
2016-04,125.83
2016-05,125.38
2016-06,123.61
2016-07,121.97
2016-08,121.1
2016-09,121.01
2016-10,120.54
2016-11,121.35
2016-12,121.84
2017-01,122.0
2017-02,119.62
2017-03,119.5
2017-04,118.96
2017-05,118.82
2017-06,119.57
2017-07,119.4
2017-08,120.0
2017-09,121.24
2017-10,121.65
2017-11,121.32
2017-12,121.17
2018-01,121.9
2018-02,123.81
2018-03,123.34
2018-04,124.44
2018-05,125.45
2018-06,125.01
2018-07,121.33
2018-08,119.82
2018-09,120.01
2018-10,119.13
2018-11,119.14
2018-12,120.14
2019-01,120.71
2019-02,121.91
2019-03,123.07
2019-04,123.54
2019-05,121.87
2019-06,120.76
2019-07,121.22
2019-08,119.61
2019-09,119.2
2019-10,120.06
2019-11,121.38
2019-12,120.79
2020-01,122.89
2020-02,123.45
2020-03,124.47
2020-04,125.15
2020-05,123.39
2020-06,121.6
2020-07,121.23
