Date,France_Exchange_Rate
1979-12,118.7
1980-01,119.39
1980-02,118.8
1980-03,118.17
1980-04,118.65
1980-05,118.62
1980-06,118.98
1980-07,120.33
1980-08,120.01
1980-09,119.72
1980-10,119.37
1980-11,117.34
1980-12,117.26
1981-01,116.49
1981-02,114.71
1981-03,114.5
1981-04,114.54
1981-05,111.69
1981-06,112.13
1981-07,112.95
1981-08,112.44
1981-09,115.25
1981-10,113.7
1981-11,112.81
1981-12,111.96
1982-01,111.86
1982-02,112.11
1982-03,112.7
1982-04,112.77
1982-05,113.85
1982-06,108.76
1982-07,105.49
1982-08,104.77
1982-09,103.49
1982-10,103.65
1982-11,104.86
1982-12,107.15
1983-01,108.07
1983-02,108.52
1983-03,107.92
1983-04,104.85
1983-05,103.96
1983-06,103.51
1983-07,103.41
1983-08,102.67
1983-09,102.88
1983-10,102.92
1983-11,102.54
1983-12,102.0
1984-01,101.31
1984-02,102.33
1984-03,103.56
1984-04,103.56
1984-05,102.69
1984-06,103.31
1984-07,103.22
1984-08,103.05
1984-09,102.18
1984-10,102.1
1984-11,102.95
1984-12,102.38
1985-01,102.41
1985-02,101.98
1985-03,102.14
1985-04,103.75
1985-05,103.94
1985-06,104.2
1985-07,105.49
1985-08,106.89
1985-09,106.74
1985-10,108.15
1985-11,108.56
1985-12,109.27
1986-01,110.01
1986-02,110.77
1986-03,111.45
1986-04,107.95
1986-05,107.28
1986-06,107.64
1986-07,107.8
1986-08,108.02
1986-09,108.34
1986-10,109.84
1986-11,109.84
1986-12,109.84
1987-01,110.89
1987-02,111.5
1987-03,110.65
1987-04,110.37
1987-05,110.33
1987-06,110.26
1987-07,110.33
1987-08,109.74
1987-09,109.94
1987-10,109.87
1987-11,109.98
1987-12,110.45
1988-01,111.06
1988-02,110.27
1988-03,109.75
1988-04,109.29
1988-05,109.11
1988-06,108.87
1988-07,108.04
1988-08,106.83
1988-09,107.01
1988-10,106.66
1988-11,107.13
1988-12,106.67
1989-01,105.63
1989-02,105.54
1989-03,106.14
1989-04,106.3
1989-05,105.18
1989-06,105.18
1989-07,106.13
1989-08,105.97
1989-09,105.72
1989-10,106.81
1989-11,107.48
1989-12,108.75
1990-01,109.49
1990-02,109.43
1990-03,109.98
1990-04,110.8
1990-05,110.01
1990-06,109.11
1990-07,109.14
1990-08,110.12
1990-09,110.46
1990-10,110.38
1990-11,110.56
1990-12,109.98
1991-01,109.09
1991-02,109.04
1991-03,107.15
1991-04,105.78
1991-05,105.33
1991-06,104.48
1991-07,104.13
1991-08,104.57
1991-09,104.75
1991-10,104.31
1991-11,105.42
1991-12,105.98
1992-01,105.53
1992-02,105.14
1992-03,105.07
1992-04,105.38
1992-05,105.93
1992-06,106.22
1992-07,107.3
1992-08,107.59
1992-09,108.9
1992-10,111.17
1992-11,109.97
1992-12,109.7
1993-01,110.04
1993-02,110.48
1993-03,110.2
1993-04,110.59
1993-05,109.99
1993-06,108.81
1993-07,106.99
1993-08,105.36
1993-09,106.95
1993-10,107.05
1993-11,106.54
1993-12,107.9
1994-01,107.41
1994-02,106.92
1994-03,107.67
1994-04,106.54
1994-05,107.24
1994-06,108.12
1994-07,108.79
1994-08,108.95
1994-09,109.24
1994-10,109.61
1994-11,108.94
1994-12,108.56
1995-01,109.36
1995-02,109.45
1995-03,111.09
1995-04,112.23
1995-05,109.45
1995-06,110.42
1995-07,111.63
1995-08,111.82
1995-09,111.53
1995-10,111.62
1995-11,112.84
1995-12,112.17
1996-01,112.22
1996-02,111.44
1996-03,111.6
1996-04,111.44
1996-05,110.52
1996-06,110.39
1996-07,111.13
1996-08,110.52
1996-09,109.93
1996-10,109.94
1996-11,109.58
1996-12,108.68
1997-01,107.81
1997-02,106.84
1997-03,106.73
1997-04,106.14
1997-05,105.8
1997-06,104.68
1997-07,102.8
1997-08,102.57
1997-09,104.01
1997-10,104.71
1997-11,105.35
1997-12,105.41
1998-01,104.98
1998-02,104.75
1998-03,104.25
1998-04,104.5
1998-05,105.53
1998-06,105.39
1998-07,105.27
1998-08,105.7
1998-09,106.72
1998-10,107.38
1998-11,106.46
1998-12,106.38
1999-01,105.77
1999-02,104.78
1999-03,103.91
1999-04,103.22
1999-05,102.95
1999-06,102.05
1999-07,101.93
1999-08,102.22
1999-09,101.37
1999-10,101.77
1999-11,100.54
1999-12,99.81
2000-01,99.97
2000-02,99.06
2000-03,98.35
2000-04,97.45
2000-05,96.57
2000-06,98.0
2000-07,97.59
2000-08,96.46
2000-09,95.56
