Date,Germany_Exchange_Rate
1979-01,122.68
1979-02,122.21
1979-03,121.69
1979-04,120.59
1979-05,120.29
1979-06,120.34
1979-07,120.36
1979-08,119.78
1979-09,120.78
1979-10,121.46
1979-11,122.41
1979-12,122.26
1980-01,120.33
1980-02,119.87
1980-03,117.64
1980-04,116.24
1980-05,116.6
1980-06,115.75
1980-07,115.52
1980-08,114.03
1980-09,112.73
1980-10,110.4
1980-11,108.7
1980-12,107.84
1981-01,106.22
1981-02,104.34
1981-03,106.31
1981-04,106.03
1981-05,104.29
1981-06,102.88
1981-07,102.61
1981-08,101.94
1981-09,104.19
1981-10,107.15
1981-11,106.53
1981-12,105.46
1982-01,105.1
1982-02,104.47
1982-03,105.51
1982-04,105.95
1982-05,107.14
1982-06,107.12
1982-07,107.24
1982-08,106.8
1982-09,106.88
1982-10,107.65
1982-11,107.62
1982-12,109.43
1983-01,109.17
1983-02,108.8
1983-03,110.32
1983-04,109.75
1983-05,108.67
1983-06,107.39
1983-07,106.81
1983-08,105.96
1983-09,106.0
1983-10,106.65
1983-11,105.09
1983-12,104.31
1984-01,103.36
1984-02,104.65
1984-03,105.66
1984-04,104.84
1984-05,103.46
1984-06,103.88
1984-07,102.82
1984-08,101.91
1984-09,100.46
1984-10,100.46
1984-11,100.91
1984-12,99.67
1985-01,99.68
1985-02,98.86
1985-03,98.49
1985-04,99.44
1985-05,98.62
1985-06,98.45
1985-07,99.19
1985-08,100.77
1985-09,100.26
1985-10,101.48
1985-11,101.32
1985-12,102.53
1986-01,103.53
1986-02,104.41
1986-03,104.72
1986-04,104.28
1986-05,104.5
1986-06,104.3
1986-07,105.14
1986-08,106.78
1986-09,107.44
1986-10,108.2
1986-11,107.92
1986-12,108.44
1987-01,110.43
1987-02,110.71
1987-03,109.65
1987-04,109.08
1987-05,109.26
1987-06,108.95
1987-07,108.64
1987-08,108.19
1987-09,108.13
1987-10,108.16
1987-11,109.96
1987-12,110.09
1988-01,109.87
1988-02,109.07
1988-03,108.82
1988-04,108.29
1988-05,107.78
1988-06,106.83
1988-07,105.77
1988-08,104.99
1988-09,105.69
1988-10,105.7
1988-11,106.14
1988-12,105.64
1989-01,104.81
1989-02,104.37
1989-03,104.45
1989-04,104.53
1989-05,103.63
1989-06,103.64
1989-07,104.15
1989-08,103.58
1989-09,103.44
1989-10,105.2
1989-11,106.09
1989-12,108.14
1990-01,108.41
1990-02,108.41
1990-03,107.98
1990-04,107.97
1990-05,107.81
1990-06,106.78
1990-07,106.53
1990-08,107.57
1990-09,107.13
1990-10,107.8
1990-11,108.33
1990-12,109.02
1991-01,108.01
1991-02,108.35
1991-03,106.25
1991-04,103.95
1991-05,103.81
1991-06,103.31
1991-07,103.96
1991-08,104.74
1991-09,105.32
1991-10,106.6
1991-11,107.88
1991-12,109.1
1992-01,108.77
1992-02,107.95
1992-03,107.98
1992-04,108.31
1992-05,108.41
1992-06,109.09
1992-07,110.95
1992-08,112.3
1992-09,113.73
1992-10,115.29
1992-11,113.59
1992-12,114.56
1993-01,115.57
1993-02,116.07
1993-03,115.91
1993-04,116.09
1993-05,114.95
1993-06,113.53
1993-07,112.92
1993-08,114.6
1993-09,116.68
1993-10,117.2
1993-11,115.11
1993-12,114.3
1994-01,113.52
1994-02,113.21
1994-03,114.67
1994-04,114.14
1994-05,115.34
1994-06,116.0
1994-07,117.21
1994-08,117.81
1994-09,117.4
1994-10,117.96
1994-11,117.74
1994-12,117.28
1995-01,118.46
1995-02,119.61
1995-03,123.57
1995-04,123.54
1995-05,121.94
1995-06,121.6
1995-07,121.96
1995-08,120.12
1995-09,120.16
1995-10,121.98
1995-11,121.47
1995-12,120.55
1996-01,119.77
1996-02,119.67
1996-03,118.71
1996-04,117.2
1996-05,115.9
1996-06,116.04
1996-07,116.48
1996-08,117.26
1996-09,116.4
1996-10,115.4
1996-11,115.33
1996-12,113.95
1997-01,113.34
1997-02,111.7
1997-03,111.57
1997-04,110.8
1997-05,110.84
1997-06,109.66
1997-07,108.04
1997-08,107.57
