Date,Italy_Exchange_Rate
1980-01,97.19
1980-02,97.96
1980-03,96.39
1980-04,96.07
1980-05,96.74
1980-06,96.7
1980-07,97.71
1980-08,98.33
1980-09,98.46
1980-10,97.92
1980-11,97.99
1980-12,96.88
1981-01,96.32
1981-02,95.43
1981-03,94.99
1981-04,93.46
1981-05,93.41
1981-06,93.35
1981-07,93.24
1981-08,93.37
1981-09,94.25
1981-10,92.61
1981-11,92.41
1981-12,92.88
1982-01,93.12
1982-02,93.43
1982-03,93.46
1982-04,92.96
1982-05,93.72
1982-06,93.54
1982-07,94.55
1982-08,96.02
1982-09,96.51
1982-10,96.67
1982-11,96.38
1982-12,98.71
1983-01,100.0
1983-02,100.66
1983-03,100.27
1983-04,100.36
1983-05,100.28
1983-06,100.33
1983-07,100.78
1983-08,99.74
1983-09,99.51
1983-10,99.94
1983-11,99.95
1983-12,99.72
1984-01,99.54
1984-02,99.89
1984-03,100.93
1984-04,101.41
1984-05,101.09
1984-06,101.72
1984-07,102.11
1984-08,101.56
1984-09,100.62
1984-10,100.34
1984-11,100.93
1984-12,101.67
1985-01,102.38
1985-02,101.96
1985-03,99.97
1985-04,100.09
1985-05,100.5
1985-06,101.46
1985-07,99.58
1985-08,99.19
1985-09,99.13
1985-10,100.29
1985-11,100.84
1985-12,101.63
1986-01,103.1
1986-02,104.52
1986-03,105.76
1986-04,105.55
1986-05,106.09
1986-06,106.45
1986-07,107.77
1986-08,109.65
1986-09,109.88
1986-10,110.88
1986-11,111.04
1986-12,111.64
1987-01,111.61
1987-02,111.74
1987-03,111.1
1987-04,110.74
1987-05,109.91
1987-06,110.0
1987-07,109.89
1987-08,110.13
1987-09,110.88
1987-10,111.29
1987-11,111.08
1987-12,111.71
1988-01,112.22
1988-02,111.36
1988-03,111.03
1988-04,110.37
1988-05,109.92
1988-06,109.33
1988-07,108.51
1988-08,108.24
1988-09,108.29
1988-10,108.92
1988-11,110.3
1988-12,111.04
1989-01,110.69
1989-02,110.99
1989-03,110.9
1989-04,111.12
1989-05,111.52
1989-06,112.1
1989-07,113.58
1989-08,113.91
1989-09,113.71
1989-10,113.4
1989-11,114.45
1989-12,115.47
1990-01,116.25
1990-02,117.43
1990-03,118.01
1990-04,118.93
1990-05,118.81
1990-06,118.37
1990-07,119.09
1990-08,119.47
1990-09,117.76
1990-10,117.67
1990-11,118.91
1990-12,119.44
1991-01,119.08
1991-02,120.11
1991-03,119.04
1991-04,118.34
1991-05,117.85
1991-06,117.07
1991-07,116.84
1991-08,117.35
1991-09,118.34
1991-10,117.89
1991-11,118.38
1991-12,119.34
1992-01,119.47
1992-02,119.58
1992-03,119.35
1992-04,119.34
1992-05,119.56
1992-06,119.64
1992-07,121.36
1992-08,122.52
1992-09,116.02
1992-10,107.0
1992-11,108.63
1992-12,105.22
1993-01,100.94
1993-02,98.83
1993-03,96.08
1993-04,96.83
1993-05,101.15
1993-06,101.96
1993-07,99.78
1993-08,98.42
1993-09,97.85
1993-10,95.6
1993-11,95.43
1993-12,94.31
1994-01,95.35
1994-02,95.69
1994-03,95.11
1994-04,97.73
1994-05,98.36
1994-06,97.15
1994-07,96.33
1994-08,95.0
1994-09,95.28
1994-10,95.03
1994-11,94.04
1994-12,93.17
1995-01,92.98
1995-02,91.74
1995-03,84.45
1995-04,81.66
1995-05,86.32
1995-06,86.88
1995-07,88.22
1995-08,91.4
1995-09,92.07
1995-10,90.82
1995-11,91.71
1995-12,92.91
1996-01,94.69
1996-02,95.87
1996-03,96.85
1996-04,97.91
1996-05,99.51
1996-06,100.48
1996-07,100.44
1996-08,100.29
1996-09,100.97
1996-10,101.2
1996-11,101.14
1996-12,101.93
1997-01,101.88
1997-02,99.88
1997-03,98.49
1997-04,98.85
1997-05,98.9
1997-06,98.62
1997-07,97.69
1997-08,96.8
1997-09,98.07
1997-10,98.27
1997-11,98.99
1997-12,98.89
1998-01,98.31
1998-02,97.9
1998-03,97.84
1998-04,97.69
1998-05,99.04
1998-06,99.05
1998-07,98.79
1998-08,99.46
1998-09,100.95
1998-10,101.2
1998-11,100.25
1998-12,100.53
1999-01,100.31
1999-02,99.81
1999-03,99.08
1999-04,98.33
1999-05,98.15
1999-06,97.24
1999-07,97.42
1999-08,97.89
1999-09,97.31
1999-10,97.93
1999-11,96.71
1999-12,95.67
2000-01,95.53
2000-02,94.91
2000-03,94.13
2000-04,93.46
2000-05,92.74
2000-06,94.16
2000-07,93.78
2000-08,92.61
2000-09,91.55
2000-10,91.11
2000-11,91.34
2000-12,92.96
2001-01,94.93
2001-02,94.64
2001-03,94.73
2001-04,94.5
2001-05,93.41
2001-06,92.84
2001-07,93.49
2001-08,94.97
2001-09,95.26
2001-10,95.36
2001-11,94.68
2001-12,94.74
2002-01,94.25
2002-02,94.25
2002-03,94.28
2002-04,94.47
2002-05,95.59
2002-06,97.05
2002-07,98.14
2002-08,97.86
2002-09,98.13
2002-10,98.45
2002-11,99.14
2002-12,99.5
