Date,Japan_Exchange_Rate
1980-01,69.92
1980-02,68.53
1980-03,68.44
1980-04,68.05
1980-05,73.14
1980-06,76.04
1980-07,74.57
1980-08,73.66
1980-09,76.61
1980-10,78.6
1980-11,78.54
1980-12,79.98
1981-01,83.38
1981-02,83.32
1981-03,81.72
1981-04,79.78
1981-05,79.53
1981-06,79.17
1981-07,76.87
1981-08,76.77
1981-09,76.33
1981-10,74.78
1981-11,76.71
1981-12,78.77
1982-01,76.88
1982-02,74.52
1982-03,73.13
1982-04,72.32
1982-05,73.17
1982-06,70.67
1982-07,69.64
1982-08,69.49
1982-09,68.92
1982-10,67.16
1982-11,68.95
1982-12,73.99
1983-01,76.37
1983-02,75.84
1983-03,76.11
1983-04,76.75
1983-05,78.14
1983-06,76.97
1983-07,76.8
1983-08,76.41
1983-09,76.93
1983-10,79.69
1983-11,79.56
1983-12,80.46
1984-01,81.08
1984-02,80.7
1984-03,82.38
1984-04,82.82
1984-05,82.15
1984-06,81.02
1984-07,79.45
1984-08,79.22
1984-09,80.21
1984-10,80.32
1984-11,80.77
1984-12,80.73
1985-01,79.79
1985-02,79.12
1985-03,79.85
1985-04,79.81
1985-05,79.66
1985-06,80.27
1985-07,81.1
1985-08,81.56
1985-09,81.68
1985-10,88.19
1985-11,92.18
1985-12,91.85
1986-01,92.72
1986-02,99.3
1986-03,101.22
1986-04,102.99
1986-05,107.44
1986-06,106.76
1986-07,112.43
1986-08,114.43
1986-09,113.11
1986-10,111.64
1986-11,107.28
1986-12,106.26
1987-01,108.22
1987-02,108.21
1987-03,108.91
1987-04,114.36
1987-05,115.32
1987-06,112.71
1987-07,108.42
1987-08,110.22
1987-09,112.42
1987-10,111.07
1987-11,114.89
1987-12,118.84
1988-01,120.21
1988-02,119.34
1988-03,119.7
1988-04,120.79
1988-05,120.54
1988-06,119.34
1988-07,115.55
1988-08,115.85
1988-09,114.63
1988-10,117.93
1988-11,120.88
1988-12,119.7
1989-01,117.4
1989-02,116.6
1989-03,114.75
1989-04,113.63
1989-05,109.77
1989-06,106.36
1989-07,107.02
1989-08,106.69
1989-09,104.22
1989-10,105.12
1989-11,102.61
1989-12,101.46
1990-01,99.78
1990-02,99.47
1990-03,94.47
1990-04,90.73
1990-05,93.03
1990-06,92.72
1990-07,94.11
1990-08,93.4
1990-09,98.58
1990-10,104.91
1990-11,105.06
1990-12,102.04
1991-01,102.72
1991-02,103.91
1991-03,101.76
1991-04,103.5
1991-05,103.01
1991-06,102.8
1991-07,103.93
1991-08,101.99
1991-09,103.69
1991-10,107.06
1991-11,106.64
