Date,Mexico_Exchange_Rate
1979-12,111.63
1980-01,113.62
1980-02,115.02
1980-03,117.61
1980-04,119.16
1980-05,118.32
1980-06,118.74
1980-07,121.01
1980-08,123.11
1980-09,123.68
1980-10,124.63
1980-11,126.55
1980-12,128.48
1981-01,128.39
1981-02,131.19
1981-03,132.62
1981-04,134.66
1981-05,137.11
1981-06,138.7
1981-07,139.78
1981-08,141.64
1981-09,140.86
1981-10,141.78
1981-11,141.19
1981-12,141.83
1982-01,144.21
1982-02,126.88
1982-03,91.77
1982-04,95.18
1982-05,97.5
1982-06,101.89
1982-07,105.27
1982-08,72.86
1982-09,69.45
1982-10,91.5
1982-11,96.31
1982-12,91.43
1983-01,80.7
1983-02,81.32
1983-03,83.01
1983-04,84.51
1983-05,85.38
1983-06,86.71
1983-07,88.18
1983-08,89.45
1983-09,89.54
1983-10,89.38
1983-11,92.34
1983-12,93.12
1984-01,94.15
1984-02,94.81
1984-03,95.64
1984-04,97.08
1984-05,99.08
1984-06,101.02
1984-07,103.14
1984-08,103.91
1984-09,106.28
1984-10,108.36
1984-11,108.61
1984-12,110.44
1985-01,113.22
1985-02,115.11
1985-03,116.42
1985-04,113.94
1985-05,114.07
1985-06,113.71
1985-07,108.98
1985-08,94.72
1985-09,95.86
1985-10,92.59
1985-11,90.34
1985-12,87.68
1986-01,84.49
1986-02,79.6
1986-03,76.75
1986-04,75.75
1986-05,74.51
1986-06,74.99
1986-07,71.8
1986-08,69.86
1986-09,68.27
1986-10,67.46
1986-11,67.44
1986-12,66.71
1987-01,63.97
1987-02,63.34
1987-03,63.03
1987-04,63.65
1987-05,64.34
1987-06,65.75
1987-07,68.35
1987-08,70.28
1987-09,71.06
1987-10,73.16
1987-11,72.91
1987-12,68.41
1988-01,70.84
1988-02,75.35
1988-03,77.87
1988-04,79.73
1988-05,81.88
1988-06,84.51
1988-07,87.27
1988-08,88.66
1988-09,89.59
1988-10,89.45
1988-11,88.92
1988-12,89.18
1989-01,89.52
1989-02,88.99
1989-03,89.02
1989-04,88.75
1989-05,89.96
1989-06,90.84
1989-07,89.93
1989-08,90.18
1989-09,90.94
1989-10,90.21
1989-11,89.46
1989-12,89.11
1990-01,89.56
1990-02,89.77
1990-03,90.86
1990-04,91.38
1990-05,91.7
1990-06,92.93
1990-07,93.01
1990-08,92.57
1990-09,92.51
1990-10,91.76
1990-11,92.67
1990-12,94.45
1991-01,95.03
1991-02,94.96
1991-03,97.94
1991-04,99.76
1991-05,100.63
1991-06,102.08
1991-07,102.56
1991-08,102.55
1991-09,102.45
1991-10,103.03
1991-11,103.87
1991-12,104.44
1992-01,105.11
1992-02,106.91
1992-03,108.63
1992-04,109.28
1992-05,108.21
1992-06,107.16
1992-07,106.87
1992-08,108.29
1992-09,109.68
1992-10,110.55
