Date,Russian_Federation_Exchange_Rate
1993-11,45.08
1993-12,47.99
1994-01,46.34
1994-02,45.68
1994-03,45.5
1994-04,48.44
1994-05,49.01
1994-06,50.02
1994-07,50.58
1994-08,50.85
1994-09,49.58
1994-10,45.33
1994-11,50.75
1994-12,54.11
1995-01,52.54
1995-02,50.19
1995-03,47.06
1995-04,46.71
1995-05,49.83
1995-06,57.15
1995-07,62.26
1995-08,69.1
1995-09,70.28
1995-10,71.37
1995-11,73.02
1995-12,73.56
1996-01,73.41
1996-02,73.92
1996-03,74.73
1996-04,75.95
1996-05,76.28
1996-06,76.94
1996-07,75.89
1996-08,74.48
1996-09,73.14
1996-10,72.93
1996-11,72.39
1996-12,72.55
1997-01,73.41
1997-02,76.36
1997-03,77.83
1997-04,79.02
1997-05,79.5
1997-06,80.91
1997-07,82.46
1997-08,84.32
1997-09,81.24
1997-10,79.45
1997-11,78.91
1997-12,80.37
1998-01,81.01
1998-02,80.99
1998-03,81.58
1998-04,81.69
1998-05,82.02
1998-06,83.16
1998-07,82.92
1998-08,80.36
1998-09,50.89
1998-10,46.47
1998-11,47.42
1998-12,43.44
1999-01,42.49
1999-02,44.79
1999-03,46.84
1999-04,46.59
1999-05,48.46
1999-06,50.49
1999-07,51.57
1999-08,51.0
1999-09,49.44
1999-10,48.34
1999-11,47.95
1999-12,47.53
2000-01,47.35
2000-02,48.07
2000-03,49.25
2000-04,50.07
2000-05,52.89
2000-06,52.98
2000-07,54.84
2000-08,56.82
2000-09,58.01
2000-10,59.16
2000-11,59.97
2000-12,59.41
2001-01,58.41
2001-02,59.72
2001-03,61.64
2001-04,63.12
2001-05,64.0
2001-06,65.47
2001-07,65.44
2001-08,64.35
2001-09,64.43
2001-10,64.95
2001-11,65.47
2001-12,65.32
2002-01,65.76
2002-02,66.22
2002-03,67.43
2002-04,67.36
2002-05,67.06
2002-06,65.99
2002-07,65.05
2002-08,65.95
2002-09,66.33
2002-10,66.92
2002-11,66.69
2002-12,66.73
2003-01,65.83
2003-02,66.21
2003-03,67.32
2003-04,68.26
2003-05,67.12
2003-06,68.2
2003-07,69.67
2003-08,70.62
2003-09,70.07
2003-10,70.09
2003-11,71.28
2003-12,70.92
2004-01,71.2
2004-02,72.41
2004-03,73.67
2004-04,74.47
2004-05,74.58
2004-06,74.24
2004-07,74.21
2004-08,74.97
2004-09,75.34
2004-10,75.55
2004-11,75.45
2004-12,75.74
2005-01,77.51
2005-02,78.0
2005-03,78.47
2005-04,80.1
2005-05,81.04
2005-06,81.92
2005-07,82.06
2005-08,81.37
2005-09,81.88
2005-10,83.46
2005-11,84.1
2005-12,83.87
2006-01,84.5
2006-02,86.49
2006-03,87.84
2006-04,87.88
2006-05,87.77
2006-06,89.12
2006-07,89.7
2006-08,90.2
2006-09,90.99
2006-10,91.13
2006-11,90.83
2006-12,90.86
2007-01,91.33
2007-02,91.81
2007-03,92.08
2007-04,92.13
2007-05,92.43
2007-06,92.96
2007-07,93.51
2007-08,94.11
2007-09,94.51
2007-10,95.2
2007-11,95.79
2007-12,96.33
2008-01,96.4
2008-02,96.03
2008-03,96.85
2008-04,98.28
2008-05,98.77
2008-06,99.39
2008-07,99.79
2008-08,100.15
2008-09,99.22
2008-10,101.5
2008-11,102.93
2008-12,99.74
2009-01,91.7
2009-02,84.18
2009-03,87.67
2009-04,89.74
2009-05,91.85
2009-06,93.98
2009-07,92.73
2009-08,91.73
2009-09,93.25
2009-10,96.32
2009-11,97.45
2009-12,95.48
2010-01,96.61
2010-02,98.05
2010-03,100.52
2010-04,102.28
2010-05,102.29
2010-06,101.61
2010-07,100.93
2010-08,101.8
2010-09,99.92
2010-10,98.33
2010-11,97.5
2010-12,100.16
2011-01,102.87
2011-02,104.5
2011-03,106.45
2011-04,105.87
2011-05,107.14
2011-06,107.88
2011-07,108.13
2011-08,104.36
2011-09,100.79
2011-10,99.48
2011-11,102.74
2011-12,102.37
2012-01,102.79
2012-02,105.79
2012-03,108.16
2012-04,108.0
2012-05,105.6
2012-06,101.08
2012-07,103.86
2012-08,105.16
2012-09,105.38
2012-10,106.63
2012-11,106.37
2012-12,107.94
2013-01,109.31
2013-02,109.79
2013-03,109.34
2013-04,107.86
2013-05,108.75
2013-06,105.6
2013-07,105.46
2013-08,104.41
2013-09,105.85
2013-10,106.86
2013-11,106.0
2013-12,104.81
2014-01,103.59
2014-02,99.24
2014-03,97.26
2014-04,99.81
2014-05,102.58
2014-06,105.39
2014-07,105.33
2014-08,102.9
2014-09,100.58
2014-10,95.15
2014-11,86.71
2014-12,74.32
2015-01,71.67
2015-02,71.52
2015-03,78.79
2015-04,89.42
2015-05,92.04
2015-06,86.08
2015-07,83.69
2015-08,74.71
2015-09,74.52
2015-10,79.16
2015-11,79.03
2015-12,74.25
2016-01,69.32
2016-02,68.11
2016-03,74.0
2016-04,77.14
2016-05,78.87
2016-06,79.95
2016-07,82.16
2016-08,81.02
2016-09,81.76
2016-10,85.25
2016-11,84.86
2016-12,89.37
2017-01,92.24
2017-02,93.91
2017-03,94.16
2017-04,96.58
2017-05,94.34
2017-06,92.94
2017-07,89.18
2017-08,87.71
2017-09,90.3
2017-10,91.23
2017-11,89.38
2017-12,89.37
2018-01,89.94
2018-02,88.87
2018-03,88.72
2018-04,84.23
2018-05,83.97
2018-06,84.45
2018-07,85.26
2018-08,82.64
2018-09,81.08
2018-10,83.95
2018-11,84.04
2018-12,82.94
2019-01,83.0
2019-02,84.94
2019-03,85.93
2019-04,86.79
2019-05,87.35
2019-06,87.57
2019-07,88.94
2019-08,86.88
2019-09,88.19
2019-10,88.5
2019-11,88.82
2019-12,89.75
2020-01,91.02
2020-02,89.4
2020-03,79.55
2020-04,79.64
2020-05,82.43
2020-06,84.71
2020-07,81.97
2020-08,78.17
2020-09,76.52
2020-10,74.7
2020-11,74.93
2020-12,76.77
2021-01,76.2
2021-02,76.38
2021-03,77.57
2021-04,76.05
2021-05,77.43
2021-06,79.65
2021-07,79.19
2021-08,79.85
2021-09,81.07
2021-10,83.57
2021-11,83.3
2021-12,83.17
2022-01,80.58
2022-02,79.39
2022-03,64.62
2022-04,86.93
2022-05,107.75
2022-06,123.76
2022-07,126.65
2022-08,124.27
2022-09,129.6
2022-10,130.6
2022-11,129.73
2022-12,120.08
