Date,Saudi_Arabia_Exchange_Rate
1980-01,270.76
1980-02,242.45
1980-03,248.66
1980-04,251.68
1980-05,239.18
1980-06,233.9
1980-07,233.42
1980-08,237.09
1980-09,232.05
1980-10,232.15
1980-11,235.38
1980-12,235.54
1981-01,232.52
1981-02,237.93
1981-03,238.26
1981-04,241.68
1981-05,245.88
1981-06,246.83
1981-07,250.94
1981-08,252.96
1981-09,245.64
1981-10,241.18
1981-11,236.11
1981-12,234.99
1982-01,237.23
1982-02,243.01
1982-03,246.09
1982-04,247.08
1982-05,239.94
1982-06,247.8
1982-07,250.03
1982-08,249.72
1982-09,251.34
1982-10,254.29
1982-11,254.05
1982-12,245.09
1983-01,242.1
1983-02,244.79
1983-03,245.76
1983-04,245.6
1983-05,244.9
1983-06,247.15
1983-07,246.81
1983-08,247.17
1983-09,245.43
1983-10,239.86
1983-11,242.73
1983-12,243.06
1984-01,241.85
1984-02,236.96
1984-03,230.33
1984-04,230.86
1984-05,235.95
1984-06,237.6
1984-07,243.62
1984-08,242.89
1984-09,245.98
1984-10,246.06
1984-11,240.99
1984-12,243.95
1985-01,245.8
1985-02,248.58
1985-03,244.26
1985-04,232.86
1985-05,233.45
1985-06,227.98
1985-07,219.6
1985-08,215.06
1985-09,215.82
1985-10,204.62
1985-11,198.87
1985-12,195.3
1986-01,191.92
1986-02,184.65
1986-03,180.0
1986-04,179.14
1986-05,174.72
1986-06,169.69
1986-07,164.53
1986-08,161.66
1986-09,160.65
1986-10,160.09
1986-11,162.02
1986-12,160.84
1987-01,153.61
1987-02,151.99
1987-03,150.45
1987-04,146.85
1987-05,144.64
1987-06,146.41
1987-07,148.23
1987-08,146.51
1987-09,143.5
1987-10,142.18
1987-11,136.43
1987-12,132.35
1988-01,134.22
1988-02,136.13
1988-03,134.46
1988-04,133.39
1988-05,133.84
1988-06,136.09
1988-07,140.41
1988-08,141.06
1988-09,140.45
1988-10,136.84
1988-11,132.22
1988-12,133.79
1989-01,135.62
1989-02,136.04
1989-03,136.78
1989-04,137.42
1989-05,139.78
1989-06,142.09
1989-07,138.0
1989-08,139.21
1989-09,140.89
1989-10,137.24
1989-11,137.0
1989-12,134.23
1990-01,132.62
1990-02,131.2
1990-03,133.33
1990-04,133.41
1990-05,131.41
1990-06,131.28
1990-07,128.13
1990-08,124.79
1990-09,123.14
1990-10,119.92
1990-11,118.87
1990-12,120.35
1991-01,119.91
1991-02,119.13
1991-03,125.54
1991-04,128.75
1991-05,129.69
1991-06,133.23
1991-07,133.35
1991-08,132.07
1991-09,130.13
1991-10,128.86
1991-11,125.64
1991-12,123.27
1992-01,123.53
1992-02,125.73
1992-03,129.17
1992-04,121.91
1992-05,119.29
1992-06,117.16
1992-07,114.23
1992-08,113.19
1992-09,114.26
1992-10,117.63
1992-11,122.39
1992-12,122.36
1993-01,123.75
1993-02,125.19
1993-03,124.49
1993-04,121.87
1993-05,121.46
1993-06,122.47
1993-07,124.54
1993-08,123.81
1993-09,121.8
1993-10,122.86
1993-11,124.21
1993-12,124.12
1994-01,124.83
1994-02,123.47
1994-03,122.03
1994-04,121.61
1994-05,120.77
1994-06,119.88
1994-07,117.0
1994-08,116.8
1994-09,115.79
1994-10,114.54
1994-11,115.15
1994-12,116.42
1995-01,119.55
1995-02,118.85
1995-03,114.99
1995-04,112.4
1995-05,113.11
1995-06,112.31
1995-07,112.72
1995-08,115.38
1995-09,116.85
1995-10,115.99
1995-11,115.76
1995-12,116.29
1996-01,117.35
1996-02,117.45
1996-03,117.14
1996-04,117.47
1996-05,117.79
1996-06,118.03
1996-07,117.71
1996-08,117.19
1996-09,117.7
1996-10,117.86
1996-11,116.7
1996-12,117.62
1997-01,118.8
1997-02,121.38
1997-03,121.91
1997-04,122.34
1997-05,121.03
1997-06,120.81
1997-07,121.89
1997-08,124.55
1997-09,124.23
1997-10,123.06
1997-11,124.31
1997-12,129.21
1998-01,133.72
1998-02,131.43
1998-03,130.27
1998-04,130.1
1998-05,130.19
1998-06,132.43
1998-07,131.66
1998-08,130.8
1998-09,127.72
1998-10,122.87
1998-11,122.72
1998-12,121.18
1999-01,121.22
1999-02,122.86
1999-03,124.58
1999-04,124.35
1999-05,125.26
1999-06,125.43
1999-07,125.46
1999-08,123.27
1999-09,122.6
1999-10,121.1
1999-11,121.85
1999-12,122.29
2000-01,121.99
2000-02,123.08
2000-03,122.94
2000-04,123.19
2000-05,125.87
2000-06,123.66
2000-07,123.97
2000-08,125.3
2000-09,126.54
2000-10,127.61
2000-11,127.75
2000-12,126.27
2001-01,124.77
2001-02,125.31
2001-03,127.17
2001-04,128.47
2001-05,128.3
2001-06,129.29
2001-07,128.9
2001-08,125.78
2001-09,125.09
2001-10,126.02
2001-11,126.75
2001-12,127.38
2002-01,128.61
2002-02,129.3
2002-03,128.39
2002-04,127.2
2002-05,124.64
2002-06,121.76
2002-07,119.27
2002-08,120.2
2002-09,120.33
2002-10,120.77
2002-11,119.41
2002-12,118.33
2003-01,115.82
2003-02,115.44
2003-03,115.43
2003-04,115.48
2003-05,112.56
2003-06,112.12
2003-07,113.55
2003-08,113.98
2003-09,112.94
2003-10,109.8
2003-11,109.44
2003-12,107.08
2004-01,105.12
2004-02,104.86
2004-03,105.82
2004-04,106.3
2004-05,107.3
2004-06,106.21
2004-07,105.83
2004-08,106.04
2004-09,105.59
2004-10,104.19
2004-11,101.76
2004-12,99.97
2005-01,100.45
2005-02,100.18
2005-03,99.13
2005-04,100.07
2005-05,100.81
2005-06,102.64
2005-07,103.12
2005-08,101.72
2005-09,101.6
2005-10,102.62
2005-11,103.78
2005-12,103.3
2006-01,101.54
2006-02,101.97
2006-03,102.09
2006-04,100.88
2006-05,98.74
2006-06,99.71
2006-07,99.33
2006-08,98.6
2006-09,99.1
2006-10,99.65
2006-11,98.51
2006-12,97.02
2007-01,99.87
2007-02,98.89
2007-03,98.29
2007-04,97.15
2007-05,96.86
2007-06,97.07
2007-07,96.17
2007-08,96.69
2007-09,96.0
2007-10,94.85
2007-11,93.7
2007-12,94.32
2008-01,91.72
2008-02,91.83
2008-03,90.41
2008-04,90.6
2008-05,90.9
2008-06,90.95
2008-07,90.8
2008-08,93.12
2008-09,95.49
2008-10,100.71
2008-11,103.23
2008-12,101.94
2009-01,102.39
2009-02,104.75
2009-03,105.4
2009-04,103.94
2009-05,101.63
2009-06,100.43
2009-07,100.02
2009-08,99.26
2009-09,98.51
2009-10,97.52
2009-11,96.93
2009-12,97.96
2010-01,97.37
2010-02,99.24
2010-03,99.32
2010-04,99.37
2010-05,102.27
2010-06,103.59
2010-07,102.12
2010-08,101.41
2010-09,100.53
2010-10,97.71
2010-11,98.04
2010-12,99.03
2011-01,98.39
2011-02,97.83
2011-03,96.84
2011-04,95.54
2011-05,95.39
2011-06,95.24
2011-07,94.82
2011-08,94.66
2011-09,96.64
2011-10,97.11
2011-11,97.34
2011-12,98.52
2012-01,98.49
2012-02,97.43
2012-03,97.91
2012-04,98.01
2012-05,99.42
2012-06,100.9
2012-07,100.95
2012-08,100.42
2012-09,99.35
2012-10,99.14
2012-11,99.74
2012-12,99.63
2013-01,99.67
2013-02,100.02
2013-03,101.34
2013-04,101.49
2013-05,101.9
2013-06,101.96
2013-07,102.61
2013-08,102.48
2013-09,102.1
2013-10,101.26
2013-11,101.96
2013-12,101.96
2014-01,102.64
2014-02,102.59
2014-03,102.03
2014-04,101.75
2014-05,101.56
2014-06,101.82
2014-07,101.92
2014-08,102.91
2014-09,105.34
2014-10,106.37
2014-11,107.78
2014-12,108.88
2015-01,110.67
2015-02,111.55
2015-03,113.15
2015-04,112.76
2015-05,111.87
2015-06,112.22
2015-07,113.09
2015-08,114.52
2015-09,115.4
2015-10,114.81
2015-11,116.33
2015-12,116.6
2016-01,119.33
2016-02,118.23
2016-03,117.24
2016-04,115.78
2016-05,116.3
2016-06,116.23
2016-07,116.75
2016-08,115.67
2016-09,115.65
2016-10,116.58
2016-11,119.01
2016-12,120.52
2017-01,119.6
2017-02,118.58
2017-03,118.06
2017-04,117.59
2017-05,116.54
2017-06,115.67
2017-07,114.54
2017-08,112.82
2017-09,111.65
2017-10,112.04
2017-11,111.14
2017-12,110.63
2018-01,112.78
2018-02,111.48
2018-03,111.43
2018-04,111.44
2018-05,113.2
2018-06,114.0
2018-07,114.99
2018-08,116.06
2018-09,115.68
2018-10,115.77
2018-11,115.66
2018-12,115.01
2019-01,113.15
2019-02,112.48
2019-03,112.15
2019-04,112.39
2019-05,113.29
2019-06,112.74
2019-07,112.47
2019-08,113.72
2019-09,114.03
2019-10,113.47
2019-11,112.77
2019-12,112.64
2020-01,111.93
2020-02,113.54
2020-03,115.02
2020-04,116.97
2020-05,116.62
2020-06,114.19
2020-07,119.64
2020-08,118.02
2020-09,117.05
2020-10,116.8
2020-11,115.84
2020-12,113.86
2021-01,113.32
2021-02,113.02
2021-03,114.02
2021-04,114.14
2021-05,112.91
2021-06,112.95
2021-07,113.68
2021-08,113.39
2021-09,112.98
2021-10,113.49
2021-11,114.06
2021-12,114.73
2022-01,114.05
2022-02,113.74
2022-03,114.58
2022-04,115.6
2022-05,117.66
2022-06,117.57
2022-07,119.32
2022-08,119.53
2022-09,121.9
2022-10,123.48
2022-11,121.9
2022-12,119.59
