Date,South_Africa_Exchange_Rate
1979-01,142.94
1979-02,146.93
1979-03,150.05
1979-04,150.87
1979-05,152.17
1979-06,151.21
1979-07,150.03
1979-08,151.9
1979-09,152.84
1979-10,155.29
1979-11,156.14
1979-12,154.1
1980-01,152.74
1980-02,154.9
1980-03,161.46
1980-04,162.22
1980-05,160.21
1980-06,162.4
1980-07,164.47
1980-08,166.06
1980-09,169.07
1980-10,172.33
1980-11,176.95
1980-12,181.15
1981-01,181.29
1981-02,183.65
1981-03,178.96
1981-04,177.76
1981-05,179.45
1981-06,177.9
1981-07,173.6
1981-08,172.28
1981-09,170.52
1981-10,166.78
1981-11,163.52
1981-12,163.67
1982-01,166.8
1982-02,169.68
1982-03,168.63
1982-04,166.46
1982-05,161.53
1982-06,160.57
1982-07,157.77
1982-08,159.26
1982-09,161.82
1982-10,164.12
1982-11,170.12
1982-12,173.08
1983-01,176.7
1983-02,175.88
1983-03,179.1
1983-04,179.82
1983-05,182.09
1983-06,184.55
1983-07,186.05
1983-08,187.5
1983-09,187.69
1983-10,183.77
1983-11,178.1
1983-12,176.87
1984-01,174.59
1984-02,175.19
1984-03,174.64
1984-04,173.82
1984-05,175.99
1984-06,173.86
1984-07,157.6
1984-08,151.57
1984-09,147.69
1984-10,142.45
1984-11,138.51
1984-12,136.33
1985-01,122.59
1985-02,142.1
1985-03,139.34
1985-04,138.66
1985-05,136.55
1985-06,138.19
1985-07,134.97
1985-08,110.81
1985-09,106.85
1985-10,98.35
1985-11,95.31
1985-12,95.1
1986-01,110.27
1986-02,121.08
1986-03,123.47
1986-04,123.61
1986-05,113.38
1986-06,100.19
1986-07,99.0
1986-08,96.34
1986-09,109.71
1986-10,114.43
1986-11,116.52
1986-12,118.54
1987-01,121.72
1987-02,122.31
1987-03,123.02
1987-04,125.23
1987-05,125.58
1987-06,127.96
1987-07,127.98
1987-08,129.02
1987-09,129.53
1987-10,130.05
1987-11,129.4
1987-12,128.91
1988-01,129.55
1988-02,127.62
1988-03,122.21
1988-04,120.98
1988-05,119.14
1988-06,119.38
1988-07,118.31
1988-08,117.83
1988-09,118.46
1988-10,116.42
1988-11,116.94
1988-12,120.33
1989-01,122.6
1989-02,120.81
1989-03,119.42
1989-04,120.47
1989-05,119.33
1989-06,118.53
1989-07,119.81
1989-08,120.71
1989-09,120.04
1989-10,123.01
1989-11,125.86
1989-12,127.08
1990-01,126.79
1990-02,126.97
1990-03,127.01
1990-04,125.37
1990-05,124.6
1990-06,124.9
1990-07,124.01
1990-08,123.8
1990-09,124.11
1990-10,122.27
1990-11,124.32
1990-12,126.28
1991-01,126.52
1991-02,126.75
1991-03,128.88
1991-04,130.17
1991-05,129.8
1991-06,130.55
1991-07,130.56
1991-08,130.27
1991-09,130.73
1991-10,131.85
1991-11,131.3
1991-12,131.98
1992-01,132.36
1992-02,134.12
1992-03,134.65
1992-04,135.1
1992-05,134.81
1992-06,135.25
1992-07,134.32
1992-08,133.2
1992-09,132.97
1992-10,133.08
1992-11,135.04
1992-12,134.35
1993-01,134.52
1993-02,134.3
1993-03,132.92
1993-04,132.45
1993-05,131.85
1993-06,131.31
1993-07,130.44
1993-08,129.62
1993-09,125.68
1993-10,128.78
1993-11,132.55
1993-12,132.79
1994-01,133.69
1994-02,131.36
1994-03,129.85
1994-04,125.3
1994-05,122.71
1994-06,122.35
1994-07,119.53
1994-08,123.19
1994-09,124.79
1994-10,123.96
1994-11,126.09
1994-12,127.29
