Date,United_States_Exchange_Rate
1979-12,105.29
1980-01,105.19
1980-02,106.16
1980-03,109.84
1980-04,110.81
1980-05,106.25
1980-06,104.25
1980-07,103.01
1980-08,104.35
1980-09,103.22
1980-10,103.88
1980-11,105.95
1980-12,107.32
1981-01,106.67
1981-02,110.46
1981-03,110.44
1981-04,112.82
1981-05,116.29
1981-06,119.37
1981-07,121.94
1981-08,124.25
1981-09,121.68
1981-10,120.37
1981-11,118.06
1981-12,118.02
1982-01,120.06
1982-02,123.69
1982-03,126.43
1982-04,127.65
1982-05,125.53
1982-06,131.5
1982-07,133.26
1982-08,135.3
1982-09,136.33
1982-10,137.24
1982-11,137.26
1982-12,132.14
1983-01,131.02
1983-02,132.55
1983-03,133.6
1983-04,134.81
1983-05,135.0
1983-06,137.05
1983-07,137.74
1983-08,139.9
1983-09,139.85
1983-10,137.6
1983-11,139.44
1983-12,141.2
1984-01,142.72
1984-02,140.65
1984-03,137.8
1984-04,138.93
1984-05,141.94
1984-06,142.35
1984-07,146.45
1984-08,146.93
1984-09,149.94
1984-10,151.41
1984-11,149.37
1984-12,152.3
1985-01,154.58
1985-02,158.93
1985-03,159.86
1985-04,154.12
1985-05,155.29
1985-06,153.95
1985-07,149.35
1985-08,147.56
1985-09,148.76
1985-10,141.8
1985-11,139.53
1985-12,138.63
1986-01,137.3
1986-02,132.42
1986-03,129.4
1986-04,128.38
1986-05,125.89
1986-06,127.05
1986-07,123.91
1986-08,121.91
1986-09,121.56
1986-10,121.31
1986-11,122.67
1986-12,121.61
1987-01,117.52
1987-02,116.49
1987-03,115.95
1987-04,113.28
1987-05,112.67
1987-06,114.29
1987-07,115.79
1987-08,115.54
1987-09,113.35
1987-10,113.13
1987-11,108.56
1987-12,105.8
1988-01,106.27
1988-02,107.33
1988-03,105.89
1988-04,104.8
1988-05,105.34
1988-06,107.06
1988-07,110.11
1988-08,111.43
1988-09,111.32
1988-10,108.49
1988-11,105.16
1988-12,104.89
1989-01,107.36
1989-02,107.96
1989-03,109.28
1989-04,110.33
1989-05,114.25
1989-06,115.29
1989-07,112.45
1989-08,112.35
1989-09,113.14
1989-10,110.64
1989-11,110.15
1989-12,108.81
1990-01,108.18
1990-02,108.28
1990-03,109.81
1990-04,109.73
1990-05,108.31
