Date,Australia_Interest_Rate
1969-07,5.5
1969-08,5.5
1969-09,5.5
1969-10,5.5
1969-11,5.5
1969-12,5.5
1970-01,5.5
1970-02,5.7
1970-03,5.7
1970-04,6.0
1970-05,6.0
1970-06,6.0
1970-07,6.0
1970-08,6.3
1970-09,6.3
1970-10,6.3
1970-11,6.3
1970-12,6.3
1971-01,6.3
1971-02,6.3
1971-03,6.3
1971-04,6.3
1971-05,6.3
1971-06,6.0
1971-07,6.0
1971-08,6.0
1971-09,6.0
1971-10,6.0
1971-11,5.7
1971-12,5.7
1972-01,5.4
1972-02,5.2
1972-03,5.2
1972-04,5.2
1972-05,5.2
1972-06,5.1
1972-07,4.7
1972-08,4.7
1972-09,4.6
1972-10,4.5
1972-11,4.5
1972-12,4.4
1973-01,4.4
1973-02,4.4
1973-03,4.6
1973-04,4.9
1973-05,5.1
1973-06,5.7
1973-07,5.8
1973-08,5.8
1973-09,8.0
1973-10,8.3
1973-11,8.3
1973-12,8.3
1974-01,8.3
1974-02,8.3
1974-03,8.5
1974-04,9.3
1974-05,11.0
1974-06,12.0
1974-07,12.0
1974-08,12.0
1974-09,12.0
1974-10,10.5
1974-11,9.7
1974-12,9.0
1975-01,9.0
1975-02,9.0
1975-03,9.0
1975-04,9.0
1975-05,9.0
1975-06,9.0
1975-07,8.5
1975-08,8.4
1975-09,8.4
1975-10,8.4
1975-11,8.4
1975-12,8.4
1976-01,8.2
1976-02,8.2
1976-03,8.2
1976-04,8.2
1976-05,8.2
1976-06,8.2
1976-07,8.2
1976-08,8.6
1976-09,9.0
1976-10,9.0
1976-11,10.0
1976-12,10.0
1977-01,10.0
1977-02,10.0
1977-03,10.0
1977-04,10.0
1977-05,10.0
1977-06,10.0
1977-07,10.0
1977-08,10.0
1977-09,10.0
1977-10,9.7
1977-11,9.6
1977-12,9.6
1978-01,9.6
1978-02,9.4
1978-03,9.4
1978-04,9.4
1978-05,9.4
1978-06,9.4
1978-07,9.4
1978-08,9.4
1978-09,9.4
1978-10,9.2
1978-11,9.1
1978-12,9.1
1979-01,9.1
1979-02,9.1
1979-03,9.1
1979-04,9.6
1979-05,9.6
1979-06,9.6
1979-07,9.6
1979-08,9.6
1979-09,9.6
1979-10,9.8
1979-11,9.8
1979-12,9.8
1980-01,9.8
1980-02,9.8
1980-03,10.8
1980-04,11.3
1980-05,11.3
1980-06,11.3
1980-07,11.3
1980-08,11.3
1980-09,11.3
1980-10,11.3
1980-11,11.8
1980-12,12.0
1981-01,12.6
1981-02,12.6
