Date,Canada_Interest_Rate
1992-12,6.75
1993-01,6.06
1993-02,5.75
1993-03,4.63
1993-04,4.5
1993-05,4.69
1993-06,4.25
1993-07,3.94
1993-08,4.25
1993-09,4.25
1993-10,4.38
1993-11,3.88
1993-12,4.0
1994-01,3.88
1994-02,3.56
1994-03,4.25
1994-04,5.69
1994-05,5.75
1994-06,5.69
1994-07,5.38
1994-08,5.38
1994-09,5.0
1994-10,4.94
1994-11,5.44
1994-12,5.69
1995-01,7.25
1995-02,8.13
1995-03,8.06
1995-04,7.97
1995-05,7.59
1995-06,7.19
1995-07,6.56
1995-08,6.25
1995-09,6.19
1995-10,6.19
1995-11,5.94
1995-12,5.78
1996-01,5.56
1996-02,5.19
1996-03,5.0
1996-04,4.75
1996-05,4.75
1996-06,4.75
1996-07,4.5
1996-08,4.0
1996-09,4.0
1996-10,3.25
1996-11,3.0
1996-12,3.0
1997-01,3.0
1997-02,3.0
1997-03,3.0
1997-04,3.0
1997-05,3.0
1997-06,3.25
1997-07,3.25
1997-08,3.25
1997-09,3.25
1997-10,3.5
1997-11,3.75
1997-12,4.25
1998-01,4.75
1998-02,4.75
1998-03,4.75
1998-04,4.75
1998-05,4.75
1998-06,4.75
1998-07,4.75
1998-08,5.75
1998-09,5.5
1998-10,5.25
1998-11,5.0
1998-12,5.0
1999-01,5.0
1999-02,5.0
1999-03,4.75
1999-04,4.75
1999-05,4.5
1999-06,4.5
1999-07,4.5
1999-08,4.5
1999-09,4.5
1999-10,4.5
1999-11,4.75
1999-12,4.75
2000-01,4.75
2000-02,5.0
2000-03,5.25
2000-04,5.25
2000-05,5.75
2000-06,5.75
2000-07,5.75
2000-08,5.75
2000-09,5.75
2000-10,5.75
2000-11,5.75
2000-12,5.75
2001-01,5.5
2001-02,5.5
2001-03,5.0
2001-04,4.75
2001-05,4.5
2001-06,4.5
2001-07,4.25
2001-08,4.0
2001-09,3.5
2001-10,2.75
2001-11,2.25
2001-12,2.25
2002-01,2.0
2002-02,2.0
2002-03,2.0
2002-04,2.25
2002-05,2.25
2002-06,2.5
2002-07,2.75
2002-08,2.75
2002-09,2.75
2002-10,2.75
2002-11,2.75
2002-12,2.75
2003-01,2.75
2003-02,2.75
2003-03,3.0
2003-04,3.25
2003-05,3.25
2003-06,3.25
2003-07,3.0
2003-08,3.0
2003-09,2.75
2003-10,2.75
2003-11,2.75
2003-12,2.75
2004-01,2.5
2004-02,2.5
2004-03,2.25
2004-04,2.0
2004-05,2.0
2004-06,2.0
2004-07,2.0
2004-08,2.0
2004-09,2.25
2004-10,2.5
2004-11,2.5
2004-12,2.5
2005-01,2.5
2005-02,2.5
2005-03,2.5
2005-04,2.5
2005-05,2.5
2005-06,2.5
2005-07,2.5
2005-08,2.5
2005-09,2.75
2005-10,3.0
2005-11,3.0
2005-12,3.25
2006-01,3.5
2006-02,3.5
2006-03,3.75
2006-04,4.0
2006-05,4.25
2006-06,4.25
2006-07,4.25
2006-08,4.25
2006-09,4.25
2006-10,4.25
2006-11,4.25
2006-12,4.25
2007-01,4.25
2007-02,4.25
2007-03,4.25
2007-04,4.25
2007-05,4.25
2007-06,4.25
2007-07,4.5
2007-08,4.5
2007-09,4.5
2007-10,4.5
2007-11,4.5
2007-12,4.25
2008-01,4.0
2008-02,4.0
2008-03,3.5
2008-04,3.0
2008-05,3.0
2008-06,3.0
2008-07,3.0
2008-08,3.0
2008-09,3.0
2008-10,2.25
2008-11,2.25
2008-12,1.5
2009-01,1.0
2009-02,1.0
2009-03,0.5
2009-04,0.25
2009-05,0.25
2009-06,0.25
2009-07,0.25
2009-08,0.25
2009-09,0.25
2009-10,0.25
2009-11,0.25
2009-12,0.25
2010-01,0.25
2010-02,0.25
2010-03,0.25
2010-04,0.25
2010-05,0.25
2010-06,0.5
2010-07,0.75
2010-08,0.75
2010-09,1.0
2010-10,1.0
2010-11,1.0
2010-12,1.0
2011-01,1.0
2011-02,1.0
2011-03,1.0
2011-04,1.0
2011-05,1.0
2011-06,1.0
2011-07,1.0
2011-08,1.0
2011-09,1.0
2011-10,1.0
2011-11,1.0
2011-12,1.0
2012-01,1.0
2012-02,1.0
2012-03,1.0
2012-04,1.0
2012-05,1.0
2012-06,1.0
2012-07,1.0
2012-08,1.0
2012-09,1.0
2012-10,1.0
2012-11,1.0
2012-12,1.0
2013-01,1.0
2013-02,1.0
2013-03,1.0
2013-04,1.0
2013-05,1.0
2013-06,1.0
2013-07,1.0
2013-08,1.0
2013-09,1.0
2013-10,1.0
2013-11,1.0
2013-12,1.0
2014-01,1.0
2014-02,1.0
2014-03,1.0
2014-04,1.0
2014-05,1.0
2014-06,1.0
2014-07,1.0
2014-08,1.0
2014-09,1.0
2014-10,1.0
2014-11,1.0
2014-12,1.0
2015-01,0.75
2015-02,0.75
2015-03,0.75
2015-04,0.75
2015-05,0.75
2015-06,0.75
2015-07,0.5
2015-08,0.5
2015-09,0.5
2015-10,0.5
2015-11,0.5
2015-12,0.5
2016-01,0.5
2016-02,0.5
2016-03,0.5
2016-04,0.5
2016-05,0.5
2016-06,0.5
2016-07,0.5
2016-08,0.5
2016-09,0.5
2016-10,0.5
2016-11,0.5
2016-12,0.5
2017-01,0.5
2017-02,0.5
2017-03,0.5
2017-04,0.5
2017-05,0.5
2017-06,0.5
2017-07,0.75
2017-08,0.75
2017-09,1.0
2017-10,1.0
2017-11,1.0
2017-12,1.0
2018-01,1.25
2018-02,1.25
2018-03,1.25
2018-04,1.25
2018-05,1.25
2018-06,1.25
2018-07,1.5
2018-08,1.5
2018-09,1.5
2018-10,1.75
2018-11,1.75
2018-12,1.75
2019-01,1.75
2019-02,1.75
2019-03,1.75
2019-04,1.75
2019-05,1.75
2019-06,1.75
2019-07,1.75
2019-08,1.75
2019-09,1.75
2019-10,1.75
2019-11,1.75
2019-12,1.75
2020-01,1.75
2020-02,1.75
2020-03,0.25
2020-04,0.25
2020-05,0.25
2020-06,0.25
2020-07,0.25
2020-08,0.25
2020-09,0.25
2020-10,0.25
2020-11,0.25
2020-12,0.25
2021-01,0.25
2021-02,0.25
2021-03,0.25
2021-04,0.25
2021-05,0.25
2021-06,0.25
2021-07,0.25
2021-08,0.25
2021-09,0.25
2021-10,0.25
2021-11,0.25
2021-12,0.25
2022-01,0.25
2022-02,0.25
2022-03,0.5
2022-04,1.0
2022-05,1.0
2022-06,1.5
2022-07,2.5
2022-08,2.5
