Date,China_P.R.:_Mainland_Interest_Rate
2016-02,2.25
2016-03,2.25
2016-04,2.25
2016-05,2.25
2016-06,2.25
2016-07,2.25
2016-08,2.25
2016-09,2.25
2016-10,2.25
2016-11,2.25
2016-12,2.25
2017-01,2.25
2017-02,2.35
2017-03,2.45
2017-04,2.45
2017-05,2.45
2017-06,2.45
2017-07,2.45
2017-08,2.45
2017-09,2.45
2017-10,2.45
2017-11,2.45
2017-12,2.5
2018-01,2.5
2018-02,2.5
2018-03,2.55
2018-04,2.55
2018-05,2.55
2018-06,2.55
2018-07,2.55
2018-08,2.55
2018-09,2.55
2018-10,2.55
2018-11,2.55
2018-12,2.55
2019-01,2.55
2019-02,2.55
2019-03,2.55
2019-04,2.55
2019-05,2.55
2019-06,2.55
2019-07,2.55
2019-08,2.55
2019-09,2.55
2019-10,2.55
2019-11,2.5
2019-12,2.5
2020-01,2.4
2020-02,2.4
2020-03,2.2
2020-04,2.2
2020-05,2.2
2020-06,2.2
2020-07,2.2
2020-08,2.2
2020-09,2.2
2020-10,2.2
2020-11,2.2
2020-12,2.2
2021-01,2.2
2021-02,2.2
2021-03,2.2
2021-04,2.2
2021-05,2.2
2021-06,2.2
2021-07,2.2
2021-08,2.2
2021-09,2.2
2021-10,2.2
2021-11,2.2
2021-12,2.2
2022-01,2.1
2022-02,2.1
2022-03,2.1
2022-04,2.1
2022-05,2.1
2022-06,2.1
2022-07,2.1
2022-08,2.0
2022-09,2.0
2022-10,2.0
2022-11,2.0
2022-12,2.0
