Date,India_Interest_Rate
2005-12,6.25
2006-12,7.25
2007-12,7.75
2008-12,6.5
2009-12,4.75
2010-12,6.25
2011-12,8.5
2012-01,8.5
2012-02,8.5
2012-03,8.5
2012-04,8.0
2012-05,8.0
2012-06,8.0
2012-07,8.0
2012-08,8.0
2012-09,8.0
2012-10,8.0
2012-11,8.0
2012-12,8.0
2013-01,7.75
2013-02,7.75
2013-03,7.5
2013-04,7.5
2013-05,7.25
2013-06,7.25
2013-07,7.25
2013-08,7.25
2013-09,7.5
2013-10,7.5
2013-11,7.5
2013-12,7.5
2014-01,8.0
2014-02,8.0
2014-03,8.0
2014-04,8.0
2014-05,8.0
2014-06,8.0
2014-07,8.0
2014-08,8.0
2014-09,8.0
2014-10,8.0
2014-11,8.0
2014-12,8.0
2015-01,7.75
2015-02,7.75
2015-03,7.5
2015-04,7.5
2015-05,7.5
2015-06,7.25
2015-07,7.25
2015-08,7.25
2015-09,6.75
2015-10,6.75
2015-11,6.75
2015-12,6.75
2016-01,6.75
2016-02,6.75
2016-03,6.75
2016-04,6.5
2016-05,6.5
2016-06,6.5
2016-07,6.5
2016-08,6.5
2016-09,6.5
2016-10,6.25
2016-11,6.25
2016-12,6.25
2017-01,6.25
2017-02,6.25
2017-03,6.25
2017-04,6.25
2017-05,6.25
2017-06,6.25
2017-07,6.25
