Date,Indonesia_Interest_Rate
1990-01,13.2
1990-02,13.13
1990-03,13.13
1990-04,13.13
1990-05,13.2
1990-06,16.94
1990-07,17.74
1990-08,17.4
1990-09,17.63
1990-10,18.25
1990-11,18.36
1990-12,18.83
1991-01,19.25
1991-02,19.25
1991-03,23.55
1991-04,20.5
1991-05,19.01
1991-06,18.99
1991-07,18.73
1991-08,18.5
1991-09,18.5
1991-10,18.5
1991-11,18.5
1991-12,18.47
1992-01,18.0
1992-02,18.0
1992-03,17.99
1992-04,17.0
1992-05,17.0
1992-06,16.0
1992-07,16.0
1992-08,15.21
1992-09,14.66
1992-10,14.49
1992-11,14.0
1992-12,13.5
1993-01,13.5
1993-02,13.0
1993-03,12.5
1993-04,12.5
1993-05,11.83
1993-06,10.74
1993-07,8.75
1993-08,7.45
1993-09,9.11
1993-10,9.69
1993-11,9.52
1993-12,8.82
1994-01,8.83
1994-02,8.21
1994-03,8.45
1994-04,8.72
1994-05,9.66
1994-06,9.94
1994-07,10.7
1994-08,10.87
1994-09,11.55
1994-10,11.99
1994-11,12.17
1994-12,12.44
1995-01,13.05
1995-02,13.66
1995-03,14.13
1995-04,14.34
1995-05,14.74
1995-06,14.74
1995-07,14.67
1995-08,14.06
1995-09,14.02
1995-10,13.95
1995-11,13.99
1995-12,13.99
1996-01,13.99
1996-02,13.92
1996-03,13.99
1996-04,13.98
1996-05,13.99
1996-06,13.99
1996-07,13.92
1996-08,13.96
1996-09,13.96
1996-10,13.93
1996-11,13.4
1996-12,12.8
1997-01,12.06
1997-02,11.75
1997-03,11.07
1997-04,10.72
1997-05,10.63
1997-06,10.5
1997-07,10.87
1997-08,13.67
1997-09,22.0
1997-10,20.7
1997-11,20.0
1997-12,20.0
1998-01,20.0
1998-02,22.0
1998-03,27.75
1998-04,46.43
1998-05,58.0
1998-06,58.0
1998-07,70.81
1998-08,70.73
1998-09,68.76
1998-10,59.72
1998-11,51.25
1998-12,38.44
1999-01,36.43
1999-02,37.5
1999-03,37.84
1999-04,35.19
1999-05,28.73
1999-06,22.05
1999-07,15.01
1999-08,13.2
1999-09,13.02
1999-10,13.13
1999-11,13.1
1999-12,12.51
2000-01,11.48
2000-02,11.13
2000-03,11.03
2000-04,11.0
2000-05,11.08
2000-06,11.74
2000-07,13.53
2000-08,13.53
2000-09,13.62
2000-10,13.74
2000-11,14.15
2000-12,14.53
2001-01,14.74
2001-02,14.79
2001-03,15.58
2001-04,16.09
2001-05,16.33
2001-06,16.65
2001-07,17.17
2001-08,17.67
2001-09,17.57
2001-10,17.58
2001-11,17.6
2005-07,8.5
2005-08,8.75
2005-09,10.0
2005-10,11.0
2005-11,12.25
2005-12,12.75
2006-01,12.75
2006-02,12.75
2006-03,12.75
2006-04,12.75
2006-05,12.5
2006-06,12.5
2006-07,12.25
2006-08,11.75
2006-09,11.25
2006-10,10.75
2006-11,10.25
2006-12,9.75
2007-01,9.5
2007-02,9.25
2007-03,9.0
2007-04,9.0
2007-05,8.75
2007-06,8.5
2007-07,8.25
2007-08,8.25
2007-09,8.25
2007-10,8.25
2007-11,8.25
2007-12,8.0
2008-01,8.0
2008-02,8.0
2008-03,8.0
2008-04,8.0
2008-05,8.25
2008-06,8.5
2008-07,8.75
2008-08,9.0
