Date,Japan_Interest_Rate
2006-07,0.25
2006-08,0.25
2006-09,0.25
2006-10,0.25
2006-11,0.25
2006-12,0.25
2007-01,0.25
2007-02,0.5
2007-03,0.5
2007-04,0.5
2007-05,0.5
2007-06,0.5
2007-07,0.5
2007-08,0.5
2007-09,0.5
2007-10,0.5
2007-11,0.5
2007-12,0.5
2008-01,0.5
2008-02,0.5
2008-03,0.5
2008-04,0.5
2008-05,0.5
2008-06,0.5
2008-07,0.5
2008-08,0.5
2008-09,0.5
2008-10,0.3
2008-11,0.3
2008-12,0.1
2009-01,0.1
2009-02,0.1
2009-03,0.1
2009-04,0.1
2009-05,0.1
2009-06,0.1
2009-07,0.1
2009-08,0.1
2009-09,0.1
2009-10,0.1
2009-11,0.1
2009-12,0.1
2010-01,0.1
2010-02,0.1
2010-03,0.1
2010-04,0.1
2010-05,0.1
2010-06,0.1
2010-07,0.1
2010-08,0.1
2010-09,0.1
2010-10,0.05
2010-11,0.05
2010-12,0.05
2011-01,0.05
2011-02,0.05
2011-03,0.05
2011-04,0.05
2011-05,0.05
2011-06,0.05
2011-07,0.05
2011-08,0.05
2011-09,0.05
2011-10,0.05
2011-11,0.05
2011-12,0.05
2012-01,0.05
2012-02,0.05
2012-03,0.05
2012-04,0.05
2012-05,0.05
2012-06,0.05
2012-07,0.05
2012-08,0.05
2012-09,0.05
2012-10,0.05
2012-11,0.05
2012-12,0.05
2013-01,0.05
2013-02,0.05
2013-03,0.05
2013-04,0.05
2016-09,-0.1
2016-10,-0.1
2016-11,-0.1
2016-12,-0.1
2017-01,-0.1
2017-02,-0.1
2017-03,-0.1
2017-04,-0.1
2017-05,-0.1
2017-06,-0.1
2017-07,-0.1
2017-08,-0.1
2017-09,-0.1
2017-10,-0.1
2017-11,-0.1
2017-12,-0.1
2018-01,-0.1
2018-02,-0.1
2018-03,-0.1
2018-04,-0.1
2018-05,-0.1
2018-06,-0.1
2018-07,-0.1
2018-08,-0.1
2018-09,-0.1
2018-10,-0.1
2018-11,-0.1
2018-12,-0.1
2019-01,-0.1
2019-02,-0.1
2019-03,-0.1
2019-04,-0.1
2019-05,-0.1
2019-06,-0.1
2019-07,-0.1
2019-08,-0.1
2019-09,-0.1
2019-10,-0.1
2019-11,-0.1
2019-12,-0.1
2020-01,-0.1
2020-02,-0.1
2020-03,-0.1
2020-04,-0.1
2020-05,-0.1
2020-06,-0.1
2020-07,-0.1
2020-08,-0.1
2020-09,-0.1
2020-10,-0.1
2020-11,-0.1
2020-12,-0.1
2021-01,-0.1
2021-02,-0.1
2021-03,-0.1
2021-04,-0.1
2021-05,-0.1
2021-06,-0.1
2021-07,-0.1
2021-08,-0.1
2021-09,-0.1
2021-10,-0.1
2021-11,-0.1
2021-12,-0.1
2022-01,-0.1
2022-02,-0.1
2022-03,-0.1
2022-04,-0.1
2022-05,-0.1
2022-06,-0.1
2022-07,-0.1
2022-08,-0.1
