Date,Mexico_Interest_Rate
2001-12,8.04
2002-01,8.08
2002-02,7.63
2002-03,7.11
2002-04,5.47
2002-05,7.33
2002-06,8.13
2002-07,5.37
2002-08,6.64
2002-09,8.05
2002-10,7.72
2002-11,7.0
2002-12,8.25
2003-01,9.01
2003-02,9.27
2003-03,8.92
2003-04,5.85
2003-05,4.79
2003-06,4.36
2003-07,4.07
2003-08,4.57
2003-09,4.3
2003-10,4.73
2003-11,6.26
2003-12,6.12
2004-01,5.2
2004-02,6.71
2004-03,6.13
2004-04,6.26
2004-05,6.35
2004-06,6.53
2004-07,6.76
2004-08,7.17
2004-09,7.62
2004-10,7.81
2004-11,8.27
2004-12,8.75
2005-01,8.82
2005-02,9.21
2005-03,9.51
2005-04,9.6
2005-05,9.75
2005-06,9.76
2005-07,9.75
2005-08,9.51
2005-09,9.26
2005-10,9.01
2005-11,8.76
2005-12,8.27
2006-01,7.77
2006-02,7.51
2006-03,7.27
2006-04,7.05
2006-05,7.02
2006-06,7.03
2006-07,7.03
2006-08,7.03
2006-09,7.05
2006-10,7.04
2006-11,7.05
2006-12,7.02
2007-01,7.02
2007-02,7.08
2007-03,7.04
2007-04,7.26
2007-05,7.3
2007-06,7.3
2007-07,7.29
2007-08,7.29
2007-09,7.28
2007-10,7.49
2007-11,7.51
2007-12,7.57
2008-01,7.5
2008-02,7.5
2008-03,7.5
2008-04,7.5
2008-05,7.5
2008-06,7.75
2008-07,8.0
2008-08,8.25
2008-09,8.25
2008-10,8.25
2008-11,8.25
2008-12,8.25
2009-01,7.75
2009-02,7.5
2009-03,6.75
2009-04,6.0
2009-05,5.25
2009-06,4.75
2009-07,4.5
2009-08,4.5
2009-09,4.5
2009-10,4.5
2009-11,4.5
2009-12,4.5
2010-01,4.5
2010-02,4.5
2010-03,4.5
2010-04,4.5
2010-05,4.5
2010-06,4.5
2010-07,4.5
2010-08,4.5
2010-09,4.5
2010-10,4.5
2010-11,4.5
2010-12,4.5
2011-01,4.5
2011-02,4.5
2011-03,4.5
2011-04,4.5
2011-05,4.5
2011-06,4.5
2011-07,4.5
2011-08,4.5
2011-09,4.5
2011-10,4.5
2011-11,4.5
2011-12,4.5
2012-01,4.5
2012-02,4.5
2012-03,4.5
2012-04,4.5
2012-05,4.5
2012-06,4.5
2012-07,4.5
2012-08,4.5
2012-09,4.5
2012-10,4.5
2012-11,4.5
2012-12,4.5
2013-01,4.5
2013-02,4.5
2013-03,4.0
2013-04,4.0
2013-05,4.0
2013-06,4.0
2013-07,4.0
2013-08,4.0
2013-09,3.75
2013-10,3.5
2013-11,3.5
2013-12,3.5
2014-01,3.5
2014-02,3.5
2014-03,3.5
2014-04,3.5
2014-05,3.5
2014-06,3.0
2014-07,3.0
2014-08,3.0
2014-09,3.0
2014-10,3.0
2014-11,3.0
2014-12,3.0
2015-01,3.0
2015-02,3.0
2015-03,3.0
2015-04,3.0
2015-05,3.0
2015-06,3.0
2015-07,3.0
2015-08,3.0
2015-09,3.0
2015-10,3.0
2015-11,3.0
2015-12,3.25
2016-01,3.25
2016-02,3.75
2016-03,3.75
2016-04,3.75
2016-05,3.75
2016-06,4.25
2016-07,4.25
2016-08,4.25
2016-09,4.75
2016-10,4.75
2016-11,5.25
2016-12,5.75
2017-01,5.75
2017-02,6.25
2017-03,6.5
2017-04,6.5
2017-05,6.75
2017-06,7.0
2017-07,7.0
2017-08,7.0
2017-09,7.0
2017-10,7.0
2017-11,7.0
2017-12,7.25
2018-01,7.25
2018-02,7.5
2018-03,7.5
2018-04,7.5
2018-05,7.5
2018-06,7.75
2018-07,7.75
2018-08,7.75
2018-09,7.75
2018-10,7.75
2018-11,8.0
2018-12,8.25
2019-01,8.25
2019-02,8.25
2019-03,8.25
2019-04,8.25
2019-05,8.25
2019-06,8.25
2019-07,8.25
2019-08,8.0
2019-09,7.75
2019-10,7.75
2019-11,7.5
2019-12,7.25
2020-01,7.25
2020-02,7.0
2020-03,6.5
2020-04,6.0
2020-05,5.5
2020-06,5.0
2020-07,5.0
2020-08,4.5
2020-09,4.25
2020-10,4.25
2020-11,4.25
2020-12,4.25
2021-01,4.25
2021-02,4.0
2021-03,4.0
2021-04,4.0
2021-05,4.0
2021-06,4.25
2021-07,4.25
2021-08,4.5
2021-09,4.5
2021-10,4.75
2021-11,5.0
2021-12,5.5
2022-01,5.5
2022-02,6.0
2022-03,6.5
2022-04,6.5
2022-05,7.0
2022-06,7.75
2022-07,7.75
2022-08,8.5
