Date,Russian_Federation_Interest_Rate
2001-12,25.0
2002-01,25.0
2002-02,25.0
2002-03,25.0
2002-04,23.0
2002-05,23.0
2002-06,23.0
2002-07,23.0
2002-08,21.0
2002-09,21.0
2002-10,21.0
2002-11,21.0
2002-12,21.0
2003-01,21.0
2003-02,18.0
2003-03,18.0
2003-04,18.0
2003-05,18.0
2003-06,16.0
2003-07,16.0
2003-08,16.0
2003-09,16.0
2003-10,16.0
2003-11,16.0
2003-12,16.0
2004-01,14.0
2004-02,14.0
2004-03,14.0
2004-04,14.0
2004-05,14.0
2004-06,13.0
2004-07,13.0
2004-08,13.0
2004-09,13.0
2004-10,13.0
2004-11,13.0
2004-12,13.0
2005-01,13.0
2005-02,13.0
2005-03,13.0
2005-04,13.0
2005-05,13.0
2005-06,13.0
2005-07,13.0
2005-08,13.0
2005-09,13.0
2005-10,13.0
2005-11,13.0
2005-12,12.0
2006-01,12.0
2006-02,12.0
2006-03,12.0
2006-04,12.0
2006-05,12.0
2006-06,11.5
2006-07,11.5
2006-08,11.5
2006-09,11.5
2006-10,11.0
2006-11,11.0
2006-12,11.0
2007-01,10.5
2007-02,10.5
2007-03,10.5
2007-04,10.5
2007-05,10.5
2007-06,10.0
2007-07,10.0
2007-08,10.0
2007-09,10.0
2007-10,10.0
2007-11,10.0
2007-12,10.0
2008-01,10.0
2008-02,10.25
2008-03,10.25
2008-04,10.5
2008-05,10.5
2008-06,10.75
2008-07,11.0
2008-08,11.0
2008-09,11.0
2008-10,11.0
2008-11,12.0
2008-12,13.0
2009-01,13.0
2009-02,13.0
2009-03,13.0
2009-04,12.5
2009-05,12.0
2009-06,11.5
2009-07,11.0
2009-08,10.75
2009-09,10.0
2009-10,9.5
2009-11,9.0
2009-12,8.75
2010-01,8.75
2010-02,8.5
2010-03,8.25
2010-04,8.0
2010-05,7.75
2010-06,7.75
2010-07,7.75
2010-08,7.75
2010-09,7.75
2010-10,7.75
2010-11,7.75
2010-12,7.75
2011-01,7.75
2011-02,8.0
2011-03,8.0
2011-04,8.0
2011-05,8.25
2011-06,8.25
2011-07,8.25
2011-08,8.25
2011-09,8.25
2011-10,8.25
2011-11,8.25
2011-12,8.0
2012-01,8.0
2012-02,8.0
2012-03,8.0
2012-04,8.0
2012-05,8.0
2012-06,8.25
2012-07,8.0
2012-08,8.0
2012-09,8.25
2012-10,8.25
2012-11,8.25
2012-12,8.25
2013-01,8.25
2013-02,8.25
2013-03,8.25
2013-04,8.25
2013-05,8.25
2013-06,8.25
2013-07,8.25
2013-08,8.25
2013-09,5.5
2013-10,5.5
2013-11,5.5
2013-12,5.5
2014-01,5.5
2014-02,5.5
2014-03,7.0
2014-04,7.5
2014-05,7.5
2014-06,7.5
2014-07,8.0
2014-08,8.0
2014-09,8.0
2014-10,8.0
2014-11,9.5
2014-12,17.0
2015-01,17.0
2015-02,15.0
2015-03,14.0
2015-04,14.0
2015-05,12.5
2015-06,11.5
2015-07,11.5
2015-08,11.0
2015-09,11.0
2015-10,11.0
2015-11,11.0
2015-12,11.0
2016-01,11.0
2016-02,11.0
2016-03,11.0
2016-04,11.0
2016-05,11.0
2016-06,10.5
2016-07,10.5
2016-08,10.5
2016-09,10.0
2016-10,10.0
2016-11,10.0
2016-12,10.0
2017-01,10.0
2017-02,10.0
2017-03,9.75
2017-04,9.75
2017-05,9.25
2017-06,9.0
2017-07,9.0
2017-08,9.0
2017-09,8.5
2017-10,8.25
2017-11,8.25
2017-12,7.75
2018-01,7.75
2018-02,7.5
2018-03,7.25
2018-04,7.25
2018-05,7.25
2018-06,7.25
2018-07,7.25
2018-08,7.25
2018-09,7.5
2018-10,7.5
2018-11,7.5
2018-12,7.75
2019-01,7.75
2019-02,7.75
2019-03,7.75
2019-04,7.75
2019-05,7.75
2019-06,7.5
2019-07,7.25
2019-08,7.25
2019-09,7.0
2019-10,6.5
2019-11,6.5
2019-12,6.25
2020-01,6.25
2020-02,6.0
2020-03,6.0
2020-04,5.5
2020-05,5.5
2020-06,4.5
2020-07,4.25
2020-08,4.25
2020-09,4.25
2020-10,4.25
2020-11,4.25
2020-12,4.25
2021-01,4.25
2021-02,4.25
2021-03,4.5
2021-04,5.0
2021-05,5.0
2021-06,5.5
2021-07,6.5
2021-08,6.5
2021-09,6.75
2021-10,7.5
2021-11,7.5
2021-12,8.5
2022-01,8.5
2022-02,20.0
2022-03,20.0
2022-04,17.0
2022-05,11.0
2022-06,9.5
2022-07,8.0
2022-08,8.0
