Date,Saudi_Arabia_Interest_Rate
1999-01,4.45
1999-02,4.45
1999-03,4.45
1999-04,4.7
1999-05,4.7
1999-06,4.7
1999-07,5.0
1999-08,5.0
1999-09,5.0
1999-10,5.0
1999-11,5.5
1999-12,5.5
2000-01,6.0
2000-02,6.0
2000-03,6.0
2000-04,6.0
2000-05,6.75
2000-06,6.75
2000-07,6.75
2000-08,6.75
2000-09,6.75
2000-10,6.75
2000-11,6.75
2000-12,6.75
2001-01,5.75
2001-02,5.5
2001-03,5.0
2001-04,4.5
2001-05,4.0
2001-06,4.0
2001-07,3.75
2001-08,3.5
2001-09,3.0
2001-10,2.5
2001-11,2.25
2001-12,2.25
2002-01,2.25
2002-02,2.25
2002-03,2.0
2002-04,2.0
2002-05,2.0
2002-06,2.0
2002-07,2.0
2002-08,2.0
2002-09,2.0
2002-10,2.0
2002-11,1.5
2002-12,1.5
2003-01,1.5
2003-02,1.5
2003-03,1.5
2003-04,1.5
2003-05,1.5
2003-06,1.25
2003-07,1.25
2003-08,1.25
2003-09,1.25
2003-10,1.25
2003-11,1.25
2003-12,1.25
2004-01,1.25
2004-02,1.25
2004-03,1.0
2004-04,1.0
2004-05,1.0
2004-06,1.0
2004-07,1.0
2004-08,1.5
2004-09,1.75
2004-10,1.75
2004-11,2.0
2004-12,2.25
2005-01,2.25
2005-02,2.5
2005-03,3.0
2005-04,3.0
2005-05,3.0
2005-06,3.0
2005-07,3.25
2005-08,3.5
2005-09,3.75
2005-10,4.0
2005-11,4.0
2005-12,4.25
2006-01,4.25
2006-02,4.5
2006-03,4.5
2006-04,4.5
2006-05,4.5
2006-06,4.7
2006-07,4.7
2006-08,4.7
2006-09,4.7
2006-10,4.7
2006-11,4.7
2006-12,4.7
2007-01,4.7
2007-02,4.7
2007-03,5.0
2007-04,5.0
2007-05,5.0
2007-06,5.0
2007-07,5.0
2007-08,5.0
2007-09,5.0
2007-10,5.0
2007-11,4.25
2007-12,4.0
2008-01,3.0
2008-02,3.0
2008-03,2.25
2008-04,2.25
2008-05,2.25
2008-06,2.0
2008-07,2.0
2008-08,2.0
2008-09,2.0
2008-10,2.0
2008-11,2.0
2008-12,1.5
2009-01,0.75
2009-02,0.75
2009-03,0.75
2009-04,0.5
2009-05,0.5
2009-06,0.25
2009-07,0.25
2009-08,0.25
2009-09,0.25
2009-10,0.25
2009-11,0.25
2009-12,0.25
2010-01,0.25
2010-02,0.25
2010-03,0.25
2010-04,0.25
2010-05,0.25
2010-06,0.25
2010-07,0.25
2010-08,0.25
2010-09,0.25
2010-10,0.25
2010-11,0.25
2010-12,0.25
2011-01,0.25
2011-02,0.25
2011-03,0.25
2011-04,0.25
2011-05,0.25
2011-06,0.25
2011-07,0.25
2011-08,0.25
2011-09,0.25
2011-10,0.25
2011-11,0.25
2011-12,0.25
2012-01,0.25
2012-02,0.25
2012-03,0.25
2012-04,0.25
2012-05,0.25
2012-06,0.25
2012-07,0.25
2012-08,0.25
2012-09,0.25
2012-10,0.25
2012-11,0.25
2012-12,0.25
2013-01,0.25
2013-02,0.25
2013-03,0.25
2013-04,0.25
2013-05,0.25
2013-06,0.25
2013-07,0.25
2013-08,0.25
2013-09,0.25
2013-10,0.25
2013-11,0.25
2013-12,0.25
2014-01,0.25
2014-02,0.25
2014-03,0.25
2014-04,0.25
2014-05,0.25
2014-06,0.25
2014-07,0.25
2014-08,0.25
2014-09,0.25
2014-10,0.25
2014-11,0.25
2014-12,0.25
2015-01,0.25
2015-02,0.25
2015-03,0.25
2015-04,0.25
2015-05,0.25
2015-06,0.25
2015-07,0.25
2015-08,0.25
2015-09,0.25
2015-10,0.25
2015-11,0.25
2015-12,0.5
2016-01,0.5
2016-02,0.5
2016-03,0.5
2016-04,0.5
2016-05,0.5
2016-06,0.5
2016-07,0.5
2016-08,0.5
2016-09,0.5
2016-10,0.5
2016-11,0.5
2016-12,0.75
2017-01,0.75
2017-02,0.75
2017-03,1.0
2017-04,1.0
2017-05,1.0
2017-06,1.25
2017-07,1.25
2017-08,1.25
2017-09,1.25
2017-10,1.25
2017-11,1.25
2017-12,1.5
2018-01,1.5
2018-02,1.5
