Date,South_Africa_Interest_Rate
1998-03,15.0
1998-04,14.93
1998-05,18.0
1998-06,20.21
1998-07,21.35
1998-08,21.85
1998-09,21.85
1998-10,20.72
1998-11,19.73
1998-12,19.32
1999-01,18.83
1999-02,17.36
1999-03,16.5
1999-04,15.66
1999-05,15.46
1999-06,14.91
1999-07,13.65
1999-08,13.44
1999-09,12.4
1999-10,12.19
1999-11,12.0
1999-12,12.0
2000-01,11.75
2000-02,11.75
2000-03,11.75
2000-04,11.75
2000-05,11.75
2000-06,11.75
2000-07,11.75
2000-08,11.75
2000-09,11.75
2000-10,12.0
2000-11,12.0
2000-12,12.0
2001-01,12.0
2001-02,12.0
2001-03,12.0
2001-04,12.0
2001-05,12.0
2001-06,11.0
2001-07,11.0
2001-08,11.0
2001-09,9.5
2001-10,9.5
2001-11,9.5
2001-12,9.5
2002-01,10.5
2002-02,10.5
2002-03,11.5
2002-04,11.5
2002-05,11.5
2002-06,12.5
2002-07,12.5
2002-08,12.5
2002-09,13.5
2002-10,13.5
2002-11,13.5
2002-12,13.5
2003-01,13.5
2003-02,13.5
2003-03,13.5
2003-04,13.5
2003-05,13.5
2003-06,12.0
2003-07,12.0
2003-08,11.0
2003-09,10.0
2003-10,8.5
2003-11,8.5
2003-12,8.0
2004-01,8.0
2004-02,8.0
2004-03,8.0
2004-04,8.0
2004-05,8.0
2004-06,8.0
2004-07,8.0
2004-08,7.5
2004-09,7.5
2004-10,7.5
2004-11,7.5
2004-12,7.5
2005-01,7.5
2005-02,7.5
2005-03,7.5
2005-04,7.0
2005-05,7.0
2005-06,7.0
2005-07,7.0
2005-08,7.0
2005-09,7.0
2005-10,7.0
2005-11,7.0
2005-12,7.0
2006-01,7.0
2006-02,7.0
2006-03,7.0
2006-04,7.0
2006-05,7.0
2006-06,7.5
2006-07,7.5
2006-08,8.0
2006-09,8.0
2006-10,8.5
2006-11,8.5
2006-12,9.0
2007-01,9.0
2007-02,9.0
2007-03,9.0
2007-04,9.0
2007-05,9.0
2007-06,9.5
2007-07,9.5
2007-08,10.0
2007-09,10.0
2007-10,10.5
2007-11,10.5
2007-12,11.0
2008-01,11.0
2008-02,11.0
2008-03,11.0
2008-04,11.5
2008-05,11.5
2008-06,12.0
2008-07,12.0
2008-08,12.0
2008-09,12.0
2008-10,12.0
2008-11,12.0
2008-12,11.5
2009-01,11.5
2009-02,10.5
2009-03,9.5
2009-04,9.5
2009-05,7.5
2009-06,7.5
2009-07,7.5
2009-08,7.0
2009-09,7.0
2009-10,7.0
2009-11,7.0
2009-12,7.0
2010-01,7.0
2010-02,7.0
2010-03,6.5
2010-04,6.5
2010-05,6.5
2010-06,6.5
2010-07,6.5
2010-08,6.5
2010-09,6.0
2010-10,6.0
2010-11,5.5
2010-12,5.5
2011-01,5.5
2011-02,5.5
2011-03,5.5
2011-04,5.5
2011-05,5.5
2011-06,5.5
2011-07,5.5
2011-08,5.5
2011-09,5.5
2011-10,5.5
2011-11,5.5
2011-12,5.5
2012-01,5.5
2012-02,5.5
2012-03,5.5
2012-04,5.5
2012-05,5.5
2012-06,5.5
2012-07,5.0
2012-08,5.0
2012-09,5.0
2012-10,5.0
2012-11,5.0
2012-12,5.0
2013-01,5.0
2013-02,5.0
2013-03,5.0
2013-04,5.0
2013-05,5.0
2013-06,5.0
2013-07,5.0
2013-08,5.0
2013-09,5.0
2013-10,5.0
2013-11,5.0
2013-12,5.0
2014-01,5.5
2014-02,5.5
2014-03,5.5
2014-04,5.5
2014-05,5.5
2014-06,5.5
2014-07,5.75
2014-08,5.75
2014-09,5.75
2014-10,5.75
2014-11,5.75
2014-12,5.75
2015-01,5.75
2015-02,5.75
2015-03,5.75
2015-04,5.75
2015-05,5.75
2015-06,5.75
2015-07,6.0
2015-08,6.0
2015-09,6.0
2015-10,6.0
2015-11,6.25
2015-12,6.25
2016-01,6.75
2016-02,6.75
2016-03,7.0
2016-04,7.0
2016-05,7.0
2016-06,7.0
2016-07,7.0
2016-08,7.0
2016-09,7.0
2016-10,7.0
2016-11,7.0
2016-12,7.0
2017-01,7.0
2017-02,7.0
2017-03,7.0
2017-04,7.0
2017-05,7.0
2017-06,7.0
2017-07,6.75
2017-08,6.75
2017-09,6.75
2017-10,6.75
2017-11,6.75
2017-12,6.75
2018-01,6.75
2018-02,6.75
2018-03,6.5
2018-04,6.5
2018-05,6.5
2018-06,6.5
2018-07,6.5
2018-08,6.5
2018-09,6.5
2018-10,6.5
2018-11,6.75
2018-12,6.75
2019-01,6.75
2019-02,6.75
2019-03,6.75
2019-04,6.75
2019-05,6.75
2019-06,6.75
2019-07,6.5
2019-08,6.5
2019-09,6.5
2019-10,6.5
2019-11,6.5
2019-12,6.5
2020-01,6.25
2020-02,6.25
2020-03,5.25
2020-04,4.25
2020-05,3.75
2020-06,3.75
2020-07,3.5
2020-08,3.5
2020-09,3.5
2020-10,3.5
2020-11,3.5
2020-12,3.5
2021-01,3.5
2021-02,3.5
2021-03,3.5
2021-04,3.5
2021-05,3.5
2021-06,3.5
2021-07,3.5
2021-08,3.5
2021-09,3.5
2021-10,3.5
2021-11,3.75
2021-12,3.75
2022-01,4.0
2022-02,4.0
2022-03,4.25
2022-04,4.25
2022-05,4.75
2022-06,4.75
2022-07,5.5
2022-08,5.5
