Date,Türkiye_Rep_of_Interest_Rate
1986-04,37.96
1986-05,27.46
1986-06,22.75
1986-07,34.32
1986-08,51.44
1986-09,39.92
1986-10,38.65
1986-11,39.47
1986-12,39.09
1987-01,33.12
1987-02,41.41
1987-03,30.18
1987-04,40.64
1987-05,44.22
1987-06,34.34
1987-07,35.91
1987-08,32.17
1987-09,44.21
1987-10,49.34
1987-11,49.92
1987-12,42.36
1988-01,52.66
1988-02,49.84
1988-03,62.45
1988-04,70.0
1988-05,71.83
1988-06,63.1
1988-07,61.09
1988-08,62.76
1988-09,64.14
1988-10,80.08
1988-11,42.75
1988-12,46.77
1989-01,44.34
1989-02,33.72
1989-03,39.97
1989-04,37.08
1989-05,64.18
1989-06,45.53
1989-07,49.39
1989-08,46.06
1989-09,34.69
1989-10,21.63
1989-11,44.5
1989-12,26.87
1990-01,32.0
1990-02,42.41
1990-03,42.58
1990-04,47.87
1990-05,56.92
1990-06,61.64
1990-07,54.48
1990-08,54.4
1990-09,54.99
1990-10,53.26
1990-11,59.59
1990-12,62.72
1991-01,63.48
1991-02,67.48
1991-03,104.27
1991-04,108.1
1991-05,80.78
1991-06,72.05
1991-07,66.16
1991-08,64.48
1991-09,62.76
1991-10,61.82
1991-11,61.69
1991-12,59.87
1992-01,60.39
1992-02,63.03
1992-03,63.76
1992-04,65.83
1992-05,67.63
1992-06,68.49
1992-07,66.72
1992-08,64.91
1992-09,63.31
1992-10,65.73
1992-11,66.68
1992-12,67.77
1993-01,65.19
1993-02,59.3
1993-03,66.94
1993-04,62.6
1993-05,62.27
1993-06,59.47
1993-07,59.44
1993-08,58.07
1993-09,57.48
1993-10,57.93
1993-11,75.64
1993-12,69.63
1994-01,91.14
1994-02,192.72
1994-03,350.53
1994-04,258.42
1994-05,262.84
1994-06,53.94
1994-07,43.4
1994-08,87.43
1994-09,69.14
1994-10,71.01
1994-11,65.04
1994-12,92.04
1995-01,87.41
1995-02,66.98
1995-03,66.0
1995-04,68.75
1995-05,76.63
1995-06,57.77
1995-07,48.16
1995-08,59.1
1995-09,73.15
1995-10,75.52
1995-11,81.82
1995-12,106.31
1996-01,95.22
1996-02,83.26
1996-03,89.94
1996-04,76.39
1996-05,62.66
1996-06,65.3
1996-07,74.59
1996-08,68.08
1996-09,73.87
1996-10,74.76
1996-11,76.82
1996-12,73.99
1997-01,61.48
1997-02,66.29
1997-03,65.12
1997-04,68.52
1997-05,66.3
1997-06,70.53
1997-07,69.0
1997-08,73.93
1997-09,75.23
1997-10,71.57
