Date,United_States_Interest_Rate
1982-09,10.25
1982-10,9.5
1982-11,9.0
1982-12,8.5
1983-01,8.5
1983-02,8.5
1983-03,8.63
1983-04,8.63
1983-05,8.75
1983-06,9.0
1983-07,9.44
1983-08,9.5
1983-09,9.38
1983-10,9.38
1983-11,9.38
1983-12,9.38
1984-01,9.38
1984-02,9.38
1984-03,10.5
1984-04,10.5
1984-05,10.5
1984-06,10.5
1984-07,11.25
1984-08,11.5
1984-09,11.0
1984-10,10.0
1984-11,9.0
1984-12,8.13
1985-01,8.25
1985-02,8.38
1985-03,8.5
1985-04,8.25
1985-05,7.75
1985-06,7.75
1985-07,7.75
1985-08,7.81
1985-09,8.0
1985-10,8.0
1985-11,8.0
1985-12,7.75
1986-01,7.75
1986-02,7.75
1986-03,7.25
1986-04,6.75
1986-05,6.81
1986-06,6.88
1986-07,6.38
1986-08,5.88
1986-09,5.88
1986-10,5.88
1986-11,5.88
1986-12,5.88
1987-01,6.0
1987-02,6.0
1987-03,6.0
1987-04,6.5
1987-05,6.75
1987-06,6.75
1987-07,6.63
1987-08,6.75
1987-09,7.31
1987-10,7.31
1987-11,6.81
1987-12,6.81
1988-01,6.63
1988-02,6.5
1988-03,6.75
1988-04,6.75
1988-05,7.25
1988-06,7.44
1988-07,7.69
1988-08,8.13
1988-09,8.13
1988-10,8.13
1988-11,8.38
1988-12,8.69
1989-01,9.0
1989-02,9.75
1989-03,9.75
1989-04,9.75
1989-05,9.81
1989-06,9.5
1989-07,9.0
1989-08,9.0
1989-09,9.0
1989-10,8.75
1989-11,8.5
1989-12,8.25
1990-01,8.25
1990-02,8.25
1990-03,8.25
1990-04,8.25
1990-05,8.25
1990-06,8.25
1990-07,8.0
1990-08,8.0
1990-09,8.0
1990-10,7.75
1990-11,7.5
1990-12,7.0
1991-01,6.75
1991-02,6.25
1991-03,6.0
1991-04,5.75
1991-05,5.75
1991-06,5.75
1991-07,5.75
1991-08,5.5
1991-09,5.25
1991-10,5.0
1991-11,4.75
1991-12,4.0
1992-01,4.0
1992-02,4.0
1992-03,4.0
1992-04,3.75
1992-05,3.75
1992-06,3.75
1992-07,3.25
1992-08,3.25
1992-09,3.0
1992-10,3.0
1992-11,3.0
1992-12,3.0
1993-01,3.0
1993-02,3.0
1993-03,3.0
1993-04,3.0
1993-05,3.0
1993-06,3.0
1993-07,3.0
1993-08,3.0
1993-09,3.0
1993-10,3.0
1993-11,3.0
1993-12,3.0
1994-01,3.0
1994-02,3.25
1994-03,3.5
1994-04,3.75
1994-05,4.25
1994-06,4.25
1994-07,4.25
1994-08,4.75
1994-09,4.75
1994-10,4.75
1994-11,5.5
1994-12,5.5
1995-01,5.5
1995-02,6.0
1995-03,6.0
1995-04,6.0
1995-05,6.0
1995-06,6.0
1995-07,5.75
1995-08,5.75
1995-09,5.75
1995-10,5.75
1995-11,5.75
1995-12,5.5
1996-01,5.25
1996-02,5.25
1996-03,5.25
1996-04,5.25
1996-05,5.25
1996-06,5.25
1996-07,5.25
1996-08,5.25
1996-09,5.25
1996-10,5.25
1996-11,5.25
1996-12,5.25
1997-01,5.25
1997-02,5.25
1997-03,5.5
1997-04,5.5
1997-05,5.5
1997-06,5.5
1997-07,5.5
1997-08,5.5
1997-09,5.5
1997-10,5.5
1997-11,5.5
1997-12,5.5
1998-01,5.5
1998-02,5.5
1998-03,5.5
1998-04,5.5
1998-05,5.5
1998-06,5.5
1998-07,5.5
1998-08,5.5
1998-09,5.25
1998-10,5.0
1998-11,4.75
1998-12,4.75
1999-01,4.75
1999-02,4.75
1999-03,4.75
1999-04,4.75
1999-05,4.75
1999-06,5.0
1999-07,5.0
1999-08,5.25
1999-09,5.25
1999-10,5.25
1999-11,5.5
1999-12,5.5
2000-01,5.5
2000-02,5.75
2000-03,6.0
2000-04,6.0
2000-05,6.5
2000-06,6.5
2000-07,6.5
2000-08,6.5
2000-09,6.5
2000-10,6.5
2000-11,6.5
2000-12,6.5
2001-01,6.02
2001-02,5.5
2001-03,5.31
2001-04,4.78
2001-05,4.23
2001-06,3.97
2001-07,3.75
2001-08,3.66
2001-09,3.27
2001-10,2.52
2001-11,2.08
2001-12,1.75
2002-01,1.75
2002-02,1.75
2002-03,1.75
2002-04,1.75
2002-05,1.75
2002-06,1.75
2002-07,1.75
2002-08,1.75
2002-09,1.75
2002-10,1.75
2002-11,1.25
2002-12,1.25
2003-01,1.25
2003-02,1.25
2003-03,1.25
2003-04,1.25
2003-05,1.25
2003-06,1.0
2003-07,1.0
2003-08,1.0
2003-09,1.0
2003-10,1.0
2003-11,1.0
2003-12,1.0
2004-01,1.0
2004-02,1.0
2004-03,1.0
2004-04,1.0
2004-05,1.0
2004-06,1.25
2004-07,1.25
2004-08,1.5
2004-09,1.75
2004-10,1.75
2004-11,2.0
2004-12,2.25
2005-01,2.25
2005-02,2.5
2005-03,2.75
2005-04,2.75
2005-05,3.0
2005-06,3.25
2005-07,3.25
2005-08,3.5
2005-09,3.75
2005-10,3.75
2005-11,4.0
2005-12,4.25
2006-01,4.5
2006-02,4.5
2006-03,4.75
2006-04,4.75
2006-05,5.0
2006-06,5.25
2006-07,5.25
2006-08,5.25
2006-09,5.25
2006-10,5.25
2006-11,5.25
2006-12,5.25
2007-01,5.25
2007-02,5.25
2007-03,5.25
2007-04,5.25
2007-05,5.25
2007-06,5.25
2007-07,5.25
2007-08,5.25
2007-09,4.75
2007-10,4.5
2007-11,4.5
2007-12,4.25
2008-01,3.0
2008-02,3.0
2008-03,2.25
2008-04,2.0
2008-05,2.0
2008-06,2.0
2008-07,2.0
2008-08,2.0
2008-09,2.0
2008-10,1.0
2008-11,1.0
2008-12,0.13
2009-01,0.13
2009-02,0.13
2009-03,0.13
2009-04,0.13
2009-05,0.13
2009-06,0.13
2009-07,0.13
2009-08,0.13
2009-09,0.13
2009-10,0.13
2009-11,0.13
2009-12,0.13
2010-01,0.13
2010-02,0.13
2010-03,0.13
2010-04,0.13
2010-05,0.13
2010-06,0.13
2010-07,0.13
2010-08,0.13
2010-09,0.13
2010-10,0.13
2010-11,0.13
2010-12,0.13
2011-01,0.13
2011-02,0.13
2011-03,0.13
2011-04,0.13
2011-05,0.13
2011-06,0.13
2011-07,0.13
2011-08,0.13
2011-09,0.13
2011-10,0.13
2011-11,0.13
2011-12,0.13
2012-01,0.13
