BCOMALTR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Aluminum Subindex Total Return Max Cuml Total Return 74.7910% On 02/29/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,72.24,--,-23.99%,-27.76%,-4.22%,-4.22%
11/30/2022,75.43,--,-20.64%,-24.57%,11.30%,11.30%
10/31/2022,67.77,--,-28.70%,-32.23%,3.04%,3.04%
,,,,,,
9/30/2022,65.77,--,-30.80%,-34.23%,-8.50%,-8.50%
8/31/2022,71.88,--,-24.37%,-28.12%,-5.10%,-5.10%
7/29/2022,75.75,--,-20.31%,-24.25%,2.55%,2.55%
,,,,,,
6/30/2022,73.86,--,-22.29%,-26.14%,-12.26%,-12.26%
5/31/2022,84.18,--,-11.43%,-15.82%,-8.98%,-8.98%
4/29/2022,92.49,--,-2.69%,-7.51%,-12.84%,-12.84%
,,,,,,
3/31/2022,106.12,--,11.65%,6.12%,3.47%,3.47%
2/28/2022,102.56,--,7.90%,2.56%,11.73%,11.73%
1/31/2022,91.79,--,-3.43%,-8.21%,7.88%,7.88%
,,,,,,
12/31/2021,85.08,--,-10.48%,-14.92%,6.75%,6.75%
11/30/2021,79.7,--,-16.14%,-20.30%,-3.58%,-3.58%
10/29/2021,82.67,--,-13.03%,-17.34%,-4.81%,-4.81%
,,,,,,
9/30/2021,86.84,--,-8.64%,-13.16%,5.11%,5.11%
8/31/2021,82.62,--,-13.08%,-17.38%,4.54%,4.54%
7/30/2021,79.03,--,-16.85%,-20.97%,2.80%,2.80%
,,,,,,
6/30/2021,76.88,--,-19.11%,-23.12%,1.69%,1.69%
5/31/2021,75.61,--,-20.45%,-24.39%,3.20%,3.20%
4/30/2021,73.26,--,-22.92%,-26.74%,8.20%,8.20%
,,,,,,
3/31/2021,67.71,--,-28.76%,-32.29%,2.25%,2.25%
2/26/2021,66.22,--,-30.33%,-33.78%,8.70%,8.70%
1/29/2021,60.92,--,-35.91%,-39.08%,-0.48%,-0.48%
,,,,,,
12/31/2020,61.21,--,-35.60%,-38.79%,-3.65%,-3.65%
11/30/2020,63.53,--,-33.16%,-36.47%,10.41%,10.41%
10/30/2020,57.54,--,-39.46%,-42.46%,5.33%,5.33%
,,,,,,
9/30/2020,54.63,--,-42.52%,-45.37%,-2.50%,-2.50%
8/31/2020,56.03,--,-41.05%,-43.97%,4.69%,4.69%
7/31/2020,53.52,--,-43.69%,-46.48%,5.01%,5.01%
,,,,,,
6/30/2020,50.97,--,-46.38%,-49.04%,3.99%,3.99%
5/29/2020,49.01,--,-48.44%,-50.99%,3.06%,3.06%
4/30/2020,47.55,--,-49.97%,-52.45%,-2.99%,-2.99%
,,,,,,
3/31/2020,49.02,--,-48.43%,-50.98%,-10.55%,-10.55%
2/28/2020,54.8,--,-42.34%,-45.20%,-1.74%,-1.74%
1/31/2020,55.77,--,-41.32%,-44.23%,-5.34%,-5.34%
,,,,,,
12/31/2019,58.92,--,-38.01%,-41.08%,1.76%,1.76%
11/29/2019,57.9,--,-39.08%,-42.10%,0.78%,0.78%
10/31/2019,57.45,--,-39.56%,-42.55%,2.38%,2.38%
,,,,,,
9/30/2019,56.11,--,-40.96%,-43.89%,-1.51%,-1.51%
8/30/2019,56.97,--,-40.06%,-43.03%,-2.90%,-2.90%
7/31/2019,58.68,--,-38.27%,-41.32%,-0.36%,-0.36%
,,,,,,
6/28/2019,58.89,--,-38.04%,-41.11%,0.01%,0.01%
5/31/2019,58.88,--,-38.05%,-41.12%,-0.26%,-0.26%
4/30/2019,59.03,--,-37.89%,-40.97%,-6.57%,-6.57%
,,,,,,
3/29/2019,63.19,--,-33.52%,-36.81%,-0.19%,-0.19%
2/28/2019,63.3,--,-33.40%,-36.70%,-0.26%,-0.26%
1/31/2019,63.47,--,-33.22%,-36.53%,3.65%,3.65%
,,,,,,
12/31/2018,61.23,--,-35.57%,-38.77%,-6.25%,-6.25%
11/30/2018,65.32,--,-31.28%,-34.68%,0.29%,0.29%
10/31/2018,65.13,--,-31.47%,-34.87%,-5.22%,-5.22%
,,,,,,
9/28/2018,68.72,--,-27.70%,-31.28%,-2.47%,-2.47%
8/31/2018,70.46,--,-25.86%,-29.54%,2.46%,2.46%
7/31/2018,68.77,--,-27.65%,-31.23%,-2.46%,-2.46%
,,,,,,
6/29/2018,70.5,--,-25.82%,-29.50%,-6.72%,-6.72%
5/31/2018,75.58,--,-20.48%,-24.42%,2.31%,2.31%
4/30/2018,73.87,--,-22.28%,-26.13%,13.94%,13.94%
,,,,,,
3/30/2018,64.84,--,-31.79%,-35.16%,-6.22%,-6.22%
2/28/2018,69.13,--,-27.27%,-30.87%,-3.87%,-3.87%
1/31/2018,71.92,--,-24.33%,-28.08%,-2.41%,-2.41%
,,,,,,
12/29/2017,73.7,--,-22.46%,-26.30%,10.78%,10.78%
11/30/2017,66.53,--,-30.01%,-33.47%,-5.42%,-5.42%
10/31/2017,70.34,--,-26.00%,-29.66%,2.69%,2.69%
,,,,,,
9/29/2017,68.5,--,-27.93%,-31.50%,-1.19%,-1.19%
8/31/2017,69.32,--,-27.06%,-30.68%,10.45%,10.45%
7/31/2017,62.77,--,-33.96%,-37.23%,-0.48%,-0.48%
,,,,,,
6/30/2017,63.07,--,-33.65%,-36.93%,-0.55%,-0.55%
5/31/2017,63.42,--,-33.28%,-36.58%,0.74%,0.74%
4/28/2017,62.96,--,-33.77%,-37.05%,-2.89%,-2.89%
,,,,,,
3/31/2017,64.83,--,-31.80%,-35.18%,1.84%,1.84%
2/28/2017,63.65,--,-33.03%,-36.35%,5.65%,5.65%
1/31/2017,60.25,--,-36.61%,-39.75%,7.24%,7.24%
,,,,,,
12/30/2016,56.18,--,-40.89%,-43.82%,-2.19%,-2.19%
11/30/2016,57.44,--,-39.57%,-42.56%,-0.32%,-0.32%
10/31/2016,57.63,--,-39.37%,-42.37%,3.59%,3.59%
,,,,,,
9/30/2016,55.63,--,-41.47%,-44.37%,3.63%,3.63%
8/31/2016,53.68,--,-43.52%,-46.32%,-2.27%,-2.27%
7/29/2016,54.93,--,-42.21%,-45.07%,-0.64%,-0.64%
,,,,,,
6/30/2016,55.28,--,-41.84%,-44.72%,6.11%,6.11%
5/31/2016,52.1,--,-45.19%,-47.90%,-7.86%,-7.86%
4/29/2016,56.54,--,-40.51%,-43.46%,10.59%,10.59%
,,,,,,
3/31/2016,51.13,--,-46.21%,-48.87%,-3.85%,-3.85%
