BCOMCOT Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Brent Crude Subindex Total Return Max Cuml Total Return 2296.2872% On 06/30/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,1061.91,--,1207.14%,1012.23%,-0.89%,-0.89%
11/30/2022,1071.41,--,1218.83%,1022.17%,-2.99%,-2.99%
10/31/2022,1104.44,--,1259.49%,1056.77%,11.47%,11.47%
,,,,,,
9/30/2022,990.79,--,1119.60%,937.74%,-10.24%,-10.24%
8/31/2022,1103.87,--,1258.79%,1056.18%,-5.49%,-5.49%
7/29/2022,1168,--,1337.72%,1123.34%,-0.88%,-0.88%
,,,,,,
6/30/2022,1178.41,--,1350.54%,1134.25%,-3.04%,-3.04%
5/31/2022,1215.3,--,1395.95%,1172.88%,8.26%,8.26%
4/29/2022,1122.6,--,1281.84%,1075.79%,4.36%,4.36%
,,,,,,
3/31/2022,1075.72,--,1224.14%,1026.69%,12.14%,12.14%
2/28/2022,959.24,--,1080.76%,904.69%,11.55%,11.55%
1/31/2022,859.93,--,958.51%,800.67%,14.82%,14.82%
,,,,,,
12/31/2021,748.97,--,821.92%,684.45%,12.93%,12.93%
11/30/2021,663.23,--,716.39%,594.66%,-15.60%,-15.60%
10/29/2021,785.85,--,867.32%,723.08%,7.99%,7.99%
,,,,,,
9/30/2021,727.72,--,795.77%,662.20%,10.22%,10.22%
8/31/2021,660.26,--,712.73%,591.54%,-3.96%,-3.96%
7/30/2021,687.51,--,746.28%,620.09%,2.10%,2.10%
,,,,,,
6/30/2021,673.35,--,728.85%,605.25%,9.19%,9.19%
5/31/2021,616.66,--,659.07%,545.88%,3.21%,3.21%
4/30/2021,597.5,--,635.48%,525.81%,7.14%,7.14%
,,,,,,
3/31/2021,557.66,--,586.44%,484.09%,-1.35%,-1.35%
2/26/2021,565.27,--,595.81%,492.05%,17.54%,17.54%
1/29/2021,480.93,--,491.99%,403.71%,6.31%,6.31%
,,,,,,
12/31/2020,452.38,--,456.85%,373.82%,8.04%,8.04%
11/30/2020,418.73,--,415.42%,338.57%,24.57%,24.57%
10/30/2020,336.14,--,313.77%,252.07%,-11.24%,-11.24%
,,,,,,
9/30/2020,378.72,--,366.18%,296.67%,-8.17%,-8.17%
8/31/2020,412.4,--,407.64%,331.95%,3.27%,3.27%
7/31/2020,399.35,--,391.57%,318.27%,5.20%,5.20%
,,,,,,
6/30/2020,379.59,--,367.25%,297.57%,8.14%,8.14%
