BCOMCCTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Cocoa Subindex Total Return Max Cuml Total Return 3065.9677% On 11/30/1978,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,55.01,--,451.04%,441.04%,4.46%,4.46%
11/30/2022,52.66,--,427.53%,417.95%,7.69%,7.69%
10/31/2022,48.9,--,389.84%,380.95%,-0.50%,-0.50%
,,,,,,
9/30/2022,49.14,--,392.28%,383.35%,-2.19%,-2.19%
8/31/2022,50.24,--,403.32%,394.18%,2.40%,2.40%
7/29/2022,49.07,--,391.52%,382.60%,-0.56%,-0.56%
,,,,,,
6/30/2022,49.34,--,394.26%,385.30%,-7.71%,-7.71%
5/31/2022,53.46,--,435.56%,425.85%,-2.68%,-2.68%
4/29/2022,54.94,--,450.32%,440.34%,-4.93%,-4.93%
,,,,,,
3/31/2022,57.78,--,478.84%,468.33%,4.82%,4.82%
2/28/2022,55.12,--,452.20%,442.18%,-1.78%,-1.78%
1/31/2022,56.12,--,462.19%,451.99%,0.33%,0.33%
,,,,,,
12/31/2021,55.94,--,460.35%,450.18%,7.42%,7.42%
11/30/2021,52.07,--,421.63%,412.16%,-9.42%,-9.42%
10/29/2021,57.49,--,475.90%,465.45%,-4.07%,-4.07%
,,,,,,
9/30/2021,59.93,--,500.33%,489.44%,4.41%,4.41%
8/31/2021,57.4,--,474.96%,464.52%,4.48%,4.48%
7/30/2021,54.93,--,450.31%,440.32%,-0.96%,-0.96%
,,,,,,
6/30/2021,55.47,--,455.63%,445.55%,-2.95%,-2.95%
5/31/2021,57.15,--,472.51%,462.13%,1.26%,1.26%
4/30/2021,56.44,--,465.39%,455.13%,0.05%,0.05%
,,,,,,
3/31/2021,56.41,--,465.12%,454.86%,-9.83%,-9.83%
2/26/2021,62.56,--,526.71%,515.34%,7.81%,7.81%
1/29/2021,58.03,--,481.31%,470.76%,-2.76%,-2.76%
,,,,,,
12/31/2020,59.68,--,497.80%,486.96%,-4.96%,-4.96%
11/30/2020,62.79,--,528.99%,517.58%,18.84%,18.84%
10/30/2020,52.83,--,429.26%,419.66%,-9.93%,-9.93%
,,,,,,
9/30/2020,58.66,--,487.61%,476.95%,-4.06%,-4.06%
8/31/2020,61.14,--,512.48%,501.37%,11.13%,11.13%
7/31/2020,55.02,--,451.12%,441.12%,9.80%,9.80%
,,,,,,
6/30/2020,50.1,--,401.92%,392.81%,-8.90%,-8.90%
5/29/2020,55,--,450.96%,440.97%,1.67%,1.67%
4/30/2020,54.1,--,441.93%,432.10%,7.12%,7.12%
,,,,,,
3/31/2020,50.5,--,405.90%,396.72%,-15.79%,-15.79%
2/28/2020,59.97,--,500.76%,489.85%,-2.09%,-2.09%
1/31/2020,61.25,--,513.60%,502.46%,9.47%,9.47%
,,,,,,
12/31/2019,55.95,--,460.49%,450.32%,-0.95%,-0.95%
11/29/2019,56.49,--,465.89%,455.62%,7.38%,7.38%
10/31/2019,52.61,--,426.98%,417.42%,-1.45%,-1.45%
,,,,,,
9/30/2019,53.38,--,434.75%,425.04%,10.08%,10.08%
8/30/2019,48.49,--,385.77%,376.95%,-7.14%,-7.14%
7/31/2019,52.22,--,423.10%,413.61%,-3.11%,-3.11%
,,,,,,
6/28/2019,53.9,--,439.89%,430.10%,2.28%,2.28%
5/31/2019,52.69,--,427.85%,418.28%,1.95%,1.95%
4/30/2019,51.69,--,417.78%,408.38%,4.36%,4.36%
,,,,,,
3/29/2019,49.53,--,396.13%,387.13%,1.67%,1.67%
2/28/2019,48.72,--,388.00%,379.14%,2.05%,2.05%
1/31/2019,47.74,--,378.21%,369.53%,-10.08%,-10.08%
,,,,,,
12/31/2018,53.09,--,431.79%,422.14%,9.89%,9.89%
11/30/2018,48.31,--,383.92%,375.14%,-2.61%,-2.61%
10/31/2018,49.6,--,396.86%,387.85%,8.83%,8.83%
,,,,,,
9/28/2018,45.58,--,356.56%,348.27%,-11.80%,-11.80%
8/31/2018,51.67,--,417.63%,408.23%,5.99%,5.99%
7/31/2018,48.75,--,388.38%,379.52%,-13.46%,-13.46%
,,,,,,
6/29/2018,56.34,--,464.36%,454.12%,1.08%,1.08%
5/31/2018,55.74,--,458.36%,448.23%,-12.99%,-12.99%
4/30/2018,64.06,--,541.73%,530.09%,9.01%,9.01%
,,,,,,
3/30/2018,58.77,--,488.69%,478.01%,15.40%,15.40%
2/28/2018,50.93,--,410.15%,400.89%,9.59%,9.59%
1/31/2018,46.47,--,365.52%,357.07%,5.64%,5.64%
,,,,,,
12/29/2017,43.99,--,340.68%,332.69%,-7.56%,-7.56%
11/30/2017,47.59,--,376.74%,368.09%,-1.30%,-1.30%
10/31/2017,48.22,--,383.04%,374.28%,2.60%,2.60%
,,,,,,
9/29/2017,47,--,370.82%,362.28%,6.16%,6.16%
8/31/2017,44.27,--,343.49%,335.44%,-6.52%,-6.52%
7/31/2017,47.36,--,374.42%,365.81%,6.28%,6.28%
,,,,,,
6/30/2017,44.56,--,346.37%,338.27%,-6.38%,-6.38%
5/31/2017,47.6,--,376.78%,368.13%,11.33%,11.33%
4/28/2017,42.75,--,328.24%,320.47%,-12.86%,-12.86%
,,,,,,
