BCOMKCTR Index Settings Total Return Analysis,,,,,,
Range01/31/1973 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 599 Month Holding Period Chart,,,,,,
Bloomberg Coffee Subindex Total Return Max Cuml Total Return 3610.0994% On 05/30/1997,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,22.97,--,169.17%,176.77%,-1.18%,-1.18%
11/30/2022,23.25,--,172.38%,180.07%,-2.34%,-2.34%
10/31/2022,23.8,--,178.89%,186.76%,-19.54%,-19.54%
,,,,,,
9/30/2022,29.58,--,246.61%,256.40%,-5.58%,-5.58%
8/31/2022,31.33,--,267.10%,277.46%,10.54%,10.54%
7/29/2022,28.34,--,232.08%,241.46%,-5.44%,-5.44%
,,,,,,
6/30/2022,29.97,--,251.20%,261.11%,-0.42%,-0.42%
5/31/2022,30.1,--,252.67%,262.63%,4.21%,4.21%
4/29/2022,28.88,--,238.43%,247.98%,-1.83%,-1.83%
,,,,,,
3/31/2022,29.42,--,244.74%,254.47%,-2.75%,-2.75%
2/28/2022,30.26,--,254.50%,264.51%,-1.04%,-1.04%
1/31/2022,30.57,--,258.23%,268.35%,3.99%,3.99%
,,,,,,
12/31/2021,29.4,--,244.48%,254.21%,-2.66%,-2.66%
11/30/2021,30.21,--,253.91%,263.90%,12.42%,12.42%
10/29/2021,26.87,--,214.80%,223.69%,5.13%,5.13%
,,,,,,
9/30/2021,25.56,--,199.43%,207.89%,-0.97%,-0.97%
8/31/2021,25.81,--,202.36%,210.90%,7.28%,7.28%
7/30/2021,24.05,--,181.83%,189.79%,12.40%,12.40%
,,,,,,
6/30/2021,21.4,--,150.74%,157.82%,-2.89%,-2.89%
5/31/2021,22.04,--,158.21%,165.50%,14.78%,14.78%
4/30/2021,19.2,--,124.97%,131.32%,12.87%,12.87%
,,,,,,
3/31/2021,17.01,--,99.32%,104.95%,-10.18%,-10.18%
2/26/2021,18.94,--,121.91%,128.18%,10.00%,10.00%
1/29/2021,17.22,--,101.73%,107.43%,-4.13%,-4.13%
,,,,,,
12/31/2020,17.96,--,110.42%,116.36%,4.02%,4.02%
11/30/2020,17.26,--,102.28%,107.99%,15.22%,15.22%
10/30/2020,14.98,--,75.57%,80.53%,-5.90%,-5.90%
,,,,,,
9/30/2020,15.92,--,86.57%,91.84%,-14.02%,-14.02%
8/31/2020,18.52,--,116.98%,123.11%,6.34%,6.34%
7/31/2020,17.41,--,104.04%,109.80%,17.79%,17.79%
,,,,,,
6/30/2020,14.79,--,73.23%,78.12%,3.01%,3.01%
5/29/2020,14.35,--,68.17%,72.92%,-9.40%,-9.40%
4/30/2020,15.84,--,85.62%,90.86%,-11.87%,-11.87%
,,,,,,
3/31/2020,17.98,--,110.62%,116.57%,7.42%,7.42%
2/28/2020,16.74,--,96.08%,101.62%,6.42%,6.42%
1/31/2020,15.73,--,84.25%,89.45%,-20.75%,-20.75%
,,,,,,
12/31/2019,19.84,--,132.49%,139.05%,9.09%,9.09%
11/29/2019,18.19,--,113.11%,119.13%,13.37%,13.37%
10/31/2019,16.04,--,87.98%,93.29%,0.94%,0.94%
,,,,,,
9/30/2019,15.89,--,86.23%,91.49%,4.61%,4.61%
8/30/2019,15.19,--,78.02%,83.05%,-6.00%,-6.00%
7/31/2019,16.16,--,89.38%,94.72%,-8.78%,-8.78%
,,,,,,
6/28/2019,17.72,--,107.59%,113.46%,2.22%,2.22%
5/31/2019,17.33,--,103.09%,108.83%,12.52%,12.52%
4/30/2019,15.41,--,80.50%,85.59%,-3.81%,-3.81%
,,,,,,
3/29/2019,16.02,--,87.64%,92.94%,-3.82%,-3.82%
2/28/2019,16.65,--,95.10%,100.61%,-9.64%,-9.64%
