BCOMCNTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Corn Subindex Total Return Max Cuml Total Return 455.7203% On 05/31/1996,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,29.79,--,9.20%,9.66%,2.09%,2.09%
11/30/2022,29.18,--,6.97%,7.41%,-4.05%,-4.05%
10/31/2022,30.41,--,11.48%,11.95%,2.39%,2.39%
,,,,,,
9/30/2022,29.7,--,8.88%,9.34%,1.30%,1.30%
8/31/2022,29.32,--,7.48%,7.93%,9.32%,9.32%
7/29/2022,26.82,--,-1.68%,-1.27%,-1.82%,-1.82%
,,,,,,
6/30/2022,27.32,--,0.14%,0.56%,-12.08%,-12.08%
5/31/2022,31.07,--,13.90%,14.37%,-7.29%,-7.29%
4/29/2022,33.52,--,22.86%,23.37%,9.58%,9.58%
,,,,,,
3/31/2022,30.59,--,12.11%,12.58%,8.44%,8.44%
2/28/2022,28.21,--,3.39%,3.82%,10.33%,10.33%
1/31/2022,25.57,--,-6.29%,-5.90%,5.53%,5.53%
,,,,,,
12/31/2021,24.23,--,-11.20%,-10.83%,4.54%,4.54%
11/30/2021,23.17,--,-15.06%,-14.70%,-1.75%,-1.75%
10/29/2021,23.59,--,-13.55%,-13.18%,5.87%,5.87%
,,,,,,
9/30/2021,22.28,--,-18.34%,-18.00%,0.47%,0.47%
8/31/2021,22.17,--,-18.72%,-18.38%,-2.96%,-2.96%
7/30/2021,22.85,--,-16.24%,-15.89%,-8.72%,-8.72%
,,,,,,
6/30/2021,25.03,--,-8.25%,-7.86%,-0.51%,-0.51%
5/31/2021,25.16,--,-7.78%,-7.39%,-2.45%,-2.45%
4/30/2021,25.79,--,-5.46%,-5.06%,22.41%,22.41%
,,,,,,
3/31/2021,21.07,--,-22.77%,-22.44%,3.06%,3.06%
2/26/2021,20.44,--,-25.06%,-24.75%,0.38%,0.38%
1/29/2021,20.37,--,-25.34%,-25.03%,13.02%,13.02%
,,,,,,
12/31/2020,18.02,--,-33.95%,-33.67%,13.62%,13.62%
11/30/2020,15.86,--,-41.87%,-41.62%,4.76%,4.76%
10/30/2020,15.14,--,-44.51%,-44.27%,5.15%,5.15%
,,,,,,
9/30/2020,14.4,--,-47.23%,-47.00%,5.95%,5.95%
8/31/2020,13.59,--,-50.19%,-49.98%,8.80%,8.80%
7/31/2020,12.49,--,-54.22%,-54.03%,-7.46%,-7.46%
,,,,,,
6/30/2020,13.5,--,-50.53%,-50.32%,3.28%,3.28%
5/29/2020,13.07,--,-52.10%,-51.90%,1.81%,1.81%
4/30/2020,12.84,--,-52.95%,-52.76%,-7.60%,-7.60%
,,,,,,
3/31/2020,13.89,--,-49.08%,-48.87%,-7.42%,-7.42%
2/28/2020,15.01,--,-45.00%,-44.77%,-4.48%,-4.48%
1/31/2020,15.71,--,-42.42%,-42.18%,-1.55%,-1.55%
,,,,,,
12/31/2019,15.96,--,-41.51%,-41.27%,1.84%,1.84%
11/29/2019,15.67,--,-42.57%,-42.33%,-4.36%,-4.36%
10/31/2019,16.38,--,-39.95%,-39.70%,0.66%,0.66%
,,,,,,
9/30/2019,16.27,--,-40.35%,-40.10%,5.11%,5.11%
8/30/2019,15.48,--,-43.25%,-43.01%,-9.48%,-9.48%
7/31/2019,17.1,--,-37.30%,-37.04%,-5.58%,-5.58%
,,,,,,
6/28/2019,18.12,--,-33.60%,-33.32%,-2.16%,-2.16%
5/31/2019,18.52,--,-32.13%,-31.84%,18.03%,18.03%
4/30/2019,15.69,--,-42.50%,-42.25%,-0.49%,-0.49%
,,,,,,
3/29/2019,15.76,--,-42.22%,-41.97%,-3.66%,-3.66%
2/28/2019,16.36,--,-40.02%,-39.77%,-3.38%,-3.38%
1/31/2019,16.94,--,-37.92%,-37.66%,0.61%,0.61%
,,,,,,
12/31/2018,16.83,--,-38.30%,-38.04%,-0.52%,-0.52%
11/30/2018,16.92,--,-37.97%,-37.71%,1.09%,1.09%
10/31/2018,16.74,--,-38.64%,-38.38%,2.17%,2.17%
,,,,,,
9/28/2018,16.38,--,-39.95%,-39.69%,-2.24%,-2.24%
8/31/2018,16.76,--,-38.57%,-38.31%,-5.35%,-5.35%
7/31/2018,17.71,--,-35.10%,-34.82%,3.73%,3.73%
,,,,,,
6/29/2018,17.07,--,-37.43%,-37.17%,-10.78%,-10.78%
5/31/2018,19.13,--,-29.87%,-29.58%,-1.53%,-1.53%
4/30/2018,19.43,--,-28.78%,-28.48%,1.30%,1.30%
,,,,,,
3/30/2018,19.18,--,-29.70%,-29.40%,1.65%,1.65%
2/28/2018,18.87,--,-30.84%,-30.55%,3.64%,3.64%
1/31/2018,18.21,--,-33.27%,-32.99%,3.20%,3.20%
,,,,,,
12/29/2017,17.64,--,-35.34%,-35.06%,-1.30%,-1.30%
11/30/2017,17.87,--,-34.48%,-34.21%,-0.77%,-0.77%
10/31/2017,18.01,--,-33.97%,-33.70%,-2.58%,-2.58%
,,,,,,
9/29/2017,18.49,--,-32.22%,-31.94%,-0.62%,-0.62%
8/31/2017,18.6,--,-31.80%,-31.52%,-6.99%,-6.99%
7/31/2017,20,--,-26.68%,-26.37%,-2.60%,-2.60%
,,,,,,
6/30/2017,20.54,--,-24.72%,-24.41%,0.49%,0.49%
5/31/2017,20.44,--,-25.09%,-24.77%,1.58%,1.58%
4/28/2017,20.12,--,-26.25%,-25.95%,-1.29%,-1.29%
,,,,,,
3/31/2017,20.38,--,-25.29%,-24.98%,-2.48%,-2.48%
2/28/2017,20.9,--,-23.39%,-23.07%,1.86%,1.86%
1/31/2017,20.52,--,-24.80%,-24.48%,2.25%,2.25%
,,,,,,
12/30/2016,20.07,--,-26.45%,-26.14%,1.05%,1.05%
11/30/2016,19.86,--,-27.21%,-26.91%,-4.16%,-4.16%
10/31/2016,20.72,--,-24.05%,-23.74%,5.37%,5.37%
,,,,,,
9/30/2016,19.66,--,-27.93%,-27.63%,6.76%,6.76%
8/31/2016,18.42,--,-32.49%,-32.21%,-8.54%,-8.54%
7/29/2016,20.14,--,-26.19%,-25.88%,-8.46%,-8.46%
,,,,,,
6/30/2016,22,--,-19.37%,-19.03%,-10.52%,-10.52%
5/31/2016,24.58,--,-9.89%,-9.51%,3.34%,3.34%
4/29/2016,23.79,--,-12.80%,-12.44%,10.59%,10.59%
,,,,,,
3/31/2016,21.51,--,-21.15%,-20.82%,-1.51%,-1.51%
2/29/2016,21.84,--,-19.94%,-19.61%,-5.29%,-5.29%
1/29/2016,23.06,--,-15.47%,-15.12%,3.71%,3.71%
,,,,,,
12/31/2015,22.23,--,-18.50%,-18.16%,-3.61%,-3.61%
11/30/2015,23.07,--,-15.45%,-15.10%,-4.81%,-4.81%
10/30/2015,24.23,--,-11.18%,-10.80%,-1.42%,-1.42%
,,,,,,
9/30/2015,24.58,--,-9.90%,-9.52%,3.34%,3.34%
8/31/2015,23.79,--,-12.81%,-12.44%,-1.75%,-1.75%
7/31/2015,24.21,--,-11.25%,-10.88%,-12.08%,-12.08%
,,,,,,
6/30/2015,27.54,--,0.95%,1.37%,17.74%,17.74%
5/29/2015,23.39,--,-14.27%,-13.91%,-4.03%,-4.03%
4/30/2015,24.37,--,-10.67%,-10.29%,-4.61%,-4.61%
,,,,,,
3/31/2015,25.55,--,-6.35%,-5.96%,-4.32%,-4.32%
2/27/2015,26.7,--,-2.12%,-1.71%,4.09%,4.09%
1/30/2015,25.65,--,-5.97%,-5.57%,-6.80%,-6.80%
,,,,,,
12/31/2014,27.52,--,0.89%,1.31%,2.13%,2.13%
11/28/2014,26.95,--,-1.21%,-0.79%,-0.21%,-0.21%
10/31/2014,27.01,--,-1.00%,-0.59%,17.46%,17.46%
,,,,,,
9/30/2014,22.99,--,-15.72%,-15.36%,-12.06%,-12.06%
8/29/2014,26.15,--,-4.16%,-3.75%,-1.00%,-1.00%
7/31/2014,26.41,--,-3.18%,-2.78%,-14.74%,-14.74%
,,,,,,
6/30/2014,30.98,--,13.56%,14.04%,-9.36%,-9.36%
5/30/2014,34.18,--,25.29%,25.81%,-10.26%,-10.26%
4/30/2014,38.09,--,39.61%,40.19%,2.18%,2.18%
,,,,,,
3/31/2014,37.27,--,36.63%,37.20%,8.31%,8.31%
2/28/2014,34.41,--,26.15%,26.68%,5.41%,5.41%
1/31/2014,32.65,--,19.68%,20.18%,2.85%,2.85%
,,,,,,
12/31/2013,31.74,--,16.36%,16.85%,-0.58%,-0.58%
11/29/2013,31.93,--,17.04%,17.54%,-3.43%,-3.43%
10/31/2013,33.06,--,21.20%,21.71%,-3.00%,-3.00%
,,,,,,
9/30/2013,34.09,--,24.94%,25.47%,-8.40%,-8.40%
8/30/2013,37.21,--,36.40%,36.97%,-1.20%,-1.20%
7/31/2013,37.66,--,38.05%,38.63%,-8.81%,-8.81%
,,,,,,
6/28/2013,41.3,--,51.40%,52.03%,-6.70%,-6.70%
5/31/2013,44.27,--,62.28%,62.96%,1.85%,1.85%
4/30/2013,43.47,--,59.33%,60.00%,-4.23%,-4.23%
,,,,,,
3/29/2013,45.38,--,66.36%,67.05%,-1.17%,-1.17%
2/28/2013,45.92,--,68.32%,69.02%,-4.92%,-4.92%
1/31/2013,48.3,--,77.03%,77.77%,6.06%,6.06%
,,,,,,
12/31/2012,45.54,--,66.92%,67.62%,-7.23%,-7.23%
11/30/2012,49.09,--,79.94%,80.69%,-0.77%,-0.77%
10/31/2012,49.47,--,81.33%,82.09%,-0.06%,-0.06%
,,,,,,
9/28/2012,49.5,--,81.43%,82.19%,-5.43%,-5.43%
8/31/2012,52.34,--,91.85%,92.66%,-1.68%,-1.68%
7/31/2012,53.23,--,95.12%,95.94%,28.33%,28.33%
,,,,,,
6/29/2012,41.48,--,52.04%,52.68%,25.41%,25.41%
5/31/2012,33.08,--,21.24%,21.75%,-12.45%,-12.45%
4/30/2012,37.78,--,38.48%,39.06%,-0.17%,-0.17%
,,,,,,
3/30/2012,37.84,--,38.71%,39.29%,-2.12%,-2.12%
2/29/2012,38.66,--,41.71%,42.31%,2.23%,2.23%
1/31/2012,37.82,--,38.63%,39.21%,-1.16%,-1.16%
,,,,,,
12/30/2011,38.26,--,40.25%,40.84%,6.33%,6.33%
11/30/2011,35.98,--,31.90%,32.45%,-7.45%,-7.45%
10/31/2011,38.88,--,42.51%,43.11%,9.20%,9.20%
,,,,,,
9/30/2011,35.6,--,30.51%,31.05%,-22.80%,-22.80%
8/31/2011,46.12,--,69.05%,69.76%,13.58%,13.58%
7/29/2011,40.61,--,48.84%,49.47%,2.70%,2.70%
,,,,,,
6/30/2011,39.54,--,44.93%,45.53%,-10.03%,-10.03%
5/31/2011,43.94,--,61.08%,61.75%,-1.19%,-1.19%
4/29/2011,44.47,--,63.01%,63.69%,8.30%,8.30%
,,,,,,
3/31/2011,41.06,--,50.51%,51.14%,-5.16%,-5.16%
2/28/2011,43.29,--,58.69%,59.36%,9.13%,9.13%
1/31/2011,39.67,--,45.42%,46.03%,4.86%,4.86%
,,,,,,
12/31/2010,37.83,--,38.67%,39.25%,15.64%,15.64%
11/30/2010,32.71,--,19.92%,20.42%,-8.74%,-8.74%
10/29/2010,35.85,--,31.41%,31.96%,17.41%,17.41%
,,,,,,
9/30/2010,30.53,--,11.92%,12.39%,12.88%,12.88%
8/31/2010,27.05,--,-0.85%,-0.43%,7.74%,7.74%
7/30/2010,25.11,--,-7.97%,-7.58%,8.28%,8.28%
,,,,,,
