BCOMCTTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Cotton Subindex Total Return Max Cuml Total Return 7622.1442% On 09/29/1995,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,66.38,--,2257.82%,2240.86%,-1.11%,-1.11%
11/30/2022,67.12,--,2284.31%,2267.16%,20.43%,20.43%
10/31/2022,55.74,--,1879.91%,1865.66%,-15.36%,-15.36%
,,,,,,
9/30/2022,65.85,--,2239.34%,2222.51%,-24.42%,-24.42%
8/31/2022,87.13,--,2995.20%,2972.93%,17.31%,17.31%
7/29/2022,74.28,--,2538.57%,2519.59%,-1.96%,-1.96%
,,,,,,
6/30/2022,75.76,--,2591.20%,2571.84%,-16.82%,-16.82%
5/31/2022,91.07,--,3135.21%,3111.94%,-4.48%,-4.48%
4/29/2022,95.35,--,3287.08%,3262.71%,8.56%,8.56%
,,,,,,
3/31/2022,87.83,--,3020.06%,2997.61%,13.95%,13.95%
2/28/2022,77.08,--,2638.02%,2618.33%,-4.61%,-4.61%
1/31/2022,80.8,--,2770.40%,2749.75%,13.31%,13.31%
,,,,,,
12/31/2021,71.31,--,2433.27%,2415.05%,5.82%,5.82%
11/30/2021,67.39,--,2293.89%,2276.66%,-4.46%,-4.46%
10/29/2021,70.53,--,2405.59%,2387.56%,8.56%,8.56%
,,,,,,
9/30/2021,64.97,--,2208.06%,2191.46%,14.35%,14.35%
8/31/2021,56.82,--,1918.51%,1903.99%,3.52%,3.52%
7/30/2021,54.89,--,1849.91%,1835.88%,5.29%,5.29%
,,,,,,
6/30/2021,52.13,--,1751.89%,1738.57%,2.38%,2.38%
5/31/2021,50.92,--,1708.86%,1695.84%,-6.77%,-6.77%
4/30/2021,54.62,--,1840.12%,1826.16%,7.17%,7.17%
,,,,,,
3/31/2021,50.96,--,1710.39%,1697.37%,-8.95%,-8.95%
2/26/2021,55.97,--,1888.29%,1873.98%,8.43%,8.43%
1/29/2021,51.62,--,1733.65%,1720.46%,3.23%,3.23%
,,,,,,
12/31/2020,50,--,1676.22%,1663.44%,8.28%,8.28%
11/30/2020,46.18,--,1540.36%,1528.56%,1.98%,1.98%
10/30/2020,45.28,--,1508.59%,1497.01%,4.77%,4.77%
,,,,,,
9/30/2020,43.22,--,1435.41%,1424.36%,0.98%,0.98%
8/31/2020,42.81,--,1420.57%,1409.63%,4.00%,4.00%
7/31/2020,41.16,--,1362.10%,1351.58%,2.94%,2.94%
,,,,,,
6/30/2020,39.99,--,1320.40%,1310.18%,6.59%,6.59%
5/29/2020,37.51,--,1232.55%,1222.97%,0.46%,0.46%
4/30/2020,37.34,--,1226.40%,1216.86%,11.56%,11.56%
,,,,,,
3/31/2020,33.47,--,1088.92%,1080.37%,-16.81%,-16.81%
2/28/2020,40.23,--,1329.13%,1318.85%,-9.59%,-9.59%
1/31/2020,44.5,--,1480.66%,1469.29%,-2.12%,-2.12%
,,,,,,
12/31/2019,45.46,--,1514.82%,1503.21%,5.79%,5.79%
11/29/2019,42.97,--,1426.43%,1415.45%,-1.18%,-1.18%
10/31/2019,43.48,--,1444.64%,1433.53%,6.09%,6.09%
,,,,,,
9/30/2019,40.99,--,1355.98%,1345.51%,3.57%,3.57%
8/30/2019,39.57,--,1305.77%,1295.66%,-7.69%,-7.69%
7/31/2019,42.87,--,1422.96%,1412.01%,-3.20%,-3.20%
,,,,,,
6/28/2019,44.29,--,1473.33%,1462.01%,-2.02%,-2.02%
5/31/2019,45.2,--,1505.72%,1494.17%,-11.15%,-11.15%
4/30/2019,50.87,--,1707.21%,1694.21%,-1.47%,-1.47%
,,,,,,
3/29/2019,51.63,--,1734.10%,1720.90%,6.79%,6.79%
2/28/2019,48.35,--,1617.56%,1605.21%,-3.66%,-3.66%
1/31/2019,50.19,--,1682.75%,1669.92%,3.26%,3.26%
,,,,,,
12/31/2018,48.6,--,1626.43%,1614.01%,-8.31%,-8.31%
11/30/2018,53.01,--,1782.99%,1769.44%,0.64%,0.64%
10/31/2018,52.67,--,1770.95%,1757.49%,0.85%,0.85%
,,,,,,
9/28/2018,52.23,--,1755.21%,1741.86%,-6.96%,-6.96%
8/31/2018,56.13,--,1894.02%,1879.68%,-8.07%,-8.07%
7/31/2018,61.06,--,2068.95%,2053.35%,6.94%,6.94%
,,,,,,
6/29/2018,57.09,--,1928.16%,1913.56%,-7.91%,-7.91%
5/31/2018,62,--,2102.42%,2086.58%,11.28%,11.28%
4/30/2018,55.71,--,1879.13%,1864.89%,3.58%,3.58%
,,,,,,
3/30/2018,53.79,--,1810.81%,1797.06%,-1.64%,-1.64%
2/28/2018,54.69,--,1842.62%,1828.64%,5.98%,5.98%
1/31/2018,51.6,--,1732.92%,1719.74%,-1.59%,-1.59%
,,,,,,
12/29/2017,52.43,--,1762.48%,1749.08%,8.11%,8.11%
11/30/2017,48.5,--,1622.77%,1610.38%,6.27%,6.27%
10/31/2017,45.64,--,1521.09%,1509.43%,-0.01%,-0.01%
,,,,,,
9/29/2017,45.64,--,1521.19%,1509.53%,-3.42%,-3.42%
8/31/2017,47.25,--,1578.53%,1566.45%,3.10%,3.10%
7/31/2017,45.83,--,1528.10%,1516.39%,0.49%,0.49%
,,,,,,
6/30/2017,45.61,--,1520.22%,1508.56%,-7.12%,-7.12%
5/31/2017,49.11,--,1644.37%,1631.82%,-2.32%,-2.32%
4/28/2017,50.27,--,1685.74%,1672.89%,0.04%,0.04%
,,,,,,
3/31/2017,50.25,--,1685.05%,1672.21%,1.36%,1.36%
