BCOMFCT Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Feeder Cattle Subindex Total Return Max Cuml Total Return 301.6952% On 11/28/2014,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,247.47,--,142.28%,147.28%,2.64%,2.64%
11/30/2022,241.11,--,136.05%,140.93%,0.92%,0.92%
10/31/2022,238.91,--,133.90%,138.73%,2.47%,2.47%
,,,,,,
9/30/2022,233.15,--,128.26%,132.97%,-5.34%,-5.34%
8/31/2022,246.3,--,141.14%,146.12%,0.10%,0.10%
7/29/2022,246.05,--,140.89%,145.86%,3.20%,3.20%
,,,,,,
6/30/2022,238.41,--,133.41%,138.23%,5.26%,5.26%
5/31/2022,226.5,--,121.75%,126.32%,-1.79%,-1.79%
4/29/2022,230.62,--,125.78%,130.44%,-6.80%,-6.80%
,,,,,,
3/31/2022,247.43,--,142.25%,147.25%,-0.71%,-0.71%
2/28/2022,249.2,--,143.97%,149.01%,-2.31%,-2.31%
1/31/2022,255.09,--,149.74%,154.90%,-4.06%,-4.06%
,,,,,,
12/31/2021,265.89,--,160.32%,165.69%,2.19%,2.19%
11/30/2021,260.19,--,154.74%,160.00%,5.59%,5.59%
10/29/2021,246.41,--,141.25%,146.23%,1.27%,1.27%
,,,,,,
9/30/2021,243.32,--,138.22%,143.14%,-9.26%,-9.26%
8/31/2021,268.14,--,162.52%,167.94%,2.26%,2.26%
7/30/2021,262.22,--,156.72%,162.02%,3.07%,3.07%
,,,,,,
6/30/2021,254.4,--,149.07%,154.21%,2.17%,2.17%
5/31/2021,249.01,--,143.79%,148.82%,3.14%,3.14%
4/30/2021,241.44,--,136.38%,141.26%,-8.33%,-8.33%
,,,,,,
3/31/2021,263.38,--,157.86%,163.18%,2.98%,2.98%
2/26/2021,255.75,--,150.39%,155.56%,0.79%,0.79%
1/29/2021,253.75,--,148.43%,153.55%,-1.78%,-1.78%
,,,,,,
12/31/2020,258.33,--,152.92%,158.14%,-1.37%,-1.37%
11/30/2020,261.92,--,156.43%,161.72%,5.17%,5.17%
10/30/2020,249.04,--,143.82%,148.85%,-4.39%,-4.39%
,,,,,,
9/30/2020,260.48,--,155.02%,160.28%,0.62%,0.62%
8/31/2020,258.86,--,153.44%,158.67%,-4.10%,-4.10%
7/31/2020,269.93,--,164.27%,169.73%,8.40%,8.40%
,,,,,,
6/30/2020,249.03,--,143.80%,148.84%,-1.83%,-1.83%
5/29/2020,253.68,--,148.36%,153.48%,7.01%,7.01%
4/30/2020,237.07,--,132.10%,136.89%,-4.98%,-4.98%
,,,,,,
3/31/2020,249.5,--,144.27%,149.31%,-7.91%,-7.91%
2/28/2020,270.94,--,165.26%,170.73%,-4.63%,-4.63%
1/31/2020,284.1,--,178.14%,183.88%,-5.53%,-5.53%
,,,,,,
12/31/2019,300.72,--,194.41%,200.49%,1.01%,1.01%
11/29/2019,297.72,--,191.48%,197.50%,-1.54%,-1.54%
10/31/2019,302.36,--,196.02%,202.14%,4.74%,4.74%
,,,,,,
9/30/2019,288.67,--,182.62%,188.45%,7.97%,7.97%
8/30/2019,267.38,--,161.77%,167.17%,-8.09%,-8.09%
7/31/2019,290.91,--,184.81%,190.69%,3.98%,3.98%
,,,,,,
6/28/2019,279.77,--,173.91%,179.56%,2.98%,2.98%
5/31/2019,271.69,--,165.99%,171.48%,-10.56%,-10.56%
4/30/2019,303.77,--,197.40%,203.54%,-4.21%,-4.21%
,,,,,,
3/29/2019,317.11,--,210.46%,216.87%,1.23%,1.23%
2/28/2019,313.25,--,206.68%,213.01%,1.32%,1.32%
1/31/2019,309.17,--,202.69%,208.94%,-2.66%,-2.66%
,,,,,,
12/31/2018,317.61,--,210.96%,217.37%,2.88%,2.88%
11/30/2018,308.73,--,202.26%,208.50%,-3.07%,-3.07%
10/31/2018,318.52,--,211.85%,218.28%,-2.73%,-2.73%
,,,,,,
9/28/2018,327.45,--,220.59%,227.20%,6.47%,6.47%
8/31/2018,307.54,--,201.09%,207.31%,-0.38%,-0.38%
7/31/2018,308.7,--,202.23%,208.47%,-1.00%,-1.00%
,,,,,,
6/29/2018,311.82,--,205.28%,211.58%,2.82%,2.82%
5/31/2018,303.26,--,196.90%,203.03%,0.98%,0.98%
