BCOMGOT Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Gas Oil Subindex Total Return Max Cuml Total Return 1375.8713% On 06/30/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,674.39,--,689.32%,633.13%,-2.46%,-2.46%
11/30/2022,691.41,--,709.24%,651.63%,-5.04%,-5.04%
10/31/2022,728.07,--,752.15%,691.48%,13.87%,13.87%
,,,,,,
9/30/2022,639.36,--,648.32%,595.05%,-9.34%,-9.34%
8/31/2022,705.25,--,725.44%,666.68%,-1.70%,-1.70%
7/29/2022,717.45,--,739.72%,679.94%,-0.99%,-0.99%
,,,,,,
6/30/2022,724.59,--,748.08%,687.70%,-3.34%,-3.34%
5/31/2022,749.64,--,777.39%,714.93%,9.12%,9.12%
4/29/2022,686.99,--,704.07%,646.83%,16.12%,16.12%
,,,,,,
3/31/2022,591.6,--,592.43%,543.13%,21.49%,21.49%
2/28/2022,486.95,--,469.94%,429.36%,11.03%,11.03%
1/31/2022,438.58,--,413.32%,376.78%,18.08%,18.08%
,,,,,,
12/31/2021,371.44,--,334.74%,303.79%,11.80%,11.80%
11/30/2021,332.23,--,288.85%,261.17%,-15.18%,-15.18%
10/29/2021,391.69,--,358.44%,325.80%,5.82%,5.82%
,,,,,,
9/30/2021,370.14,--,333.22%,302.38%,12.78%,12.78%
8/31/2021,328.21,--,284.14%,256.80%,-2.41%,-2.41%
7/30/2021,336.32,--,293.63%,265.61%,2.42%,2.42%
,,,,,,
6/30/2021,328.36,--,284.32%,256.96%,5.26%,5.26%
5/31/2021,311.97,--,265.13%,239.14%,5.78%,5.78%
4/30/2021,294.91,--,245.17%,220.60%,4.88%,4.88%
,,,,,,
3/31/2021,281.2,--,229.12%,205.69%,-4.78%,-4.78%
2/26/2021,295.32,--,245.64%,221.04%,17.58%,17.58%
1/29/2021,251.17,--,193.97%,173.05%,6.42%,6.42%
,,,,,,
12/31/2020,236.02,--,176.24%,156.58%,7.64%,7.64%
11/30/2020,219.27,--,156.64%,138.37%,25.51%,25.51%
10/30/2020,174.7,--,104.48%,89.92%,-8.98%,-8.98%
,,,,,,
9/30/2020,191.93,--,124.64%,108.65%,-10.75%,-10.75%
8/31/2020,215.06,--,151.71%,133.79%,-0.67%,-0.67%
7/31/2020,216.52,--,153.42%,135.38%,2.38%,2.38%
,,,,,,
6/30/2020,211.48,--,147.53%,129.90%,16.84%,16.84%
5/29/2020,181,--,111.85%,96.77%,9.38%,9.38%
