BCOMGCTR Index Settings Total Return Analysis,,,,,,
Range01/31/1975 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 575 Month Holding Period Chart,,,,,,
Bloomberg Gold Subindex Total Return Max Cuml Total Return 847.1100% On 07/31/2020,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,426.74,--,768.86%,756.08%,4.14%,4.14%
11/30/2022,409.77,--,734.32%,722.04%,6.77%,6.77%
10/31/2022,383.79,--,681.43%,669.93%,-1.56%,-1.56%
,,,,,,
9/30/2022,389.89,--,693.84%,682.16%,-2.89%,-2.89%
8/31/2022,401.49,--,717.45%,705.43%,-2.89%,-2.89%
7/29/2022,413.42,--,741.76%,729.37%,-2.34%,-2.34%
,,,,,,
6/30/2022,423.33,--,761.92%,749.25%,-2.10%,-2.10%
5/31/2022,432.43,--,780.45%,767.50%,-3.61%,-3.61%
4/29/2022,448.61,--,813.39%,799.95%,-2.10%,-2.10%
,,,,,,
3/31/2022,458.25,--,833.02%,819.30%,2.65%,2.65%
2/28/2022,446.41,--,808.92%,795.55%,5.83%,5.83%
1/31/2022,421.81,--,758.82%,746.19%,-1.88%,-1.88%
,,,,,,
12/31/2021,429.91,--,775.32%,762.44%,2.94%,2.94%
11/30/2021,417.64,--,750.33%,737.83%,-0.53%,-0.53%
10/29/2021,419.87,--,754.88%,742.31%,1.53%,1.53%
,,,,,,
9/30/2021,413.52,--,741.96%,729.57%,-3.36%,-3.36%
8/31/2021,427.89,--,771.21%,758.39%,0.05%,0.05%
7/30/2021,427.66,--,770.73%,757.93%,2.35%,2.35%
,,,,,,
6/30/2021,417.84,--,750.74%,738.23%,-7.01%,-7.01%
5/31/2021,449.36,--,814.92%,801.47%,7.66%,7.66%
4/30/2021,417.38,--,749.81%,737.31%,3.04%,3.04%
,,,,,,
3/31/2021,405.07,--,724.75%,712.62%,-0.92%,-0.92%
2/26/2021,408.85,--,732.44%,720.19%,-6.56%,-6.56%
1/29/2021,437.56,--,790.91%,777.80%,-2.57%,-2.57%
,,,,,,
12/31/2020,449.11,--,814.42%,800.97%,6.42%,6.42%
11/30/2020,422.02,--,759.25%,746.61%,-5.60%,-5.60%
10/30/2020,447.03,--,810.18%,796.79%,-0.81%,-0.81%
,,,,,,
9/30/2020,450.7,--,817.66%,804.16%,-4.19%,-4.19%
8/31/2020,470.42,--,857.80%,843.71%,-0.36%,-0.36%
7/31/2020,472.11,--,861.25%,847.11%,8.55%,8.55%
,,,,,,
6/30/2020,434.93,--,785.54%,772.51%,2.80%,2.80%
5/29/2020,423.08,--,761.42%,748.75%,2.72%,2.72%
4/30/2020,411.87,--,738.60%,726.26%,6.13%,6.13%
,,,,,,
3/31/2020,388.1,--,690.19%,678.56%,1.77%,1.77%
2/28/2020,381.37,--,676.48%,665.06%,-1.22%,-1.22%
1/31/2020,386.06,--,686.05%,674.48%,3.97%,3.97%
,,,,,,
12/31/2019,371.33,--,656.04%,644.92%,3.56%,3.56%
11/29/2019,358.55,--,630.02%,619.28%,-3.12%,-3.12%
10/31/2019,370.08,--,653.50%,642.42%,2.99%,2.99%
,,,,,,
9/30/2019,359.32,--,631.59%,620.83%,-3.53%,-3.53%
8/30/2019,372.48,--,658.39%,647.23%,6.55%,6.55%
7/31/2019,349.6,--,611.80%,601.33%,1.01%,1.01%
,,,,,,
6/28/2019,346.1,--,604.67%,594.31%,8.01%,8.01%
5/31/2019,320.42,--,552.40%,542.81%,1.71%,1.71%
4/30/2019,315.03,--,541.42%,531.98%,-0.77%,-0.77%
,,,,,,
3/29/2019,317.49,--,546.42%,536.92%,-1.64%,-1.64%
2/28/2019,322.79,--,557.22%,547.55%,-0.50%,-0.50%
1/31/2019,324.42,--,560.53%,550.81%,3.12%,3.12%
,,,,,,
12/31/2018,314.62,--,540.57%,531.15%,4.73%,4.73%
11/30/2018,300.42,--,511.67%,502.68%,0.61%,0.61%
10/31/2018,298.61,--,507.99%,499.05%,1.78%,1.78%
,,,,,,
9/28/2018,293.39,--,497.35%,488.57%,-0.71%,-0.71%
8/31/2018,295.48,--,501.60%,492.75%,-2.01%,-2.01%
7/31/2018,301.53,--,513.94%,504.91%,-2.37%,-2.37%
,,,,,,
6/29/2018,308.84,--,528.82%,519.57%,-3.70%,-3.70%
5/31/2018,320.71,--,552.97%,543.37%,-1.41%,-1.41%
4/30/2018,325.3,--,562.32%,552.58%,-0.45%,-0.45%
,,,,,,
3/30/2018,326.78,--,565.34%,555.56%,0.41%,0.41%
2/28/2018,325.46,--,562.66%,552.91%,-1.76%,-1.76%
1/31/2018,331.28,--,574.51%,564.59%,2.34%,2.34%
,,,,,,
12/29/2017,323.7,--,559.07%,549.37%,2.66%,2.66%
11/30/2017,315.3,--,541.97%,532.53%,0.25%,0.25%
10/31/2017,314.51,--,540.36%,530.94%,-1.02%,-1.02%
,,,,,,
9/29/2017,317.74,--,546.94%,537.42%,-2.75%,-2.75%
8/31/2017,326.72,--,565.22%,555.43%,3.92%,3.92%
7/31/2017,314.38,--,540.10%,530.68%,2.00%,2.00%
,,,,,,
6/30/2017,308.21,--,527.53%,518.30%,-2.51%,-2.51%
5/31/2017,316.16,--,543.72%,534.25%,0.35%,0.35%
4/28/2017,315.04,--,541.45%,532.01%,1.43%,1.43%
,,,,,,
3/31/2017,310.6,--,532.40%,523.10%,-0.43%,-0.43%
2/28/2017,311.95,--,535.15%,525.81%,3.55%,3.55%
1/31/2017,301.25,--,513.37%,504.35%,4.97%,4.97%
,,,,,,
12/30/2016,287,--,484.35%,475.75%,-1.85%,-1.85%
11/30/2016,292.41,--,495.36%,486.60%,-8.01%,-8.01%
10/31/2016,317.88,--,547.21%,537.69%,-3.31%,-3.31%
,,,,,,
9/30/2016,328.77,--,569.39%,559.55%,0.46%,0.46%
8/31/2016,327.26,--,566.31%,556.51%,-3.37%,-3.37%
7/29/2016,338.67,--,589.54%,579.40%,2.25%,2.25%
,,,,,,
6/30/2016,331.21,--,574.36%,564.44%,8.49%,8.49%
5/31/2016,305.28,--,521.56%,512.42%,-5.82%,-5.82%
4/29/2016,324.13,--,559.94%,550.24%,4.46%,4.46%
,,,,,,
3/31/2016,310.28,--,531.75%,522.45%,0.03%,0.03%
2/29/2016,310.18,--,531.55%,522.26%,10.60%,10.60%
1/29/2016,280.45,--,471.02%,462.62%,5.29%,5.29%
,,,,,,
12/31/2015,266.36,--,442.33%,434.35%,-0.46%,-0.46%
11/30/2015,267.59,--,444.82%,436.81%,-6.73%,-6.73%
10/30/2015,286.88,--,484.11%,475.52%,2.35%,2.35%
,,,,,,
9/30/2015,280.29,--,470.70%,462.30%,-1.52%,-1.52%
8/31/2015,284.63,--,479.52%,471.00%,3.42%,3.42%
7/31/2015,275.21,--,460.34%,452.10%,-6.73%,-6.73%
,,,,,,
6/30/2015,295.06,--,500.76%,491.92%,-1.51%,-1.51%
5/29/2015,299.59,--,509.98%,501.01%,0.54%,0.54%
4/30/2015,297.98,--,506.71%,497.78%,-0.07%,-0.07%
,,,,,,
3/31/2015,298.18,--,507.10%,498.17%,-2.55%,-2.55%
2/27/2015,305.98,--,522.99%,513.83%,-5.17%,-5.17%
1/30/2015,322.65,--,556.93%,547.27%,7.96%,7.96%
,,,,,,
12/31/2014,298.87,--,508.51%,499.56%,0.73%,0.73%
11/28/2014,296.69,--,504.08%,495.19%,0.26%,0.26%
10/31/2014,295.92,--,502.51%,493.64%,-3.30%,-3.30%
,,,,,,
9/30/2014,306.02,--,523.07%,513.90%,-5.89%,-5.89%
8/29/2014,325.16,--,562.04%,552.30%,0.36%,0.36%
7/31/2014,323.99,--,559.66%,549.95%,-3.07%,-3.07%
,,,,,,
6/30/2014,334.23,--,580.51%,570.50%,6.10%,6.10%
5/30/2014,315.01,--,541.37%,531.94%,-3.87%,-3.87%
4/30/2014,327.7,--,567.21%,557.40%,0.95%,0.95%
,,,,,,
3/31/2014,324.63,--,560.96%,551.24%,-2.87%,-2.87%
2/28/2014,334.24,--,580.53%,570.52%,6.60%,6.60%
1/31/2014,313.54,--,538.38%,528.99%,3.07%,3.07%
,,,,,,
12/31/2013,304.19,--,519.34%,510.23%,-3.84%,-3.84%
11/29/2013,316.34,--,544.08%,534.60%,-5.61%,-5.61%
10/31/2013,335.14,--,582.37%,572.33%,-0.24%,-0.24%
,,,,,,
9/30/2013,335.97,--,584.04%,573.98%,-4.95%,-4.95%
8/30/2013,353.45,--,619.65%,609.06%,6.33%,6.33%
7/31/2013,332.4,--,576.79%,566.83%,7.12%,7.12%
,,,,,,
6/28/2013,310.32,--,531.83%,522.54%,-12.15%,-12.15%
5/31/2013,353.24,--,619.22%,608.64%,-5.46%,-5.46%
4/30/2013,373.65,--,660.78%,649.59%,-7.74%,-7.74%
,,,,,,
3/29/2013,405,--,724.61%,712.48%,0.99%,0.99%
2/28/2013,401.03,--,716.51%,704.50%,-5.04%,-5.04%
1/31/2013,422.32,--,759.86%,747.22%,-0.95%,-0.95%
,,,,,,
12/31/2012,426.35,--,768.08%,755.31%,-2.15%,-2.15%
11/30/2012,435.71,--,787.14%,774.09%,-0.50%,-0.50%
