BCOMKWT Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Kansas Wheat Subindex Total Return Max Cuml Total Return 305.9606% On 02/29/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,76.25,--,-24.85%,-23.18%,-0.95%,-0.95%
11/30/2022,76.98,--,-24.13%,-22.44%,-7.38%,-7.38%
10/31/2022,83.11,--,-18.09%,-16.27%,-0.98%,-0.98%
,,,,,,
9/30/2022,83.93,--,-17.28%,-15.44%,8.94%,8.94%
8/31/2022,77.05,--,-24.06%,-22.38%,3.91%,3.91%
7/29/2022,74.15,--,-26.92%,-25.30%,-7.96%,-7.96%
,,,,,,
6/30/2022,80.56,--,-20.60%,-18.84%,-18.73%,-18.73%
5/31/2022,99.13,--,-2.30%,-0.14%,5.50%,5.50%
4/29/2022,93.96,--,-7.39%,-5.34%,7.10%,7.10%
,,,,,,
3/31/2022,87.73,--,-13.53%,-11.61%,8.09%,8.09%
2/28/2022,81.16,--,-20.01%,-18.23%,21.57%,21.57%
1/31/2022,66.76,--,-34.20%,-32.74%,-2.52%,-2.52%
,,,,,,
12/31/2021,68.48,--,-32.50%,-31.01%,-2.52%,-2.52%
11/30/2021,70.25,--,-30.76%,-29.22%,4.14%,4.14%
10/29/2021,67.46,--,-33.51%,-32.04%,7.38%,7.38%
,,,,,,
9/30/2021,62.82,--,-38.08%,-36.71%,2.78%,2.78%
8/31/2021,61.12,--,-39.76%,-38.42%,4.03%,4.03%
7/30/2021,58.75,--,-42.09%,-40.81%,2.17%,2.17%
,,,,,,
6/30/2021,57.51,--,-43.32%,-42.06%,6.14%,6.14%
5/31/2021,54.18,--,-46.60%,-45.42%,-12.83%,-12.83%
4/30/2021,62.15,--,-38.74%,-37.38%,20.60%,20.60%
,,,,,,
3/31/2021,51.54,--,-49.21%,-48.08%,-9.15%,-9.15%
2/26/2021,56.73,--,-44.09%,-42.85%,-1.50%,-1.50%
1/29/2021,57.59,--,-43.24%,-41.98%,5.72%,5.72%
,,,,,,
12/31/2020,54.47,--,-46.31%,-45.12%,10.34%,10.34%
11/30/2020,49.37,--,-51.34%,-50.26%,-0.38%,-0.38%
10/30/2020,49.56,--,-51.16%,-50.07%,6.19%,6.19%
,,,,,,
9/30/2020,46.67,--,-54.00%,-52.98%,7.27%,7.27%
8/31/2020,43.51,--,-57.12%,-56.17%,4.53%,4.53%
7/31/2020,41.62,--,-58.98%,-58.07%,0.64%,0.64%
,,,,,,
6/30/2020,41.36,--,-59.24%,-58.33%,-8.20%,-8.20%
5/29/2020,45.05,--,-55.60%,-54.61%,-3.58%,-3.58%
4/30/2020,46.72,--,-53.95%,-52.93%,-2.41%,-2.41%
,,,,,,
3/31/2020,47.88,--,-52.81%,-51.77%,8.82%,8.82%
2/28/2020,44,--,-56.64%,-55.68%,-3.78%,-3.78%
1/31/2020,45.73,--,-54.93%,-53.93%,-4.09%,-4.09%
,,,,,,
12/31/2019,47.68,--,-53.01%,-51.97%,8.87%,8.87%
11/29/2019,43.79,--,-56.84%,-55.88%,4.65%,4.65%
10/31/2019,41.85,--,-58.76%,-57.84%,1.29%,1.29%
,,,,,,
9/30/2019,41.31,--,-59.28%,-58.38%,4.64%,4.64%
8/30/2019,39.48,--,-61.09%,-60.23%,-9.63%,-9.63%
7/31/2019,43.69,--,-56.94%,-55.99%,-8.22%,-8.22%
,,,,,,
6/28/2019,47.6,--,-53.09%,-52.05%,-4.94%,-4.94%
5/31/2019,50.07,--,-50.65%,-49.55%,20.29%,20.29%
4/30/2019,41.63,--,-58.97%,-58.06%,-9.66%,-9.66%
,,,,,,
3/29/2019,46.08,--,-54.59%,-53.58%,-3.07%,-3.07%
2/28/2019,47.54,--,-53.15%,-52.11%,-11.89%,-11.89%
1/31/2019,53.95,--,-46.83%,-45.65%,2.31%,2.31%
,,,,,,
12/31/2018,52.73,--,-48.03%,-46.88%,-2.10%,-2.10%
11/30/2018,53.86,--,-46.92%,-45.74%,-2.74%,-2.74%
10/31/2018,55.38,--,-45.42%,-44.21%,-3.32%,-3.32%
,,,,,,
9/28/2018,57.28,--,-43.55%,-42.29%,-7.44%,-7.44%
8/31/2018,61.88,--,-39.01%,-37.66%,-4.81%,-4.81%
7/31/2018,65.01,--,-35.93%,-34.50%,14.12%,14.12%
,,,,,,
6/29/2018,56.97,--,-43.85%,-42.61%,-12.44%,-12.44%
5/31/2018,65.07,--,-35.87%,-34.45%,1.09%,1.09%
4/30/2018,64.36,--,-36.57%,-35.16%,11.16%,11.16%
,,,,,,
3/30/2018,57.9,--,-42.93%,-41.67%,-10.41%,-10.41%
2/28/2018,64.63,--,-36.31%,-34.89%,8.49%,8.49%
1/31/2018,59.57,--,-41.29%,-39.99%,9.51%,9.51%
,,,,,,
12/29/2017,54.4,--,-46.39%,-45.19%,-0.88%,-0.88%
11/30/2017,54.88,--,-45.91%,-44.71%,-0.26%,-0.26%
10/31/2017,55.03,--,-45.77%,-44.56%,-5.84%,-5.84%
,,,,,,
9/29/2017,58.44,--,-42.41%,-41.13%,1.57%,1.57%
8/31/2017,57.53,--,-43.30%,-42.04%,-13.27%,-13.27%
7/31/2017,66.33,--,-34.63%,-33.18%,-10.26%,-10.26%
,,,,,,
6/30/2017,73.91,--,-27.16%,-25.54%,18.19%,18.19%
5/31/2017,62.54,--,-38.36%,-37.00%,-1.18%,-1.18%
4/28/2017,63.28,--,-37.63%,-36.25%,1.11%,1.11%
,,,,,,
3/31/2017,62.59,--,-38.32%,-36.95%,-9.22%,-9.22%
2/28/2017,68.95,--,-32.05%,-30.54%,5.01%,5.01%
1/31/2017,65.66,--,-35.29%,-33.85%,2.68%,2.68%
,,,,,,
12/30/2016,63.95,--,-36.98%,-35.58%,2.05%,2.05%
11/30/2016,62.66,--,-38.25%,-36.87%,-5.11%,-5.11%
10/31/2016,66.03,--,-34.92%,-33.48%,-0.15%,-0.15%
,,,,,,
9/30/2016,66.13,--,-34.82%,-33.37%,4.56%,4.56%
8/31/2016,63.25,--,-37.66%,-36.28%,-8.65%,-8.65%
7/29/2016,69.24,--,-31.76%,-30.24%,-2.99%,-2.99%
,,,,,,
