BCOMPBTR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Lead Subindex Total Return Max Cuml Total Return 709.6169% On 10/31/2007,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,457.05,--,387.48%,357.05%,5.76%,5.76%
11/30/2022,432.16,--,360.93%,332.16%,11.28%,11.28%
10/31/2022,388.35,--,314.20%,288.35%,5.08%,5.08%
,,,,,,
9/30/2022,369.58,--,294.18%,269.58%,-1.72%,-1.72%
8/31/2022,376.04,--,301.08%,276.04%,-3.76%,-3.76%
7/29/2022,390.75,--,316.76%,290.75%,7.21%,7.21%
,,,,,,
6/30/2022,364.49,--,288.75%,264.49%,-12.56%,-12.56%
5/31/2022,416.83,--,344.58%,316.83%,-3.32%,-3.32%
4/29/2022,431.14,--,359.84%,331.14%,-6.52%,-6.52%
,,,,,,
3/31/2022,461.23,--,391.94%,361.23%,1.39%,1.39%
2/28/2022,454.92,--,385.21%,354.92%,6.62%,6.62%
1/31/2022,426.68,--,355.09%,326.69%,-2.61%,-2.61%
,,,,,,
12/31/2021,438.14,--,367.31%,338.14%,2.06%,2.06%
11/30/2021,429.31,--,357.89%,329.31%,-4.34%,-4.34%
10/29/2021,448.8,--,378.68%,348.80%,15.23%,15.23%
,,,,,,
9/30/2021,389.48,--,315.41%,289.48%,-7.16%,-7.16%
8/31/2021,419.5,--,347.43%,319.50%,-5.00%,-5.00%
7/30/2021,441.59,--,370.99%,341.59%,5.41%,5.41%
,,,,,,
6/30/2021,418.93,--,346.82%,318.93%,3.32%,3.32%
5/31/2021,405.47,--,332.46%,305.47%,1.48%,1.48%
4/30/2021,399.57,--,326.17%,299.57%,8.92%,8.92%
,,,,,,
3/31/2021,366.86,--,291.28%,266.86%,-4.21%,-4.21%
2/26/2021,382.99,--,308.49%,282.99%,1.17%,1.17%
1/29/2021,378.56,--,303.77%,278.56%,1.47%,1.47%
,,,,,,
12/31/2020,373.07,--,297.90%,273.07%,-4.07%,-4.07%
11/30/2020,388.88,--,314.77%,288.88%,13.72%,13.72%
10/30/2020,341.96,--,264.72%,241.96%,-0.27%,-0.27%
,,,,,,
9/30/2020,342.88,--,265.71%,242.88%,-7.88%,-7.88%
8/31/2020,372.22,--,297.00%,272.22%,4.56%,4.56%
7/31/2020,355.99,--,279.69%,255.99%,5.67%,5.67%
,,,,,,
6/30/2020,336.91,--,259.34%,236.91%,5.72%,5.72%
5/29/2020,318.68,--,239.90%,218.68%,2.15%,2.15%
4/30/2020,311.97,--,232.74%,211.97%,-6.65%,-6.65%
,,,,,,
3/31/2020,334.2,--,256.45%,234.20%,-5.71%,-5.71%
2/28/2020,354.45,--,278.04%,254.45%,-1.77%,-1.77%
1/31/2020,360.84,--,284.87%,260.84%,-2.33%,-2.33%
,,,,,,
12/31/2019,369.47,--,294.06%,269.47%,-0.44%,-0.44%
11/29/2019,371.1,--,295.81%,271.10%,-10.42%,-10.42%
10/31/2019,414.25,--,341.83%,314.25%,1.31%,1.31%
,,,,,,
9/30/2019,408.91,--,336.13%,308.91%,6.21%,6.21%
8/30/2019,384.99,--,310.62%,284.99%,0.73%,0.73%
7/31/2019,382.2,--,307.65%,282.20%,4.19%,4.19%
,,,,,,
6/28/2019,366.84,--,291.26%,266.84%,7.23%,7.23%
5/31/2019,342.12,--,264.89%,242.12%,-5.91%,-5.91%
4/30/2019,363.62,--,287.83%,263.62%,-4.62%,-4.62%
,,,,,,
3/29/2019,381.25,--,306.63%,281.25%,-6.33%,-6.33%
2/28/2019,407.01,--,334.10%,307.01%,1.89%,1.89%
1/31/2019,399.47,--,326.07%,299.47%,4.64%,4.64%
,,,,,,
12/31/2018,381.74,--,307.16%,281.74%,2.75%,2.75%
11/30/2018,371.51,--,296.24%,271.51%,2.75%,2.75%
10/31/2018,361.57,--,285.64%,261.57%,-5.31%,-5.31%
,,,,,,
9/28/2018,381.85,--,307.27%,281.85%,-1.92%,-1.92%
8/31/2018,389.32,--,315.24%,289.32%,-3.37%,-3.37%
7/31/2018,402.91,--,329.73%,302.91%,-10.51%,-10.51%
,,,,,,
6/29/2018,450.2,--,380.17%,350.20%,-1.85%,-1.85%
5/31/2018,458.67,--,389.21%,358.67%,6.07%,6.07%
4/30/2018,432.44,--,361.23%,332.44%,-3.08%,-3.08%
,,,,,,
3/30/2018,446.2,--,375.90%,346.20%,-4.01%,-4.01%
2/28/2018,464.83,--,395.77%,364.83%,-4.37%,-4.37%
1/31/2018,486.05,--,418.41%,386.05%,5.38%,5.38%
,,,,,,
12/29/2017,461.22,--,391.92%,361.22%,0.72%,0.72%
11/30/2017,457.93,--,388.42%,357.93%,2.53%,2.53%
10/31/2017,446.64,--,376.37%,346.64%,-3.40%,-3.40%
,,,,,,
9/29/2017,462.34,--,393.12%,362.34%,4.30%,4.30%
8/31/2017,443.27,--,372.78%,343.27%,2.35%,2.35%
7/31/2017,433.07,--,361.91%,333.08%,1.48%,1.48%
