BCOMLHTR Index Settings Total Return Analysis,,,,,,
Range01/30/1987 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 431 Month Holding Period Chart,,,,,,
Bloomberg Lean Hogs Subindex Total Return Max Cuml Total Return 248.9211% On 10/29/1993,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,9.55,--,-78.79%,-77.83%,3.12%,3.12%
11/30/2022,9.26,--,-79.44%,-78.50%,-2.95%,-2.95%
10/31/2022,9.55,--,-78.81%,-77.84%,11.76%,11.76%
,,,,,,
9/30/2022,8.54,--,-81.04%,-80.18%,-6.95%,-6.95%
8/31/2022,9.18,--,-79.62%,-78.70%,-5.64%,-5.64%
7/29/2022,9.73,--,-78.41%,-77.42%,11.94%,11.94%
,,,,,,
6/30/2022,8.69,--,-80.71%,-79.83%,-3.52%,-3.52%
5/31/2022,9.01,--,-80.01%,-79.10%,-0.02%,-0.02%
4/29/2022,9.01,--,-80.00%,-79.09%,-11.76%,-11.76%
,,,,,,
3/31/2022,10.21,--,-77.34%,-76.31%,3.37%,3.37%
2/28/2022,9.88,--,-78.08%,-77.08%,8.18%,8.18%
1/31/2022,9.13,--,-79.74%,-78.81%,8.01%,8.01%
,,,,,,
12/31/2021,8.45,--,-81.24%,-80.38%,1.88%,1.88%
11/30/2021,8.3,--,-81.58%,-80.75%,0.61%,0.61%
10/29/2021,8.25,--,-81.70%,-80.86%,-10.92%,-10.92%
,,,,,,
9/30/2021,9.26,--,-79.45%,-78.52%,5.04%,5.04%
8/31/2021,8.81,--,-80.44%,-79.55%,0.89%,0.89%
7/30/2021,8.73,--,-80.61%,-79.73%,1.20%,1.20%
,,,,,,
6/30/2021,8.63,--,-80.84%,-79.97%,-11.34%,-11.34%
5/31/2021,9.73,--,-78.39%,-77.41%,8.49%,8.49%
4/30/2021,8.97,--,-80.08%,-79.17%,4.20%,4.20%
,,,,,,
3/31/2021,8.61,--,-80.89%,-80.01%,10.42%,10.42%
2/26/2021,7.8,--,-82.69%,-81.90%,13.70%,13.70%
1/29/2021,6.86,--,-84.78%,-84.08%,1.54%,1.54%
,,,,,,
12/31/2020,6.75,--,-85.01%,-84.32%,2.49%,2.49%
11/30/2020,6.59,--,-85.37%,-84.70%,2.09%,2.09%
10/30/2020,6.46,--,-85.67%,-85.02%,3.93%,3.93%
,,,,,,
9/30/2020,6.21,--,-86.21%,-85.58%,19.62%,19.62%
8/31/2020,5.19,--,-88.47%,-87.95%,8.02%,8.02%
7/31/2020,4.81,--,-89.33%,-88.84%,1.23%,1.23%
,,,,,,
6/30/2020,4.75,--,-89.46%,-88.98%,-19.15%,-19.15%
5/29/2020,5.87,--,-86.96%,-86.37%,-3.66%,-3.66%
4/30/2020,6.1,--,-86.47%,-85.85%,-2.27%,-2.27%
,,,,,,
3/31/2020,6.24,--,-86.15%,-85.52%,-19.94%,-19.94%
2/28/2020,7.79,--,-82.70%,-81.91%,1.22%,1.22%
1/31/2020,7.7,--,-82.91%,-82.13%,-21.95%,-21.95%
,,,,,,
12/31/2019,9.86,--,-78.11%,-77.11%,4.91%,4.91%
11/29/2019,9.4,--,-79.13%,-78.18%,-10.95%,-10.95%
10/31/2019,10.56,--,-76.56%,-75.50%,-8.96%,-8.96%
,,,,,,
9/30/2019,11.6,--,-74.26%,-73.08%,10.81%,10.81%
8/30/2019,10.47,--,-76.77%,-75.71%,-10.38%,-10.38%
7/31/2019,11.68,--,-74.08%,-72.90%,4.00%,4.00%
,,,,,,
6/28/2019,11.23,--,-75.07%,-73.94%,-10.02%,-10.02%
5/31/2019,12.48,--,-72.30%,-71.04%,-4.14%,-4.14%
4/30/2019,13.02,--,-71.10%,-69.78%,-0.15%,-0.15%
,,,,,,
3/29/2019,13.04,--,-71.06%,-69.74%,23.75%,23.75%
2/28/2019,10.54,--,-76.61%,-75.55%,-7.05%,-7.05%
1/31/2019,11.34,--,-74.84%,-73.69%,-7.11%,-7.11%
,,,,,,
12/31/2018,12.2,--,-72.91%,-71.68%,-9.55%,-9.55%
11/30/2018,13.49,--,-70.05%,-68.69%,6.75%,6.75%
10/31/2018,12.64,--,-71.94%,-70.67%,1.11%,1.11%
,,,,,,
9/28/2018,12.5,--,-72.25%,-70.99%,15.12%,15.12%
8/31/2018,10.86,--,-75.90%,-74.80%,-0.42%,-0.42%
7/31/2018,10.9,--,-75.80%,-74.69%,-13.51%,-13.51%
,,,,,,
6/29/2018,12.61,--,-72.02%,-70.74%,2.52%,2.52%
5/31/2018,12.3,--,-72.70%,-71.46%,5.63%,5.63%
4/30/2018,11.64,--,-74.16%,-72.98%,-4.88%,-4.88%
,,,,,,
3/30/2018,12.24,--,-72.83%,-71.59%,-0.64%,-0.64%
2/28/2018,12.32,--,-72.66%,-71.41%,-6.84%,-6.84%
1/31/2018,13.22,--,-70.65%,-69.31%,-3.54%,-3.54%
,,,,,,
12/29/2017,13.71,--,-69.57%,-68.18%,2.98%,2.98%
11/30/2017,13.31,--,-70.45%,-69.10%,-7.76%,-7.76%
10/31/2017,14.43,--,-67.96%,-66.50%,13.54%,13.54%
,,,,,,
9/29/2017,12.71,--,-71.78%,-70.50%,2.40%,2.40%
8/31/2017,12.41,--,-72.45%,-71.19%,-6.92%,-6.92%
7/31/2017,13.34,--,-70.40%,-69.05%,-6.32%,-6.32%
,,,,,,
6/30/2017,14.24,--,-68.40%,-66.96%,2.03%,2.03%
5/31/2017,13.95,--,-69.03%,-67.62%,12.12%,12.12%
4/28/2017,12.44,--,-72.38%,-71.12%,0.27%,0.27%
,,,,,,
3/31/2017,12.41,--,-72.45%,-71.19%,-3.24%,-3.24%
2/28/2017,12.83,--,-71.53%,-70.23%,-2.34%,-2.34%
1/31/2017,13.13,--,-70.84%,-69.52%,-1.51%,-1.51%
,,,,,,
12/30/2016,13.34,--,-70.40%,-69.05%,19.83%,19.83%
11/30/2016,11.13,--,-75.30%,-74.17%,-0.21%,-0.21%
10/31/2016,11.15,--,-75.24%,-74.12%,9.07%,9.07%
,,,,,,
9/30/2016,10.22,--,-77.30%,-76.27%,-22.14%,-22.14%
8/31/2016,13.13,--,-70.85%,-69.52%,6.46%,6.46%
7/29/2016,12.33,--,-72.62%,-71.37%,-17.54%,-17.54%
,,,,,,
6/30/2016,14.96,--,-66.79%,-65.28%,1.49%,1.49%
5/31/2016,14.74,--,-67.28%,-65.79%,-1.15%,-1.15%
4/29/2016,14.91,--,-66.90%,-65.39%,1.07%,1.07%
,,,,,,
3/31/2016,14.75,--,-67.25%,-65.76%,0.00%,0.00%
2/29/2016,14.75,--,-67.25%,-65.76%,-1.00%,-1.00%
1/29/2016,14.9,--,-66.92%,-65.41%,8.46%,8.46%
,,,,,,
12/31/2015,13.74,--,-69.50%,-68.11%,5.30%,5.30%
11/30/2015,13.05,--,-71.04%,-69.72%,-7.67%,-7.67%
10/30/2015,14.13,--,-68.63%,-67.20%,-11.28%,-11.28%
,,,,,,
9/30/2015,15.93,--,-64.65%,-63.03%,5.78%,5.78%
8/31/2015,15.06,--,-66.58%,-65.05%,6.76%,6.76%
7/31/2015,14.1,--,-68.69%,-67.27%,0.45%,0.45%
,,,,,,
6/30/2015,14.04,--,-68.83%,-67.41%,-10.32%,-10.32%
5/29/2015,15.65,--,-65.25%,-63.66%,2.78%,2.78%
4/30/2015,15.23,--,-66.19%,-64.65%,7.42%,7.42%
,,,,,,
3/31/2015,14.18,--,-68.52%,-67.09%,-6.51%,-6.51%
2/27/2015,15.17,--,-66.33%,-64.80%,-6.61%,-6.61%
1/30/2015,16.24,--,-63.95%,-62.31%,-12.65%,-12.65%
,,,,,,
12/31/2014,18.59,--,-58.73%,-56.85%,-7.96%,-7.96%
