BCOMNGTR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Natural Gas Subindex Total Return Max Cuml Total Return 221.1904% On 12/29/2000,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,0.39,--,-99.55%,-99.61%,-33.15%,-33.15%
11/30/2022,0.59,--,-99.32%,-99.41%,5.25%,5.25%
10/31/2022,0.56,--,-99.36%,-99.44%,-9.03%,-9.03%
,,,,,,
9/30/2022,0.62,--,-99.29%,-99.38%,-26.18%,-26.18%
8/31/2022,0.83,--,-99.04%,-99.17%,11.04%,11.04%
7/29/2022,0.75,--,-99.14%,-99.25%,52.89%,52.89%
,,,,,,
6/30/2022,0.49,--,-99.44%,-99.51%,-33.52%,-33.52%
5/31/2022,0.74,--,-99.15%,-99.26%,10.83%,10.83%
4/29/2022,0.67,--,-99.24%,-99.33%,27.55%,27.55%
,,,,,,
3/31/2022,0.52,--,-99.40%,-99.48%,27.71%,27.71%
2/28/2022,0.41,--,-99.53%,-99.59%,-9.45%,-9.45%
1/31/2022,0.45,--,-99.48%,-99.55%,37.01%,37.01%
,,,,,,
12/31/2021,0.33,--,-99.62%,-99.67%,-19.28%,-19.28%
11/30/2021,0.41,--,-99.53%,-99.59%,-17.40%,-17.40%
10/29/2021,0.49,--,-99.43%,-99.51%,-9.81%,-9.81%
,,,,,,
9/30/2021,0.55,--,-99.37%,-99.45%,32.58%,32.58%
8/31/2021,0.41,--,-99.53%,-99.59%,10.79%,10.79%
7/30/2021,0.37,--,-99.57%,-99.63%,8.01%,8.01%
,,,,,,
6/30/2021,0.35,--,-99.60%,-99.65%,21.08%,21.08%
5/31/2021,0.29,--,-99.67%,-99.71%,0.28%,0.28%
4/30/2021,0.28,--,-99.67%,-99.72%,7.31%,7.31%
,,,,,,
3/31/2021,0.27,--,-99.70%,-99.74%,-7.17%,-7.17%
2/26/2021,0.29,--,-99.67%,-99.71%,9.33%,9.33%
1/29/2021,0.26,--,-99.70%,-99.74%,1.51%,1.51%
,,,,,,
12/31/2020,0.26,--,-99.71%,-99.74%,-12.88%,-12.88%
11/30/2020,0.3,--,-99.66%,-99.70%,-16.91%,-16.91%
10/30/2020,0.36,--,-99.59%,-99.64%,12.13%,12.13%
,,,,,,
9/30/2020,0.32,--,-99.64%,-99.68%,-13.44%,-13.44%
8/31/2020,0.37,--,-99.58%,-99.63%,32.10%,32.10%
7/31/2020,0.28,--,-99.68%,-99.72%,0.54%,0.54%
,,,,,,
6/30/2020,0.28,--,-99.68%,-99.72%,-10.76%,-10.76%
5/29/2020,0.31,--,-99.65%,-99.69%,-14.79%,-14.79%
4/30/2020,0.36,--,-99.58%,-99.64%,12.80%,12.80%
,,,,,,
3/31/2020,0.32,--,-99.63%,-99.68%,-5.27%,-5.27%
2/28/2020,0.34,--,-99.61%,-99.66%,-10.37%,-10.37%
1/31/2020,0.38,--,-99.57%,-99.62%,-14.58%,-14.58%
,,,,,,
12/31/2019,0.44,--,-99.49%,-99.56%,-2.97%,-2.97%
11/29/2019,0.46,--,-99.48%,-99.54%,-16.41%,-16.41%
10/31/2019,0.55,--,-99.37%,-99.45%,2.05%,2.05%
,,,,,,
9/30/2019,0.54,--,-99.39%,-99.46%,0.43%,0.43%
8/30/2019,0.53,--,-99.39%,-99.47%,-0.21%,-0.21%
7/31/2019,0.54,--,-99.39%,-99.47%,-1.94%,-1.94%
,,,,,,
6/28/2019,0.55,--,-99.38%,-99.45%,-6.08%,-6.08%
5/31/2019,0.58,--,-99.33%,-99.42%,-6.03%,-6.03%
4/30/2019,0.62,--,-99.29%,-99.38%,-5.02%,-5.02%
,,,,,,
3/29/2019,0.65,--,-99.25%,-99.35%,-5.52%,-5.52%
2/28/2019,0.69,--,-99.21%,-99.31%,-1.50%,-1.50%
1/31/2019,0.7,--,-99.20%,-99.30%,-1.09%,-1.09%
,,,,,,
12/31/2018,0.71,--,-99.19%,-99.29%,-32.96%,-32.96%
11/30/2018,1.05,--,-98.79%,-98.95%,39.95%,39.95%
10/31/2018,0.75,--,-99.14%,-99.25%,6.58%,6.58%
,,,,,,
9/28/2018,0.71,--,-99.19%,-99.29%,2.51%,2.51%
8/31/2018,0.69,--,-99.21%,-99.31%,4.45%,4.45%
7/31/2018,0.66,--,-99.24%,-99.34%,-3.93%,-3.93%
,,,,,,
6/29/2018,0.69,--,-99.21%,-99.31%,-0.65%,-0.65%
5/31/2018,0.69,--,-99.21%,-99.31%,5.60%,5.60%
4/30/2018,0.66,--,-99.25%,-99.35%,-0.64%,-0.64%
,,,,,,
3/30/2018,0.66,--,-99.24%,-99.34%,1.51%,1.51%
2/28/2018,0.65,--,-99.26%,-99.35%,-11.07%,-11.07%
1/31/2018,0.73,--,-99.16%,-99.27%,3.19%,3.19%
,,,,,,
12/29/2017,0.71,--,-99.19%,-99.29%,-3.56%,-3.56%
