BCOMNITR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Nickel Subindex Total Return Max Cuml Total Return 1015.6920% On 04/30/2007,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,618.53,--,496.62%,518.53%,11.32%,11.32%
11/30/2022,555.64,--,435.96%,455.64%,23.94%,23.94%
10/31/2022,448.33,--,332.45%,348.33%,3.33%,3.33%
,,,,,,
9/30/2022,433.87,--,318.50%,333.87%,-1.37%,-1.37%
8/31/2022,439.89,--,324.31%,339.89%,-9.33%,-9.33%
7/29/2022,485.15,--,367.96%,385.15%,4.16%,4.16%
,,,,,,
6/30/2022,465.79,--,349.29%,365.79%,-20.07%,-20.07%
5/31/2022,582.73,--,462.09%,482.73%,-10.61%,-10.61%
4/29/2022,651.87,--,528.77%,551.87%,-1.03%,-1.03%
,,,,,,
3/31/2022,658.64,--,535.31%,558.64%,31.83%,31.83%
2/28/2022,499.6,--,381.90%,399.60%,9.04%,9.04%
1/31/2022,458.18,--,341.95%,358.18%,8.64%,8.64%
,,,,,,
12/31/2021,421.73,--,306.79%,321.73%,4.52%,4.52%
11/30/2021,403.49,--,289.20%,303.50%,2.65%,2.65%
10/29/2021,393.1,--,279.17%,293.10%,8.54%,8.54%
,,,,,,
9/30/2021,362.18,--,249.35%,262.18%,-8.25%,-8.25%
8/31/2021,394.74,--,280.76%,294.74%,-0.05%,-0.05%
7/30/2021,394.94,--,280.95%,294.94%,7.35%,7.35%
,,,,,,
6/30/2021,367.92,--,254.88%,267.92%,0.53%,0.53%
5/31/2021,365.98,--,253.02%,265.98%,2.38%,2.38%
4/30/2021,357.46,--,244.80%,257.46%,9.94%,9.94%
,,,,,,
3/31/2021,325.14,--,213.62%,225.14%,-13.60%,-13.60%
2/26/2021,376.32,--,262.99%,276.32%,4.93%,4.93%
1/29/2021,358.65,--,245.94%,258.65%,6.42%,6.42%
,,,,,,
12/31/2020,337,--,225.06%,237.00%,3.51%,3.51%
11/30/2020,325.56,--,214.03%,225.56%,5.67%,5.67%
10/30/2020,308.08,--,197.17%,208.08%,4.29%,4.29%
,,,,,,
9/30/2020,295.4,--,184.94%,195.40%,-5.64%,-5.64%
8/31/2020,313.05,--,201.96%,213.05%,11.40%,11.40%
7/31/2020,281,--,171.05%,181.00%,7.53%,7.53%
,,,,,,
6/30/2020,261.32,--,152.06%,161.32%,3.73%,3.73%
5/29/2020,251.93,--,143.01%,151.94%,0.91%,0.91%
4/30/2020,249.67,--,140.83%,149.67%,5.86%,5.86%
,,,,,,
3/31/2020,235.85,--,127.50%,135.85%,-6.37%,-6.37%
2/28/2020,251.91,--,142.99%,151.91%,-4.69%,-4.69%
1/31/2020,264.3,--,154.94%,164.30%,-8.52%,-8.52%
,,,,,,
12/31/2019,288.93,--,178.69%,188.93%,2.58%,2.58%
11/29/2019,281.67,--,171.69%,181.67%,-18.02%,-18.02%
10/31/2019,343.6,--,231.43%,243.60%,-2.05%,-2.05%
,,,,,,
9/30/2019,350.78,--,238.36%,250.78%,-4.49%,-4.49%
8/30/2019,367.29,--,254.28%,267.29%,23.98%,23.98%
7/31/2019,296.26,--,185.77%,196.26%,14.41%,14.41%
,,,,,,
6/28/2019,258.96,--,149.78%,158.96%,5.67%,5.67%
5/31/2019,245.06,--,136.37%,145.06%,-1.49%,-1.49%
4/30/2019,248.77,--,139.96%,148.77%,-6.02%,-6.02%
,,,,,,
3/29/2019,264.71,--,155.33%,164.71%,-0.51%,-0.51%
2/28/2019,266.07,--,156.64%,166.07%,4.55%,4.55%
1/31/2019,254.49,--,145.48%,154.49%,16.77%,16.77%
,,,,,,
12/31/2018,217.95,--,110.23%,117.95%,-4.67%,-4.67%
11/30/2018,228.62,--,120.52%,128.62%,-2.57%,-2.57%
10/31/2018,234.64,--,126.33%,134.64%,-8.65%,-8.65%
,,,,,,
9/28/2018,256.85,--,147.75%,156.85%,-1.63%,-1.63%
8/31/2018,261.1,--,151.85%,161.10%,-8.81%,-8.81%
7/31/2018,286.33,--,176.19%,186.33%,-5.93%,-5.93%
,,,,,,
6/29/2018,304.36,--,193.58%,204.36%,-2.10%,-2.10%
5/31/2018,310.89,--,199.88%,210.89%,11.52%,11.52%
4/30/2018,278.77,--,168.89%,178.77%,2.64%,2.64%
,,,,,,
3/30/2018,271.61,--,161.99%,171.61%,-3.57%,-3.57%
2/28/2018,281.66,--,171.68%,181.66%,1.39%,1.39%
1/31/2018,277.79,--,167.95%,177.79%,6.56%,6.56%
,,,,,,
12/29/2017,260.68,--,151.45%,160.68%,14.83%,14.83%
11/30/2017,227.02,--,118.98%,127.02%,-9.81%,-9.81%
10/31/2017,251.7,--,142.78%,151.70%,17.14%,17.14%
,,,,,,
9/29/2017,214.86,--,107.25%,114.87%,-11.23%,-11.23%
8/31/2017,242.05,--,133.47%,142.05%,15.39%,15.39%
7/31/2017,209.76,--,102.33%,109.76%,8.68%,8.68%
,,,,,,
6/30/2017,193.01,--,86.18%,93.01%,4.55%,4.55%
5/31/2017,184.62,--,78.08%,84.62%,-5.20%,-5.20%
4/28/2017,194.76,--,87.86%,94.76%,-5.85%,-5.85%
,,,,,,
3/31/2017,206.85,--,99.52%,106.85%,-8.86%,-8.86%
2/28/2017,226.97,--,118.93%,126.97%,10.20%,10.20%
1/31/2017,205.95,--,98.66%,105.95%,-0.78%,-0.78%
,,,,,,
12/30/2016,207.58,--,100.22%,107.58%,-11.04%,-11.04%
11/30/2016,233.33,--,125.07%,133.33%,7.25%,7.25%
10/31/2016,217.56,--,109.85%,117.56%,-1.09%,-1.09%
,,,,,,
9/30/2016,219.94,--,112.15%,119.94%,8.19%,8.19%
8/31/2016,203.29,--,96.09%,103.29%,-8.31%,-8.31%
7/29/2016,221.71,--,113.85%,121.71%,12.44%,12.44%
,,,,,,
6/30/2016,197.18,--,90.19%,97.18%,11.83%,11.83%
5/31/2016,176.31,--,70.07%,76.31%,-10.87%,-10.87%
4/29/2016,197.82,--,90.81%,97.82%,11.17%,11.17%
,,,,,,
3/31/2016,177.94,--,71.64%,77.95%,-0.52%,-0.52%
2/29/2016,178.87,--,72.54%,78.87%,-1.30%,-1.30%
1/29/2016,181.22,--,74.80%,81.22%,-2.35%,-2.35%
,,,,,,
12/31/2015,185.59,--,79.01%,85.59%,-1.04%,-1.04%
11/30/2015,187.53,--,80.89%,87.53%,-11.69%,-11.69%
10/30/2015,212.36,--,104.83%,112.36%,-3.34%,-3.34%
,,,,,,
9/30/2015,219.7,--,111.92%,119.70%,3.28%,3.28%
8/31/2015,212.73,--,105.20%,112.73%,-8.95%,-8.95%
7/31/2015,233.64,--,125.37%,133.64%,-7.97%,-7.97%
,,,,,,
6/30/2015,253.87,--,144.88%,153.87%,-5.16%,-5.16%
5/29/2015,267.68,--,158.20%,167.69%,-9.70%,-9.70%
4/30/2015,296.43,--,185.93%,196.43%,12.48%,12.48%
,,,,,,
3/31/2015,263.54,--,154.20%,163.54%,-12.23%,-12.23%
2/27/2015,300.25,--,189.61%,200.25%,-7.19%,-7.19%
1/30/2015,323.52,--,212.06%,223.52%,0.00%,0.00%
,,,,,,
12/31/2014,323.54,--,212.08%,223.54%,-7.14%,-7.14%
11/28/2014,348.41,--,236.07%,248.41%,3.03%,3.03%
10/31/2014,338.16,--,226.18%,238.16%,-3.39%,-3.39%
,,,,,,
9/30/2014,350.04,--,237.64%,250.04%,-13.37%,-13.37%
8/29/2014,404.07,--,289.75%,304.07%,1.45%,1.45%
7/31/2014,398.28,--,284.17%,298.28%,-2.98%,-2.98%
,,,,,,
6/30/2014,410.53,--,295.98%,310.53%,-1.32%,-1.32%
5/30/2014,416.02,--,301.28%,316.02%,4.93%,4.93%
4/30/2014,396.45,--,282.41%,296.45%,15.14%,15.14%
,,,,,,
3/31/2014,344.32,--,232.12%,244.32%,7.91%,7.91%
2/28/2014,319.08,--,207.78%,219.08%,5.33%,5.33%
1/31/2014,302.95,--,192.21%,202.95%,0.48%,0.48%
,,,,,,
12/31/2013,301.5,--,190.82%,201.50%,2.70%,2.70%
11/29/2013,293.56,--,183.16%,193.56%,-7.70%,-7.70%
10/31/2013,318.06,--,206.80%,218.06%,4.55%,4.55%
,,,,,,
9/30/2013,304.24,--,193.46%,204.24%,0.95%,0.95%
8/30/2013,301.38,--,190.70%,201.38%,-0.72%,-0.72%
7/31/2013,303.55,--,192.80%,203.55%,1.01%,1.01%
,,,,,,
6/28/2013,300.5,--,189.85%,200.50%,-7.67%,-7.67%
5/31/2013,325.48,--,213.95%,225.48%,-3.83%,-3.83%
4/30/2013,338.43,--,226.44%,238.43%,-7.78%,-7.78%
,,,,,,
3/29/2013,366.97,--,253.97%,266.97%,0.22%,0.22%
2/28/2013,366.17,--,253.20%,266.17%,-9.58%,-9.58%
1/31/2013,404.96,--,290.61%,304.96%,7.32%,7.32%
,,,,,,
12/31/2012,377.35,--,263.98%,277.35%,-3.49%,-3.49%
11/30/2012,391.01,--,277.16%,291.01%,8.92%,8.92%
10/31/2012,359,--,246.28%,259.00%,-12.50%,-12.50%
,,,,,,
9/28/2012,410.29,--,295.75%,310.29%,15.75%,15.75%
8/31/2012,354.47,--,241.91%,254.47%,0.44%,0.44%
7/31/2012,352.92,--,240.42%,252.92%,-5.32%,-5.32%
,,,,,,
6/29/2012,372.76,--,259.56%,272.76%,3.04%,3.04%
5/31/2012,361.76,--,248.94%,261.76%,-9.45%,-9.45%
4/30/2012,399.52,--,285.37%,299.52%,0.28%,0.28%
,,,,,,
3/30/2012,398.41,--,284.29%,298.41%,-7.55%,-7.55%
2/29/2012,430.93,--,315.67%,330.93%,-7.86%,-7.86%
1/31/2012,467.67,--,351.10%,367.67%,11.27%,11.27%
,,,,,,
12/30/2011,420.3,--,305.41%,320.30%,6.87%,6.87%
11/30/2011,393.26,--,279.33%,293.26%,-10.59%,-10.59%
10/31/2011,439.83,--,324.25%,339.83%,11.16%,11.16%
,,,,,,
9/30/2011,395.67,--,281.65%,295.67%,-20.78%,-20.78%
8/31/2011,499.43,--,381.74%,399.43%,-11.25%,-11.25%
7/29/2011,562.72,--,442.79%,462.72%,6.64%,6.64%
,,,,,,
6/30/2011,527.66,--,408.97%,427.66%,-0.79%,-0.79%
5/31/2011,531.84,--,413.00%,431.84%,-12.16%,-12.16%
4/29/2011,605.46,--,484.01%,505.46%,2.93%,2.93%
,,,,,,
3/31/2011,588.25,--,467.41%,488.25%,-10.01%,-10.01%
2/28/2011,653.7,--,530.55%,553.70%,6.01%,6.01%
1/31/2011,616.64,--,494.80%,516.65%,10.51%,10.51%
,,,,,,
12/31/2010,558.01,--,438.24%,458.01%,7.34%,7.34%
11/30/2010,519.87,--,401.45%,419.87%,0.21%,0.21%
10/29/2010,518.77,--,400.39%,418.77%,-1.87%,-1.87%
,,,,,,
9/30/2010,528.65,--,409.92%,428.65%,12.97%,12.97%
8/31/2010,467.95,--,351.37%,367.95%,-2.19%,-2.19%
7/30/2010,478.42,--,361.48%,378.43%,7.01%,7.01%
,,,,,,
6/30/2010,447.08,--,331.24%,347.08%,-7.61%,-7.61%
5/31/2010,483.93,--,366.79%,383.93%,-18.92%,-18.92%
4/30/2010,596.86,--,475.72%,496.87%,5.08%,5.08%
,,,,,,
3/31/2010,568.03,--,447.91%,468.03%,18.05%,18.05%
2/26/2010,481.16,--,364.11%,381.16%,14.27%,14.27%
1/29/2010,421.05,--,306.14%,321.05%,-0.25%,-0.25%
,,,,,,
12/31/2009,422.13,--,307.17%,322.13%,12.79%,12.79%
11/30/2009,374.25,--,260.99%,274.25%,-10.31%,-10.31%
10/30/2009,417.25,--,302.47%,317.26%,1.87%,1.87%
,,,,,,
9/30/2009,409.59,--,295.08%,309.59%,-6.35%,-6.35%
8/31/2009,437.37,--,321.87%,337.37%,6.11%,6.11%
7/31/2009,412.18,--,297.58%,312.18%,16.69%,16.69%
,,,,,,
6/30/2009,353.24,--,240.73%,253.24%,10.03%,10.03%
5/29/2009,321.05,--,209.68%,221.05%,19.19%,19.19%
4/30/2009,269.36,--,159.82%,169.36%,18.32%,18.32%
,,,,,,
