BCOMPLTR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Platinum Subindex Total Return Max Cuml Total Return 1167.6027% On 02/29/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,543.22,--,506.98%,470.26%,4.30%,4.30%
11/30/2022,520.83,--,481.96%,446.75%,12.13%,12.13%
10/31/2022,464.5,--,419.02%,387.62%,8.60%,8.60%
,,,,,,
9/30/2022,427.7,--,377.90%,348.99%,4.16%,4.16%
8/31/2022,410.62,--,358.82%,331.06%,-6.83%,-6.83%
7/29/2022,440.73,--,392.47%,362.67%,-0.44%,-0.44%
,,,,,,
6/30/2022,442.69,--,394.66%,364.73%,-7.63%,-7.63%
5/31/2022,479.28,--,435.54%,403.14%,3.14%,3.14%
4/29/2022,464.67,--,419.22%,387.81%,-5.59%,-5.59%
,,,,,,
3/31/2022,492.16,--,449.93%,416.66%,-3.94%,-3.94%
2/28/2022,512.33,--,472.47%,437.83%,1.78%,1.78%
1/31/2022,503.37,--,462.45%,428.43%,5.66%,5.66%
,,,,,,
12/31/2021,476.39,--,432.31%,400.10%,4.11%,4.11%
11/30/2021,457.59,--,411.30%,380.37%,-9.15%,-9.15%
10/29/2021,503.66,--,462.78%,428.73%,6.06%,6.06%
,,,,,,
9/30/2021,474.87,--,430.61%,398.51%,-5.37%,-5.37%
8/31/2021,501.84,--,460.75%,426.83%,-3.27%,-3.27%
7/30/2021,518.79,--,479.69%,444.62%,-2.28%,-2.28%
,,,,,,
6/30/2021,530.89,--,493.21%,457.32%,-9.57%,-9.57%
5/31/2021,587.06,--,555.97%,516.29%,-1.89%,-1.89%
4/30/2021,598.38,--,568.62%,528.17%,1.15%,1.15%
,,,,,,
3/31/2021,591.56,--,561.00%,521.01%,0.13%,0.13%
2/26/2021,590.78,--,560.13%,520.19%,9.84%,9.84%
1/29/2021,537.88,--,501.01%,464.65%,0.01%,0.01%
,,,,,,
12/31/2020,537.84,--,500.97%,464.61%,11.30%,11.30%
11/30/2020,483.25,--,439.98%,407.31%,13.86%,13.86%
10/30/2020,424.43,--,374.25%,345.56%,-6.68%,-6.68%
,,,,,,
9/30/2020,454.81,--,408.20%,377.45%,-3.72%,-3.72%
8/31/2020,472.37,--,427.82%,395.89%,2.08%,2.08%
7/31/2020,462.76,--,417.08%,385.80%,7.97%,7.97%
,,,,,,
6/30/2020,428.62,--,378.93%,349.95%,-3.39%,-3.39%
5/29/2020,443.65,--,395.73%,365.74%,7.59%,7.59%
4/30/2020,412.37,--,360.77%,332.89%,11.40%,11.40%
,,,,,,
3/31/2020,370.17,--,313.62%,288.60%,-15.80%,-15.80%
2/28/2020,439.64,--,391.25%,361.53%,-10.00%,-10.00%
1/31/2020,488.48,--,445.81%,412.79%,-1.50%,-1.50%
,,,,,,
12/31/2019,495.89,--,454.10%,420.58%,8.05%,8.05%
11/29/2019,458.96,--,412.83%,381.81%,-3.45%,-3.45%
10/31/2019,475.33,--,431.13%,399.00%,5.16%,5.16%
,,,,,,
9/30/2019,452.02,--,405.08%,374.52%,-4.99%,-4.99%
8/30/2019,475.74,--,431.58%,399.42%,6.18%,6.18%
7/31/2019,448.04,--,400.64%,370.35%,4.70%,4.70%
,,,,,,
6/28/2019,427.94,--,378.17%,349.24%,5.38%,5.38%
5/31/2019,406.1,--,353.77%,326.32%,-10.75%,-10.75%
4/30/2019,455.03,--,408.44%,377.68%,4.62%,4.62%
,,,,,,
3/29/2019,434.91,--,385.97%,356.57%,-2.86%,-2.86%
2/28/2019,447.7,--,400.26%,369.99%,6.32%,6.32%
1/31/2019,421.09,--,370.51%,342.05%,3.23%,3.23%
,,,,,,
12/31/2018,407.93,--,355.81%,328.24%,-0.45%,-0.45%
11/30/2018,409.77,--,357.87%,330.17%,-4.94%,-4.94%
10/31/2018,431.06,--,381.66%,352.52%,2.72%,2.72%
,,,,,,
9/28/2018,419.66,--,368.93%,340.56%,4.27%,4.27%
8/31/2018,402.46,--,349.70%,322.50%,-6.78%,-6.78%
7/31/2018,431.72,--,382.39%,353.21%,-1.21%,-1.21%
,,,,,,
6/29/2018,437.03,--,388.32%,358.78%,-6.10%,-6.10%
5/31/2018,465.44,--,420.07%,388.61%,0.79%,0.79%
