BCOMSITR Index Settings Total Return Analysis,,,,,,
Range01/31/1975 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 575 Month Holding Period Chart,,,,,,
Bloomberg Silver Subindex Total Return Max Cuml Total Return 721.0303% On 04/29/2011,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,463.9,--,281.49%,250.62%,10.77%,10.77%
11/30/2022,418.81,--,244.41%,216.53%,13.51%,13.51%
10/31/2022,368.97,--,203.42%,178.86%,0.73%,0.73%
,,,,,,
9/30/2022,366.28,--,201.21%,176.83%,6.74%,6.74%
8/31/2022,343.14,--,182.18%,159.34%,-11.89%,-11.89%
7/29/2022,389.46,--,220.27%,194.35%,-0.59%,-0.59%
,,,,,,
6/30/2022,391.77,--,222.17%,196.10%,-6.45%,-6.45%
5/31/2022,418.78,--,244.39%,216.51%,-5.97%,-5.97%
4/29/2022,445.37,--,266.25%,236.61%,-8.39%,-8.39%
,,,,,,
3/31/2022,486.13,--,299.77%,267.41%,3.19%,3.19%
2/28/2022,471.12,--,287.42%,256.07%,8.63%,8.63%
1/31/2022,433.7,--,256.66%,227.79%,-4.10%,-4.10%
,,,,,,
12/31/2021,452.23,--,271.89%,241.79%,2.36%,2.36%
11/30/2021,441.8,--,263.32%,233.91%,-4.93%,-4.93%
10/29/2021,464.7,--,282.15%,251.22%,8.63%,8.63%
,,,,,,
9/30/2021,427.78,--,251.79%,223.32%,-8.16%,-8.16%
8/31/2021,465.77,--,283.03%,252.03%,-6.23%,-6.23%
7/30/2021,496.72,--,308.48%,275.42%,-2.47%,-2.47%
,,,,,,
6/30/2021,509.28,--,318.81%,284.92%,-6.60%,-6.60%
5/31/2021,545.27,--,348.41%,312.11%,8.28%,8.28%
4/30/2021,503.59,--,314.13%,280.61%,5.33%,5.33%
,,,,,,
3/31/2021,478.13,--,293.19%,261.37%,-7.21%,-7.21%
2/26/2021,515.3,--,323.76%,289.46%,-1.89%,-1.89%
1/29/2021,525.25,--,331.94%,296.98%,1.91%,1.91%
,,,,,,
12/31/2020,515.41,--,323.85%,289.55%,16.91%,16.91%
11/30/2020,440.86,--,262.54%,233.20%,-4.99%,-4.99%
10/30/2020,464.03,--,281.60%,250.71%,0.66%,0.66%
,,,,,,
9/30/2020,461.01,--,279.11%,248.43%,-17.83%,-17.83%
8/31/2020,561.03,--,361.37%,324.02%,17.15%,17.15%
7/31/2020,478.89,--,293.81%,261.94%,29.95%,29.95%
,,,,,,
6/30/2020,368.51,--,203.05%,178.52%,-0.29%,-0.29%
5/29/2020,369.58,--,203.93%,179.33%,23.56%,23.56%
4/30/2020,299.11,--,145.98%,126.07%,4.84%,4.84%
,,,,,,
3/31/2020,285.3,--,134.62%,115.63%,-13.94%,-13.94%
2/28/2020,331.52,--,172.63%,150.56%,-8.94%,-8.94%
1/31/2020,364.08,--,199.40%,175.17%,0.64%,0.64%
,,,,,,
12/31/2019,361.76,--,197.50%,173.42%,4.91%,4.91%
11/29/2019,344.84,--,183.58%,160.63%,-6.01%,-6.01%
10/31/2019,366.89,--,201.71%,177.29%,6.44%,6.44%
,,,,,,
9/30/2019,344.68,--,183.45%,160.51%,-7.17%,-7.17%
8/30/2019,371.31,--,205.35%,180.64%,11.10%,11.10%
7/31/2019,334.22,--,174.85%,152.60%,7.14%,7.14%
,,,,,,
6/28/2019,311.94,--,156.52%,135.76%,4.97%,4.97%
5/31/2019,297.17,--,144.38%,124.60%,-2.58%,-2.58%
4/30/2019,305.05,--,150.86%,130.56%,-1.22%,-1.22%
,,,,,,
3/29/2019,308.82,--,153.96%,133.41%,-3.16%,-3.16%
2/28/2019,318.91,--,162.26%,141.03%,-3.15%,-3.15%
1/31/2019,329.26,--,170.77%,148.86%,3.64%,3.64%
,,,,,,
12/31/2018,317.7,--,161.27%,140.12%,9.53%,9.53%
11/30/2018,290.06,--,138.53%,119.23%,-1.11%,-1.11%
10/31/2018,293.33,--,141.22%,121.70%,-2.72%,-2.72%
,,,,,,
9/28/2018,301.54,--,147.97%,127.90%,1.23%,1.23%
8/31/2018,297.87,--,144.95%,125.13%,-6.87%,-6.87%
7/31/2018,319.85,--,163.03%,141.74%,-3.78%,-3.78%
,,,,,,
6/29/2018,332.41,--,173.36%,151.23%,-1.89%,-1.89%
5/31/2018,338.8,--,178.61%,156.06%,0.51%,0.51%
4/30/2018,337.08,--,177.20%,154.76%,0.54%,0.54%
,,,,,,
3/30/2018,335.26,--,175.70%,153.39%,-0.71%,-0.71%
2/28/2018,337.66,--,177.68%,155.20%,-5.20%,-5.20%
1/31/2018,356.18,--,192.91%,169.20%,0.69%,0.69%
,,,,,,
12/29/2017,353.73,--,190.89%,167.35%,4.18%,4.18%
11/30/2017,339.52,--,179.21%,156.61%,-1.76%,-1.76%
10/31/2017,345.62,--,184.22%,161.22%,0.20%,0.20%
,,,,,,
9/29/2017,344.94,--,183.66%,160.70%,-5.04%,-5.04%
8/31/2017,363.23,--,198.70%,174.53%,4.25%,4.25%
7/31/2017,348.41,--,186.51%,163.32%,1.05%,1.05%
,,,,,,
6/30/2017,344.79,--,183.54%,160.59%,-4.81%,-4.81%
5/31/2017,362.21,--,197.87%,173.76%,0.92%,0.92%
4/28/2017,358.92,--,195.16%,171.27%,-5.77%,-5.77%
,,,,,,
3/31/2017,380.92,--,213.25%,187.90%,-1.09%,-1.09%
2/28/2017,385.12,--,216.71%,191.07%,4.92%,4.92%
1/31/2017,367.05,--,201.85%,177.42%,9.77%,9.77%
,,,,,,
12/30/2016,334.38,--,174.98%,152.73%,-2.95%,-2.95%
11/30/2016,344.55,--,183.34%,160.41%,-7.94%,-7.94%
10/31/2016,374.25,--,207.77%,182.86%,-7.35%,-7.35%
,,,,,,
9/30/2016,403.96,--,232.20%,205.31%,2.74%,2.74%
8/31/2016,393.19,--,223.35%,197.18%,-8.58%,-8.58%
7/29/2016,430.08,--,253.68%,225.05%,9.28%,9.28%
,,,,,,
