BCOMSMT Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Soybean Meal Subindex Total Return Max Cuml Total Return 1879.2115% On 12/30/2022,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,2005.53,--,1942.84%,1879.21%,13.79%,13.79%
11/30/2022,1762.49,--,1695.28%,1639.35%,0.04%,0.04%
10/31/2022,1761.84,--,1694.62%,1638.72%,5.26%,5.26%
,,,,,,
9/30/2022,1673.87,--,1605.01%,1551.91%,-2.66%,-2.66%
8/31/2022,1719.69,--,1651.68%,1597.12%,-0.57%,-0.57%
7/29/2022,1729.59,--,1661.77%,1606.89%,3.08%,3.08%
,,,,,,
6/30/2022,1677.93,--,1609.15%,1555.91%,3.70%,3.70%
5/31/2022,1618.04,--,1548.14%,1496.80%,-3.96%,-3.96%
4/29/2022,1684.83,--,1616.17%,1562.71%,-6.53%,-6.53%
,,,,,,
3/31/2022,1802.44,--,1735.97%,1678.79%,4.79%,4.79%
2/28/2022,1720.06,--,1652.06%,1597.48%,6.91%,6.91%
1/31/2022,1608.86,--,1538.79%,1487.74%,4.97%,4.97%
,,,,,,
12/31/2021,1532.64,--,1461.15%,1412.52%,17.02%,17.02%
11/30/2021,1309.68,--,1234.05%,1192.49%,3.45%,3.45%
10/29/2021,1265.94,--,1189.50%,1149.33%,-0.16%,-0.16%
,,,,,,
9/30/2021,1267.91,--,1191.50%,1151.27%,-4.89%,-4.89%
8/31/2021,1333.06,--,1257.86%,1215.56%,-2.34%,-2.34%
7/30/2021,1365,--,1290.40%,1247.09%,-7.28%,-7.28%
,,,,,,
6/30/2021,1472.17,--,1399.55%,1352.85%,-5.51%,-5.51%
5/31/2021,1558.06,--,1487.05%,1437.62%,-7.18%,-7.18%
4/30/2021,1678.59,--,1609.82%,1556.56%,-0.40%,-0.40%
,,,,,,
3/31/2021,1685.37,--,1616.73%,1563.25%,0.43%,0.43%
2/26/2021,1678.16,--,1609.38%,1556.13%,-2.04%,-2.04%
1/29/2021,1713.07,--,1644.94%,1590.59%,0.38%,0.38%
,,,,,,
12/31/2020,1706.59,--,1638.34%,1584.19%,9.50%,9.50%
11/30/2020,1558.52,--,1487.51%,1438.06%,5.09%,5.09%
10/30/2020,1482.97,--,1410.56%,1363.50%,9.19%,9.19%
,,,,,,
9/30/2020,1358.13,--,1283.40%,1240.31%,9.71%,9.71%
8/31/2020,1237.97,--,1161.01%,1121.73%,5.12%,5.12%
7/31/2020,1177.66,--,1099.57%,1062.20%,0.48%,0.48%
,,,,,,
6/30/2020,1171.97,--,1093.78%,1056.59%,1.12%,1.12%
5/29/2020,1158.96,--,1080.52%,1043.75%,-4.02%,-4.02%
4/30/2020,1207.54,--,1130.00%,1091.69%,-9.80%,-9.80%
,,,,,,
3/31/2020,1338.71,--,1263.62%,1221.14%,5.25%,5.25%
2/28/2020,1271.89,--,1195.55%,1155.20%,3.11%,3.11%
1/31/2020,1233.54,--,1156.48%,1117.35%,-4.37%,-4.37%
,,,,,,
12/31/2019,1289.91,--,1213.90%,1172.98%,2.76%,2.76%
11/29/2019,1255.28,--,1178.63%,1138.80%,-4.38%,-4.38%
10/31/2019,1312.72,--,1237.15%,1195.50%,1.34%,1.34%
,,,,,,
