BCOMBOTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Soybean Oil Subindex Total Return Max Cuml Total Return 18163.2338% On 02/29/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,178.63,--,12189.10%,12164.63%,-9.50%,-9.50%
11/30/2022,197.38,--,13478.55%,13451.51%,2.15%,2.15%
10/31/2022,193.22,--,13192.34%,13165.88%,18.15%,18.15%
,,,,,,
9/30/2022,163.53,--,11150.18%,11127.78%,-8.54%,-8.54%
8/31/2022,178.79,--,12200.01%,12175.52%,3.02%,3.02%
7/29/2022,173.55,--,11839.47%,11815.70%,2.04%,2.04%
,,,,,,
6/30/2022,170.09,--,11600.99%,11577.69%,-12.54%,-12.54%
5/31/2022,194.47,--,13278.42%,13251.78%,-7.36%,-7.36%
4/29/2022,209.91,--,14340.58%,14311.83%,23.03%,23.03%
,,,,,,
3/31/2022,170.62,--,11637.84%,11614.47%,-3.52%,-3.52%
2/28/2022,176.85,--,12066.25%,12042.03%,11.86%,11.86%
1/31/2022,158.1,--,10776.76%,10755.11%,14.68%,14.68%
,,,,,,
12/31/2021,137.87,--,9384.60%,9365.72%,2.30%,2.30%
11/30/2021,134.76,--,9171.11%,9152.65%,-9.56%,-9.56%
10/29/2021,149.01,--,10151.35%,10130.94%,4.12%,4.12%
,,,,,,
9/30/2021,143.12,--,9745.69%,9726.09%,-0.10%,-0.10%
8/31/2021,143.26,--,9755.42%,9735.80%,-6.80%,-6.80%
7/30/2021,153.71,--,10474.55%,10453.50%,0.45%,0.45%
,,,,,,
6/30/2021,153.02,--,10427.15%,10406.19%,2.17%,2.17%
5/31/2021,149.77,--,10203.54%,10183.02%,5.45%,5.45%
4/30/2021,142.03,--,9670.93%,9651.48%,22.36%,22.36%
,,,,,,
3/31/2021,116.08,--,7885.56%,7869.66%,5.97%,5.97%
2/26/2021,109.54,--,7435.67%,7420.67%,13.61%,13.61%
1/29/2021,96.41,--,6532.68%,6519.47%,5.24%,5.24%
,,,,,,
12/31/2020,91.61,--,6202.23%,6189.68%,13.57%,13.57%
11/30/2020,80.66,--,5449.11%,5438.06%,12.05%,12.05%
10/30/2020,71.99,--,4852.21%,4842.35%,0.93%,0.93%
,,,,,,
9/30/2020,71.32,--,4806.49%,4796.72%,0.83%,0.83%
