BCOMSYTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Soybeans Subindex Total Return Max Cuml Total Return 15203.4576% On 12/30/2022,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,684.26,--,15236.04%,15203.46%,3.75%,3.75%
11/30/2022,659.52,--,14681.49%,14650.09%,3.88%,3.88%
10/31/2022,634.87,--,14129.06%,14098.83%,3.52%,3.52%
,,,,,,
9/30/2022,613.28,--,13645.23%,13616.03%,-3.81%,-3.81%
8/31/2022,637.59,--,14189.93%,14159.57%,-2.90%,-2.90%
7/29/2022,656.62,--,14616.42%,14585.15%,0.89%,0.89%
,,,,,,
6/30/2022,650.8,--,14485.97%,14454.98%,-3.40%,-3.40%
5/31/2022,673.73,--,14999.95%,14967.87%,0.00%,0.00%
4/29/2022,673.74,--,15000.23%,14968.15%,5.12%,5.12%
,,,,,,
3/31/2022,640.96,--,14265.41%,14234.89%,-1.09%,-1.09%
2/28/2022,648.04,--,14424.17%,14393.31%,9.64%,9.64%
1/31/2022,591.05,--,13146.79%,13118.65%,11.31%,11.31%
,,,,,,
12/31/2021,531.01,--,11801.18%,11775.89%,9.39%,9.39%
11/30/2021,485.43,--,10779.69%,10756.58%,-2.58%,-2.58%
10/29/2021,498.27,--,11067.46%,11043.73%,-1.42%,-1.42%
,,,,,,
9/30/2021,505.45,--,11228.47%,11204.40%,-2.82%,-2.82%
8/31/2021,520.12,--,11557.28%,11532.51%,-4.20%,-4.20%
7/30/2021,542.93,--,12068.52%,12042.67%,-3.55%,-3.55%
,,,,,,
6/30/2021,562.93,--,12516.67%,12489.86%,-2.19%,-2.19%
5/31/2021,575.52,--,12798.91%,12771.51%,-0.24%,-0.24%
4/30/2021,576.93,--,12830.36%,12802.89%,7.18%,7.18%
,,,,,,
3/31/2021,538.27,--,11963.96%,11938.33%,2.32%,2.32%
2/26/2021,526.08,--,11690.73%,11665.67%,2.62%,2.62%
1/29/2021,512.63,--,11389.40%,11364.99%,4.51%,4.51%
,,,,,,
12/31/2020,490.52,--,10893.82%,10870.46%,11.70%,11.70%
11/30/2020,439.16,--,9742.67%,9721.76%,10.64%,10.64%
10/30/2020,396.94,--,8796.44%,8777.54%,3.11%,3.11%
,,,,,,
9/30/2020,384.95,--,8527.76%,8509.43%,7.35%,7.35%
8/31/2020,358.59,--,7936.97%,7919.89%,6.84%,6.84%
7/31/2020,335.62,--,7422.14%,7406.16%,1.17%,1.17%
,,,,,,
6/30/2020,331.73,--,7334.88%,7319.08%,3.50%,3.50%
5/29/2020,320.5,--,7083.23%,7067.97%,-1.69%,-1.69%
4/30/2020,326,--,7206.40%,7190.88%,-4.30%,-4.30%
,,,,,,
3/31/2020,340.64,--,7534.51%,7518.29%,-0.71%,-0.71%
2/28/2020,343.06,--,7588.93%,7572.59%,1.09%,1.09%
1/31/2020,339.36,--,7505.81%,7489.65%,-8.57%,-8.57%
,,,,,,
12/31/2019,371.15,--,8218.33%,8200.66%,7.41%,7.41%
11/29/2019,345.54,--,7644.39%,7627.94%,-5.83%,-5.83%
10/31/2019,366.95,--,8124.27%,8106.79%,1.47%,1.47%
,,,,,,
9/30/2019,361.63,--,8005.03%,7987.81%,4.43%,4.43%
8/30/2019,346.29,--,7661.15%,7644.66%,-1.26%,-1.26%
7/31/2019,350.69,--,7759.82%,7743.12%,-4.31%,-4.31%
,,,,,,
6/28/2019,366.48,--,8113.76%,8096.31%,2.12%,2.12%
5/31/2019,358.86,--,7942.91%,7925.82%,2.99%,2.99%
4/30/2019,348.44,--,7709.41%,7692.82%,-4.61%,-4.61%
,,,,,,
3/29/2019,365.28,--,8086.87%,8069.48%,-2.67%,-2.67%
2/28/2019,375.29,--,8311.19%,8293.32%,-1.89%,-1.89%
1/31/2019,382.5,--,8472.83%,8454.62%,2.48%,2.48%
,,,,,,
12/31/2018,373.26,--,8265.70%,8247.92%,-1.18%,-1.18%
11/30/2018,377.71,--,8365.35%,8347.37%,5.25%,5.25%
10/31/2018,358.85,--,7942.79%,7925.70%,-0.63%,-0.63%
,,,,,,
