BCOMSBTR Index Settings Total Return Analysis,,,,,,
Range01/31/1961 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 743 Month Holding Period Chart,,,,,,
Bloomberg Sugar Subindex Total Return Max Cuml Total Return 1003.8704% On 11/29/1974,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,225.08,--,15.95%,14.90%,2.46%,2.46%
11/30/2022,219.68,--,13.17%,12.14%,9.62%,9.62%
10/31/2022,200.41,--,3.24%,2.30%,1.96%,1.96%
,,,,,,
9/30/2022,196.55,--,1.26%,0.34%,0.96%,0.96%
8/31/2022,194.68,--,0.29%,-0.62%,2.24%,2.24%
7/29/2022,190.41,--,-1.91%,-2.80%,-5.02%,-5.02%
,,,,,,
6/30/2022,200.48,--,3.28%,2.34%,-5.58%,-5.58%
5/31/2022,212.33,--,9.38%,8.39%,1.39%,1.39%
4/29/2022,209.41,--,7.88%,6.90%,-1.26%,-1.26%
,,,,,,
3/31/2022,212.09,--,9.26%,8.27%,10.15%,10.15%
2/28/2022,192.54,--,-0.81%,-1.71%,-0.57%,-0.57%
1/31/2022,193.64,--,-0.24%,-1.15%,-3.48%,-3.48%
,,,,,,
12/31/2021,200.63,--,3.36%,2.42%,1.51%,1.51%
11/30/2021,197.65,--,1.82%,0.89%,-3.47%,-3.47%
10/29/2021,204.76,--,5.48%,4.52%,-5.26%,-5.26%
,,,,,,
9/30/2021,216.12,--,11.34%,10.32%,-1.00%,-1.00%
8/31/2021,218.31,--,12.46%,11.44%,10.78%,10.78%
7/30/2021,197.06,--,1.52%,0.59%,0.12%,0.12%
,,,,,,
6/30/2021,196.83,--,1.40%,0.48%,2.65%,2.65%
5/31/2021,191.76,--,-1.22%,-2.11%,2.24%,2.24%
4/30/2021,187.56,--,-3.38%,-4.26%,14.89%,14.89%
,,,,,,
3/31/2021,163.25,--,-15.90%,-16.67%,-10.21%,-10.21%
2/26/2021,181.81,--,-6.34%,-7.19%,8.80%,8.80%
