BCOMSNTR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Tin Subindex Total Return Max Cuml Total Return 1930.8140% On 02/28/2022,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,1167.3,--,1060.70%,1067.30%,8.29%,8.29%
11/30/2022,1077.96,--,971.87%,977.96%,31.10%,31.10%
10/31/2022,822.25,--,717.61%,722.25%,-13.95%,-13.95%
,,,,,,
9/30/2022,955.56,--,850.16%,855.56%,-9.18%,-9.18%
8/31/2022,1052.16,--,946.22%,952.16%,-8.42%,-8.42%
7/29/2022,1148.93,--,1042.44%,1048.93%,-4.99%,-4.99%
,,,,,,
6/30/2022,1209.24,--,1102.41%,1109.24%,-23.20%,-23.20%
5/31/2022,1574.6,--,1465.70%,1474.60%,-13.48%,-13.48%
4/29/2022,1820.01,--,1709.72%,1720.01%,-6.74%,-6.74%
,,,,,,
3/31/2022,1951.56,--,1840.53%,1851.56%,-3.90%,-3.90%
2/28/2022,2030.81,--,1919.34%,1930.81%,5.06%,5.06%
1/31/2022,1933.09,--,1822.16%,1833.09%,10.93%,10.93%
,,,,,,
12/31/2021,1742.65,--,1632.80%,1642.65%,-0.60%,-0.60%
11/30/2021,1753.18,--,1643.27%,1653.18%,6.26%,6.26%
10/29/2021,1649.85,--,1540.53%,1549.85%,9.71%,9.71%
,,,,,,
9/30/2021,1503.85,--,1395.35%,1403.85%,1.78%,1.78%
8/31/2021,1477.56,--,1369.21%,1377.56%,-2.47%,-2.47%
7/30/2021,1514.94,--,1406.38%,1414.94%,11.57%,11.57%
,,,,,,
6/30/2021,1357.9,--,1250.22%,1257.90%,2.56%,2.56%
5/31/2021,1324.04,--,1216.56%,1224.04%,9.73%,9.73%
4/30/2021,1206.63,--,1099.81%,1106.63%,13.21%,13.21%
,,,,,,
3/31/2021,1065.88,--,959.85%,965.88%,2.89%,2.89%
