BCOMHOTR Index Settings Total Return Analysis,,,,,,
Range01/30/1987 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 431 Month Holding Period Chart,,,,,,
Bloomberg Heating Oil Subindex Total Return Max Cuml Total Return 2285.4834% On 06/30/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,510.42,--,1286.16%,1235.67%,-2.26%,-2.26%
11/30/2022,522.19,--,1318.14%,1266.49%,-3.58%,-3.58%
10/31/2022,541.57,--,1370.76%,1317.19%,21.57%,21.57%
,,,,,,
9/30/2022,445.46,--,1109.76%,1065.70%,-10.50%,-10.50%
8/31/2022,497.74,--,1251.73%,1202.50%,3.87%,3.87%
7/29/2022,479.19,--,1201.36%,1153.96%,-5.57%,-5.57%
,,,,,,
6/30/2022,507.46,--,1278.13%,1227.93%,0.00%,0.00%
5/31/2022,507.46,--,1278.13%,1227.94%,6.52%,6.52%
4/29/2022,476.42,--,1193.84%,1146.71%,17.57%,17.57%
,,,,,,
3/31/2022,405.22,--,1000.49%,960.41%,18.11%,18.11%
2/28/2022,343.09,--,831.74%,797.80%,11.33%,11.33%
1/31/2022,308.16,--,736.89%,706.41%,17.66%,17.66%
,,,,,,
12/31/2021,261.91,--,611.29%,585.39%,13.05%,13.05%
11/30/2021,231.67,--,529.16%,506.24%,-16.32%,-16.32%
10/29/2021,276.84,--,651.83%,624.44%,6.22%,6.22%
,,,,,,
9/30/2021,260.63,--,607.80%,582.02%,10.09%,10.09%
8/31/2021,236.74,--,542.92%,519.50%,-3.42%,-3.42%
7/30/2021,245.12,--,565.69%,541.44%,3.05%,3.05%
,,,,,,
6/30/2021,237.86,--,545.98%,522.45%,4.25%,4.25%
5/31/2021,228.16,--,519.62%,497.05%,5.92%,5.92%
4/30/2021,215.4,--,484.99%,463.68%,8.43%,8.43%
,,,,,,
3/31/2021,198.65,--,439.49%,419.84%,-3.55%,-3.55%
2/26/2021,205.95,--,459.32%,438.95%,15.66%,15.66%
1/29/2021,178.07,--,383.60%,365.99%,7.62%,7.62%
,,,,,,
12/31/2020,165.47,--,349.38%,333.01%,7.56%,7.56%
11/30/2020,153.84,--,317.80%,302.58%,25.30%,25.30%
10/30/2020,122.78,--,233.44%,221.30%,-6.81%,-6.81%
,,,,,,
9/30/2020,131.75,--,257.81%,244.78%,-7.09%,-7.09%
8/31/2020,141.82,--,285.14%,271.11%,-2.09%,-2.09%
7/31/2020,144.85,--,293.37%,279.04%,1.71%,1.71%
,,,,,,
6/30/2020,142.42,--,286.76%,272.68%,11.14%,11.14%
5/29/2020,128.14,--,247.99%,235.31%,17.21%,17.21%
4/30/2020,109.32,--,196.90%,186.08%,-18.33%,-18.33%
,,,,,,
3/31/2020,133.86,--,263.53%,250.29%,-31.95%,-31.95%
2/28/2020,196.71,--,434.23%,414.77%,-9.22%,-9.22%
1/31/2020,216.69,--,488.47%,467.04%,-19.14%,-19.14%
,,,,,,
12/31/2019,267.98,--,627.76%,601.25%,7.96%,7.96%
11/29/2019,248.22,--,574.11%,549.56%,0.67%,0.67%
10/31/2019,246.57,--,569.61%,545.22%,0.48%,0.48%
,,,,,,
9/30/2019,245.39,--,566.43%,542.15%,3.30%,3.30%
8/30/2019,237.55,--,545.12%,521.63%,-7.02%,-7.02%
7/31/2019,255.48,--,593.83%,568.55%,1.40%,1.40%
,,,,,,
6/28/2019,251.94,--,584.22%,559.30%,5.11%,5.11%
5/31/2019,239.7,--,550.97%,527.26%,-11.41%,-11.41%
4/30/2019,270.58,--,634.82%,608.05%,5.47%,5.47%
,,,,,,
3/29/2019,256.55,--,596.73%,571.36%,-2.30%,-2.30%
2/28/2019,262.59,--,613.12%,587.15%,8.39%,8.39%
1/31/2019,242.27,--,557.95%,533.98%,12.66%,12.66%
,,,,,,
