BCOMRBTR Index Settings Total Return Analysis,,,,,,
Range01/30/1987 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 431 Month Holding Period Chart,,,,,,
Bloomberg Unleaded Gasoline Subindex Total Return Max Cuml Total Return 3535.8703% On 06/30/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,1029.89,--,2922.34%,2875.87%,2.87%,2.87%
11/30/2022,1001.19,--,2838.11%,2792.93%,-2.68%,-2.68%
10/31/2022,1028.73,--,2918.94%,2872.53%,12.64%,12.64%
,,,,,,
9/30/2022,913.32,--,2580.25%,2539.04%,-0.50%,-0.50%
8/31/2022,917.92,--,2593.75%,2552.33%,-12.28%,-12.28%
7/29/2022,1046.44,--,2970.91%,2923.70%,-8.33%,-8.33%
,,,,,,
6/30/2022,1141.49,--,3249.85%,3198.35%,-5.08%,-5.08%
5/31/2022,1202.56,--,3429.08%,3374.82%,16.16%,16.16%
4/29/2022,1035.3,--,2938.21%,2891.49%,9.26%,9.26%
,,,,,,
3/31/2022,947.59,--,2680.83%,2638.08%,8.36%,8.36%
2/28/2022,874.49,--,2466.29%,2426.83%,10.12%,10.12%
1/31/2022,794.16,--,2230.55%,2194.72%,14.63%,14.63%
,,,,,,
12/31/2021,692.79,--,1933.06%,1901.81%,15.33%,15.33%
11/30/2021,600.7,--,1662.84%,1635.74%,-16.31%,-16.31%
10/29/2021,717.74,--,2006.30%,1973.92%,9.18%,9.18%
,,,,,,
9/30/2021,657.37,--,1829.14%,1799.48%,6.18%,6.18%
8/31/2021,619.12,--,1716.89%,1688.95%,-2.56%,-2.56%
7/30/2021,635.37,--,1764.58%,1735.92%,5.01%,5.01%
,,,,,,
6/30/2021,605.06,--,1675.62%,1648.32%,4.91%,4.91%
5/31/2021,576.76,--,1592.56%,1566.54%,3.40%,3.40%
4/30/2021,557.8,--,1536.94%,1511.77%,5.89%,5.89%
,,,,,,
3/31/2021,526.76,--,1445.83%,1422.07%,0.93%,0.93%
2/26/2021,521.9,--,1431.59%,1408.04%,16.47%,16.47%
1/29/2021,448.11,--,1215.02%,1194.81%,9.71%,9.71%
,,,,,,
12/31/2020,408.45,--,1098.66%,1080.23%,11.90%,11.90%
11/30/2020,365.01,--,971.18%,954.71%,20.88%,20.88%
10/30/2020,301.96,--,786.14%,772.51%,-10.54%,-10.54%
,,,,,,
9/30/2020,337.52,--,890.50%,875.28%,-0.53%,-0.53%
8/31/2020,339.32,--,895.78%,880.47%,7.63%,7.63%
7/31/2020,315.28,--,825.22%,810.99%,-1.36%,-1.36%
,,,,,,
6/30/2020,319.63,--,837.99%,823.56%,9.10%,9.10%
5/29/2020,292.95,--,759.71%,746.50%,33.51%,33.51%
