BCOMCLTR Index Settings Total Return Analysis,,,,,,
Range01/31/1984 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 467 Month Holding Period Chart,,,,,,
Bloomberg WTI Crude Oil Subindex Total Return Max Cuml Total Return 4870.1695% On 06/30/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,191.29,--,483.46%,495.63%,-0.22%,-0.22%
11/30/2022,191.71,--,484.77%,496.96%,-5.35%,-5.35%
10/31/2022,202.55,--,517.82%,530.70%,11.05%,11.05%
,,,,,,
9/30/2022,182.39,--,456.32%,467.92%,-10.48%,-10.48%
8/31/2022,203.75,--,521.47%,534.43%,-7.88%,-7.88%
7/29/2022,221.17,--,574.63%,588.69%,-4.18%,-4.18%
,,,,,,
6/30/2022,230.82,--,604.05%,618.73%,-5.96%,-5.96%
5/31/2022,245.45,--,648.69%,664.30%,11.49%,11.49%
4/29/2022,220.15,--,571.52%,585.52%,3.95%,3.95%
,,,,,,
3/31/2022,211.8,--,546.02%,559.49%,7.29%,7.29%
2/28/2022,197.4,--,502.12%,514.67%,9.51%,9.51%
1/31/2022,180.25,--,449.81%,461.28%,17.74%,17.74%
,,,,,,
12/31/2021,153.1,--,366.99%,376.73%,13.88%,13.88%
11/30/2021,134.44,--,310.08%,318.63%,-19.07%,-19.07%
10/29/2021,166.12,--,406.72%,417.28%,10.72%,10.72%
,,,,,,
9/30/2021,150.04,--,357.65%,367.19%,9.92%,9.92%
8/31/2021,136.49,--,316.34%,325.02%,-6.94%,-6.94%
7/30/2021,146.67,--,347.39%,356.72%,1.63%,1.63%
,,,,,,
6/30/2021,144.33,--,340.23%,349.41%,10.87%,10.87%
5/31/2021,130.17,--,297.06%,305.34%,4.48%,4.48%
4/30/2021,124.6,--,280.05%,287.98%,7.36%,7.36%
,,,,,,
3/31/2021,116.05,--,253.99%,261.37%,-3.38%,-3.38%
2/26/2021,120.11,--,266.37%,274.01%,18.11%,18.11%
