BCOMWHTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Wheat Subindex Total Return Max Cuml Total Return 1247.5825% On 04/30/1996,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,17.27,--,-16.78%,-18.26%,-0.08%,-0.08%
11/30/2022,17.28,--,-16.71%,-18.19%,-11.74%,-11.74%
10/31/2022,19.58,--,-5.64%,-7.31%,-3.96%,-3.96%
,,,,,,
9/30/2022,20.39,--,-1.75%,-3.49%,11.11%,11.11%
8/31/2022,18.35,--,-11.57%,-13.14%,0.91%,0.91%
7/29/2022,18.18,--,-12.37%,-13.92%,-8.47%,-8.47%
,,,,,,
6/30/2022,19.86,--,-4.27%,-5.96%,-19.64%,-19.64%
5/31/2022,24.72,--,19.14%,17.03%,3.10%,3.10%
4/29/2022,23.98,--,15.56%,13.51%,4.31%,4.31%
,,,,,,
3/31/2022,22.99,--,10.78%,8.82%,7.75%,7.75%
2/28/2022,21.33,--,2.82%,1.00%,21.73%,21.73%
1/31/2022,17.53,--,-15.53%,-17.03%,-1.22%,-1.22%
,,,,,,
12/31/2021,17.74,--,-14.49%,-16.01%,-2.09%,-2.09%
11/30/2021,18.12,--,-12.66%,-14.21%,0.29%,0.29%
10/29/2021,18.07,--,-12.92%,-14.46%,6.52%,6.52%
,,,,,,
9/30/2021,16.96,--,-18.25%,-19.70%,0.45%,0.45%
8/31/2021,16.89,--,-18.62%,-20.06%,0.85%,0.85%
7/30/2021,16.74,--,-19.30%,-20.73%,3.57%,3.57%
,,,,,,
6/30/2021,16.17,--,-22.09%,-23.47%,1.49%,1.49%
5/31/2021,15.93,--,-23.23%,-24.59%,-9.70%,-9.70%
4/30/2021,17.64,--,-14.99%,-16.49%,18.42%,18.42%
,,,,,,
3/31/2021,14.9,--,-28.21%,-29.48%,-6.40%,-6.40%
2/26/2021,15.91,--,-23.30%,-24.66%,-1.14%,-1.14%
1/29/2021,16.1,--,-22.42%,-23.79%,3.52%,3.52%
,,,,,,
12/31/2020,15.55,--,-25.06%,-26.38%,9.50%,9.50%
11/30/2020,14.2,--,-31.56%,-32.77%,-3.53%,-3.53%
10/30/2020,14.72,--,-29.05%,-30.31%,3.56%,3.56%
,,,,,,
