BCOMZSTR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Zinc Subindex Total Return Max Cuml Total Return 248.5720% On 11/30/2006,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/30/2022,211.2,--,127.36%,111.20%,-1.44%,-1.44%
11/30/2022,214.29,--,130.68%,114.29%,13.01%,13.01%
10/31/2022,189.63,--,104.13%,89.63%,-8.66%,-8.66%
,,,,,,
9/30/2022,207.61,--,123.49%,107.61%,-13.35%,-13.35%
8/31/2022,239.6,--,157.93%,139.61%,5.97%,5.97%
7/29/2022,226.1,--,143.39%,126.10%,6.24%,6.24%
,,,,,,
6/30/2022,212.82,--,129.09%,112.82%,-19.23%,-19.23%
5/31/2022,263.47,--,183.62%,163.47%,-4.52%,-4.52%
4/29/2022,275.94,--,197.05%,175.94%,-1.61%,-1.61%
,,,,,,
3/31/2022,280.46,--,201.91%,180.46%,14.49%,14.49%
2/28/2022,244.97,--,163.70%,144.97%,2.13%,2.13%
1/31/2022,239.86,--,158.21%,139.86%,1.66%,1.66%
,,,,,,
12/31/2021,235.95,--,153.99%,135.95%,11.06%,11.06%
11/30/2021,212.45,--,128.70%,112.45%,-5.21%,-5.21%
10/29/2021,224.13,--,141.27%,124.13%,13.60%,13.60%
,,,,,,
9/30/2021,197.3,--,112.39%,97.30%,-0.67%,-0.67%
8/31/2021,198.63,--,113.82%,98.63%,-1.14%,-1.14%
7/30/2021,200.91,--,116.28%,100.91%,1.95%,1.95%
,,,,,,
6/30/2021,197.07,--,112.14%,97.07%,-2.91%,-2.91%
5/31/2021,202.98,--,118.51%,102.98%,4.31%,4.31%
4/30/2021,194.6,--,109.48%,94.60%,3.64%,3.64%
,,,,,,
3/31/2021,187.76,--,102.12%,87.76%,0.75%,0.75%
2/26/2021,186.37,--,100.63%,86.37%,8.12%,8.12%
1/29/2021,172.37,--,85.56%,72.38%,-6.52%,-6.52%
,,,,,,
12/31/2020,184.39,--,98.49%,84.39%,-1.74%,-1.74%
11/30/2020,187.66,--,102.01%,87.66%,10.37%,10.37%
10/30/2020,170.02,--,83.03%,70.02%,4.74%,4.74%
,,,,,,
9/30/2020,162.33,--,74.75%,62.33%,-4.67%,-4.67%
8/31/2020,170.29,--,83.32%,70.29%,8.22%,8.22%
7/31/2020,157.36,--,69.39%,57.36%,13.16%,13.16%
,,,,,,
6/30/2020,139.05,--,49.69%,39.06%,2.63%,2.63%
5/29/2020,135.49,--,45.86%,35.49%,2.47%,2.47%
4/30/2020,132.22,--,42.34%,32.22%,1.54%,1.54%
,,,,,,
3/31/2020,130.22,--,40.18%,30.22%,-5.85%,-5.85%
2/28/2020,138.31,--,48.89%,38.31%,-8.35%,-8.35%
1/31/2020,150.91,--,62.45%,50.91%,-2.94%,-2.94%
,,,,,,
12/31/2019,155.48,--,67.37%,55.48%,-0.08%,-0.08%
11/29/2019,155.61,--,67.51%,55.61%,-8.25%,-8.25%
10/31/2019,169.59,--,82.56%,69.59%,4.62%,4.62%
,,,,,,
9/30/2019,162.1,--,74.50%,62.10%,9.37%,9.37%
8/30/2019,148.21,--,59.55%,48.21%,-9.64%,-9.64%
7/31/2019,164.02,--,76.56%,64.02%,-1.83%,-1.83%
,,,,,,
6/28/2019,167.07,--,79.85%,67.07%,-0.56%,-0.56%
5/31/2019,168.02,--,80.87%,68.02%,-9.24%,-9.24%
4/30/2019,185.13,--,99.29%,85.13%,-2.41%,-2.41%
,,,,,,
3/29/2019,189.71,--,104.22%,89.71%,6.06%,6.06%
2/28/2019,178.88,--,92.56%,78.88%,2.36%,2.36%
1/31/2019,174.75,--,88.11%,74.75%,11.08%,11.08%
,,,,,,
