Security,USDARS BGN Curncy
Start Date,1/31/1992 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,349.9984
8/31/2023,350.0112
7/31/2023,275.2749
6/30/2023,256.7315
5/31/2023,239.4676
4/28/2023,222.6365
3/31/2023,208.99
2/28/2023,197.1453
1/31/2023,186.9868
12/30/2022,177.132
11/30/2022,167.2858
10/31/2022,156.8965
9/30/2022,147.3156
8/31/2022,138.7242
7/29/2022,131.2602
6/30/2022,125.216
5/31/2022,120.194
4/29/2022,115.3144
3/31/2022,111.005
2/28/2022,107.4425
1/31/2022,105.023
12/31/2021,102.736
11/30/2021,100.9388
10/29/2021,99.7207
9/30/2021,98.7363
8/31/2021,97.7433
7/30/2021,96.6944
6/30/2021,95.721
5/31/2021,94.6835
4/30/2021,93.5549
3/31/2021,91.9874
2/26/2021,89.8255
1/29/2021,87.3139
12/31/2020,84.1461
11/30/2020,81.3054
10/30/2020,78.3226
9/30/2020,76.175
8/31/2020,74.175
7/31/2020,72.315
6/30/2020,70.455
5/29/2020,68.533
4/30/2020,66.8325
3/31/2020,64.4024
2/28/2020,62.2091
1/31/2020,60.347
12/31/2019,59.8727
11/29/2019,59.905
10/31/2019,59.6522
9/30/2019,57.5925
8/30/2019,59.5009
7/31/2019,43.88
6/28/2019,42.478
5/31/2019,44.7875
4/30/2019,44.2212
3/29/2019,43.32
2/28/2019,39.1356
1/31/2019,37.3138
12/31/2018,37.6679
11/30/2018,37.7485
10/31/2018,35.9067
9/28/2018,41.307
8/31/2018,36.8815
7/31/2018,27.4302
6/29/2018,28.9261
5/31/2018,24.9714
4/30/2018,20.5387
3/30/2018,20.1402
2/28/2018,20.1156
1/31/2018,19.6381
12/29/2017,18.6232
11/30/2017,17.3046
10/31/2017,17.6522
9/29/2017,17.3172
8/31/2017,17.3428
7/31/2017,17.6436
6/30/2017,16.6278
5/31/2017,16.1004
4/28/2017,15.3958
3/31/2017,15.3875
2/28/2017,15.4793
1/31/2017,15.8982
12/30/2016,15.88
11/30/2016,15.8725
10/31/2016,15.154
9/30/2016,15.3075
8/31/2016,14.933
7/29/2016,15.005
6/30/2016,15.045
5/31/2016,13.988
4/29/2016,14.2575
3/31/2016,14.7045
2/29/2016,15.8367
1/29/2016,13.9515
12/31/2015,12.9315
11/30/2015,9.6866
10/30/2015,9.5111
9/30/2015,9.4186
8/31/2015,9.2964
7/31/2015,9.1867
6/30/2015,9.0869
5/29/2015,8.9915
4/30/2015,8.9068
3/31/2015,8.819
2/27/2015,8.7256
1/30/2015,8.6424
12/31/2014,8.465
11/28/2014,8.5234
