Security,USDBRL BGN Curncy
Start Date,1/31/1992 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,5.0325
8/31/2023,4.9553
7/31/2023,4.7269
6/30/2023,4.7875
5/31/2023,5.0555
4/28/2023,4.9878
3/31/2023,5.064
2/28/2023,5.2364
1/31/2023,5.0758
12/30/2022,5.286
11/30/2022,5.1907
10/31/2022,5.1796
9/30/2022,5.4138
8/31/2022,5.1848
7/29/2022,5.1729
6/30/2022,5.2559
5/31/2022,4.7349
4/29/2022,4.9721
3/31/2022,4.7411
2/28/2022,5.1525
1/31/2022,5.3102
12/31/2021,5.5714
11/30/2021,5.6227
10/29/2021,5.6365
9/30/2021,5.443
8/31/2021,5.1512
7/30/2021,5.2115
6/30/2021,4.969
5/31/2021,5.2191
4/30/2021,5.4381
3/31/2021,5.6344
2/26/2021,5.6023
1/29/2021,5.4715
12/31/2020,5.1935
11/30/2020,5.3583
10/30/2020,5.7444
9/30/2020,5.6103
8/31/2020,5.4937
7/31/2020,5.2225
6/30/2020,5.4659
5/29/2020,5.337
4/30/2020,5.4858
3/31/2020,5.2053
2/28/2020,4.472
1/31/2020,4.2828
12/31/2019,4.0249
11/29/2019,4.2371
10/31/2019,4.0195
9/30/2019,4.157
8/30/2019,4.1455
7/31/2019,3.8115
6/28/2019,3.8497
5/31/2019,3.9229
4/30/2019,3.919
3/29/2019,3.921
2/28/2019,3.7564
1/31/2019,3.6471
12/31/2018,3.8812
11/30/2018,3.8671
10/31/2018,3.724
9/28/2018,4.0504
8/31/2018,4.0551
7/31/2018,3.7572
6/29/2018,3.8769
5/31/2018,3.7239
4/30/2018,3.5063
3/30/2018,3.3063
2/28/2018,3.2475
1/31/2018,3.1875
12/29/2017,3.3125
11/30/2017,3.2681
10/31/2017,3.2713
9/29/2017,3.1625
8/31/2017,3.1491
7/31/2017,3.1254
6/30/2017,3.3082
5/31/2017,3.227
4/28/2017,3.1768
3/31/2017,3.122
2/28/2017,3.1104
1/31/2017,3.1486
12/30/2016,3.2552
11/30/2016,3.3858
10/31/2016,3.1936
9/30/2016,3.2624
8/31/2016,3.2267
7/29/2016,3.2489
6/30/2016,3.213
5/31/2016,3.6116
4/29/2016,3.4358
3/31/2016,3.5922
2/29/2016,4.0159
1/29/2016,3.9992
12/31/2015,3.9608
11/30/2015,3.8674
10/30/2015,3.8558
9/30/2015,3.9475
8/31/2015,3.6205
7/31/2015,3.4214
6/30/2015,3.103
5/29/2015,3.1787
4/30/2015,3.0145
3/31/2015,3.1967
2/27/2015,2.8412
1/30/2015,2.6829
12/31/2014,2.6576
