Security,USDCAD BGN Curncy
Start Date,1/29/1971 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,1.3577
8/31/2023,1.3508
7/31/2023,1.319
6/30/2023,1.3242
5/31/2023,1.3574
4/28/2023,1.3552
3/31/2023,1.3516
2/28/2023,1.3647
1/31/2023,1.3306
12/30/2022,1.3554
11/30/2022,1.3412
10/31/2022,1.3624
9/30/2022,1.3829
8/31/2022,1.313
7/29/2022,1.2795
6/30/2022,1.2873
5/31/2022,1.2647
4/29/2022,1.2848
3/31/2022,1.2505
2/28/2022,1.2675
1/31/2022,1.2708
12/31/2021,1.2637
11/30/2021,1.2779
10/29/2021,1.2388
9/30/2021,1.268
8/31/2021,1.2616
7/30/2021,1.2475
6/30/2021,1.2398
5/31/2021,1.2064
4/30/2021,1.2287
3/31/2021,1.2562
2/26/2021,1.2738
1/29/2021,1.2777
12/31/2020,1.2725
11/30/2020,1.3001
10/30/2020,1.3321
9/30/2020,1.3319
8/31/2020,1.3047
7/31/2020,1.3412
6/30/2020,1.3576
5/29/2020,1.378
4/30/2020,1.3945
3/31/2020,1.4062
2/28/2020,1.3407
1/31/2020,1.3237
12/31/2019,1.299
11/29/2019,1.3282
10/31/2019,1.3164
9/30/2019,1.3241
8/30/2019,1.3311
7/31/2019,1.3191
6/28/2019,1.3095
5/31/2019,1.3516
4/30/2019,1.3388
3/29/2019,1.3349
2/28/2019,1.3172
1/31/2019,1.3125
12/31/2018,1.3637
11/30/2018,1.3292
10/31/2018,1.3157
9/28/2018,1.2908
8/31/2018,1.304
7/31/2018,1.3006
6/29/2018,1.3133
5/31/2018,1.2958
4/30/2018,1.2843
3/30/2018,1.29
2/28/2018,1.2831
1/31/2018,1.2315
12/29/2017,1.2571
11/30/2017,1.2897
10/31/2017,1.2888
9/29/2017,1.2472
8/31/2017,1.2482
7/31/2017,1.248
6/30/2017,1.2964
5/31/2017,1.35
4/28/2017,1.3653
3/31/2017,1.3318
2/28/2017,1.3301
1/31/2017,1.303
12/30/2016,1.3441
11/30/2016,1.3437
10/31/2016,1.3409
9/30/2016,1.3127
8/31/2016,1.3105
7/29/2016,1.303
6/30/2016,1.2924
5/31/2016,1.3093
4/29/2016,1.2556
3/31/2016,1.3004
2/29/2016,1.354
1/29/2016,1.3976
12/31/2015,1.3839
