Security,USDCNY BGN Curncy
Start Date,1/30/1981 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,7.298
8/31/2023,7.2589
7/31/2023,7.1428
6/30/2023,7.2537
5/31/2023,7.1086
4/28/2023,6.9184
3/31/2023,6.8737
2/28/2023,6.9356
1/31/2023,6.7553
12/30/2022,6.8986
11/30/2022,7.0924
10/31/2022,7.305
9/30/2022,7.1159
8/31/2022,6.8904
7/29/2022,6.7445
6/30/2022,6.6993
5/31/2022,6.6718
4/29/2022,6.6085
3/31/2022,6.34
2/28/2022,6.3093
1/31/2022,6.3612
12/31/2021,6.3561
11/30/2021,6.3645
10/29/2021,6.4056
9/30/2021,6.4448
8/31/2021,6.4607
7/30/2021,6.4614
6/30/2021,6.4571
5/31/2021,6.3701
4/30/2021,6.4749
3/31/2021,6.5528
2/26/2021,6.4737
1/29/2021,6.4283
12/31/2020,6.5272
11/30/2020,6.5789
10/30/2020,6.6915
9/30/2020,6.791
8/31/2020,6.8485
7/31/2020,6.9752
6/30/2020,7.0654
5/29/2020,7.1364
4/30/2020,7.0632
3/31/2020,7.0822
2/28/2020,6.992
1/31/2020,6.9109
12/31/2019,6.9632
11/29/2019,7.0325
10/31/2019,7.0391
9/30/2019,7.1483
8/30/2019,7.1565
7/31/2019,6.8811
6/28/2019,6.8668
5/31/2019,6.905
4/30/2019,6.7348
3/29/2019,6.7121
2/28/2019,6.6941
1/31/2019,6.6961
12/31/2018,6.8785
11/30/2018,6.9605
10/31/2018,6.9757
9/28/2018,6.8688
8/31/2018,6.8315
7/31/2018,6.8167
6/29/2018,6.621
5/31/2018,6.4106
4/30/2018,6.3322
3/30/2018,6.2755
2/28/2018,6.331
1/31/2018,6.2888
12/29/2017,6.5068
11/30/2017,6.6091
10/31/2017,6.635
9/29/2017,6.6528
8/31/2017,6.5901
7/31/2017,6.7266
6/30/2017,6.7809
5/31/2017,6.818
4/28/2017,6.8935
3/31/2017,6.8872
2/28/2017,6.867
1/31/2017,6.884
12/30/2016,6.945
11/30/2016,6.8894
10/31/2016,6.7758
9/30/2016,6.6718
8/31/2016,6.6793
7/29/2016,6.635
6/30/2016,6.648
5/31/2016,6.5854
4/29/2016,6.478
3/31/2016,6.4536
2/29/2016,6.552
1/29/2016,6.576
12/31/2015,6.4937
11/30/2015,6.3984
10/30/2015,6.3174
9/30/2015,6.356
8/31/2015,6.379
7/31/2015,6.2097
6/30/2015,6.201
5/29/2015,6.1976
4/30/2015,6.2032
3/31/2015,6.1997
2/27/2015,6.2694
1/30/2015,6.2506
12/31/2014,6.2055
11/28/2014,6.145
10/31/2014,6.113
9/30/2014,6.1394
8/29/2014,6.1436
7/31/2014,6.1738
6/30/2014,6.2031
5/30/2014,6.2471
4/30/2014,6.2595
3/31/2014,6.2171
2/28/2014,6.1451
1/31/2014,6.0612
12/31/2013,6.0543
11/29/2013,6.094
10/31/2013,6.0938
9/30/2013,6.1209
8/30/2013,6.1203
7/31/2013,6.1289
6/28/2013,6.1375
5/31/2013,6.1345
4/30/2013,6.1658
3/29/2013,6.2102
2/28/2013,6.2217
1/31/2013,6.219
12/31/2012,6.2306
11/30/2012,6.226
10/31/2012,6.2373
9/28/2012,6.2847
8/31/2012,6.3486
7/31/2012,6.3617
6/29/2012,6.354
5/31/2012,6.3685
4/30/2012,6.2795
3/30/2012,6.2985
2/29/2012,6.2938
1/31/2012,6.3082
12/30/2011,6.295
11/30/2011,6.3793
10/31/2011,6.3548
9/30/2011,6.3812
8/31/2011,6.3781
7/29/2011,6.437
6/30/2011,6.4639
5/31/2011,6.4786
4/29/2011,6.4922
3/31/2011,6.5483
2/28/2011,6.5719
1/31/2011,6.595
12/31/2010,6.607
11/30/2010,6.6673
10/29/2010,6.6705
9/30/2010,6.6921
8/31/2010,6.8078
7/30/2010,6.7745
6/30/2010,6.7818
5/31/2010,6.8278
4/30/2010,6.8253
3/31/2010,6.8259
2/26/2010,6.8261
1/29/2010,6.8269
12/31/2009,6.8271
11/30/2009,6.8274
10/30/2009,6.8275
9/30/2009,6.8264
8/31/2009,6.8308
7/31/2009,6.8321
6/30/2009,6.8305
5/29/2009,6.8291
4/30/2009,6.821
3/31/2009,6.8339
2/27/2009,6.84
1/30/2009,6.8519
12/31/2008,6.8277
11/28/2008,6.8347
